,note_name,start_time,duration,velocity,tempo
0,E4,0.0,0.203,41,98.0
1,B-4,0.0,4.0,95,98.0
2,G4,0.0,4.0,99,98.0
3,D4,0.0,4.0,87,98.0
4,D4,0.0,4.0,87,98.0
5,B-4,0.0,4.0,87,98.0
6,G4,0.0,4.0,87,98.0
7,G4,0.0,4.0,87,98.0
8,B-4,0.0,4.0,87,98.0
9,G2,0.0,4.0,87,98.0
10,G2,0.0,4.0,87,98.0
11,D4,0.5,1.5,13,98.0
12,G2,0.521,3479/1000,85,98.0
13,G3,1.0,1.5,15,98.0
14,E-4,1.0,271/1000,44,98.0
15,C4,1.5,2.0,17,98.0
16,E4,1.5,0.156,46,98.0
17,F4,2.474,763/500,21,98.0
18,E-4,2.5,99/500,50,98.0
19,G4,3.516,0.484,26,98.0
20,E4,15.885,0.203,55,98.0
21,F4,15.885,307/1000,21,98.0
22,B-4,15.885,27.5,95,98.0
23,G4,15.885,15.75,99,98.0
24,G2,15.885,2.625,85,98.0
25,G4,15.885,0.406,26,98.0
26,D4,15.885,2377/200,87,98.0
27,D4,15.885,2377/200,87,98.0
28,B-4,15.885,2377/200,87,98.0
29,G4,15.885,2377/200,87,98.0
30,G4,15.885,2377/200,87,98.0
31,B-4,15.885,2377/200,87,98.0
32,G2,15.885,2377/200,87,98.0
33,G2,15.885,2377/200,87,98.0
34,D4,16.385,1.5,30,98.0
35,G3,16.885,1.5,32,98.0
36,E-4,16.885,271/1000,58,98.0
37,C4,17.385,2.0,34,98.0
38,E4,17.385,0.156,60,98.0
39,F4,18.359,763/500,38,98.0
40,E-4,18.385,99/500,63,98.0
41,G4,19.401,0.484,43,98.0
42,G2,19.865,21/1000,89,98.0
43,E4,43.385,0.203,69,98.0
44,F4,43.385,0.453,38,98.0
45,G4,43.385,227/200,43,98.0
46,G2,43.385,7.703,89,98.0
47,D4,43.885,1.5,47,98.0
48,G3,44.385,1.5,49,98.0
49,E-4,44.385,271/1000,72,98.0
50,C4,44.885,2.0,52,98.0
51,E4,44.885,0.156,74,98.0
52,F4,45.859,763/500,56,98.0
53,E-4,45.885,99/500,77,98.0
54,G4,46.901,0.484,60,98.0
55,E4,51.089,0.203,83,98.0
56,F4,51.089,307/1000,56,98.0
57,G4,51.089,0.406,60,98.0
58,D4,51.589,1.5,65,98.0
59,G3,52.089,1.5,67,98.0
60,E-4,52.089,271/1000,86,98.0
61,C4,52.589,2.0,69,98.0
62,E4,52.589,0.156,88,98.0
63,F4,53.089,0.234,84,98.0
64,B-3,53.089,0.234,84,98.0
65,B-4,53.115,37/100,100,98.0
66,F4,53.562,763/500,73,98.0
67,E-4,53.589,99/500,91,98.0
68,F4,54.089,159/500,81,98.0
69,B-3,54.089,159/500,81,98.0
70,B-4,54.104,0.984,110,98.0
71,G4,54.604,0.484,78,98.0
72,E4,55.089,0.203,91,98.0
73,F4,55.089,0.453,73,98.0
74,G4,55.089,227/200,78,98.0
75,B-4,55.089,0.031,110,98.0
76,G2,55.089,3901/1000,67,98.0
77,G4,55.089,3901/1000,67,98.0
78,B-4,55.089,4.0,71,98.0
79,D4,55.089,4.0,71,98.0
80,D4,55.089,4.0,71,98.0
81,B-4,55.089,4.0,71,98.0
82,G4,55.089,399/100,106,98.0
83,G3,55.089,399/100,106,98.0
84,F4,55.094,2.203,75,98.0
85,B-4,55.094,2.359,71,98.0
86,D5,55.12,0.875,109,98.0
87,D4,55.589,1.5,76,98.0
88,C5,55.911,0.234,98,98.0
89,B-4,56.073,3.016,96,98.0
90,G3,56.089,1.5,41,98.0
91,F#3,56.089,271/1000,80,98.0
92,E-4,56.089,271/1000,80,98.0
93,C4,56.589,2.0,60,98.0
94,E4,56.589,0.156,96,98.0
95,F4,57.573,1.516,68,98.0
96,E-4,57.589,99/500,101,98.0
97,G4,58.599,49/100,76,98.0
98,E4,70.964,0.203,91,98.0
99,F4,70.964,159/500,68,98.0
100,G4,70.964,401/1000,76,98.0
101,B-4,70.964,1323/1000,96,98.0
102,F#2,70.964,3901/1000,80,98.0
103,F#4,70.964,3901/1000,80,98.0
104,F#3,70.964,3901/1000,80,98.0
105,F#4,70.964,3901/1000,80,98.0
106,B-4,70.964,11.875,71,98.0
107,D4,70.964,11.875,71,98.0
108,D4,70.964,11.875,71,98.0
109,B-4,70.964,11.875,71,98.0
110,F#4,70.979,3729/1000,110,98.0
111,D4,71.464,1.5,58,98.0
112,G3,71.964,1.5,43,98.0
113,F#3,71.964,271/1000,82,98.0
114,E-4,71.964,271/1000,82,98.0
115,C4,72.464,2.0,66,98.0
116,E4,72.464,0.156,96,98.0
117,F4,73.448,1.516,76,98.0
118,E-4,73.464,99/500,101,98.0
119,D5,73.464,693/1000,104,98.0
120,D5,74.214,177/250,107,98.0
121,G4,74.474,49/100,68,98.0
122,F4,74.948,0.016,76,98.0
123,F2,74.948,0.016,76,98.0
124,F4,74.948,0.016,76,98.0
125,E4,82.839,0.203,91,98.0
126,F3,82.839,727/200,116,98.0
127,F4,82.839,927/250,115,98.0
128,C5,82.839,3.094,102,98.0
129,F4,82.839,58/125,76,98.0
130,G4,82.839,113/100,68,98.0
131,F4,82.839,97/25,76,98.0
132,F2,82.839,97/25,76,98.0
133,F4,82.839,97/25,76,98.0
134,D4,83.339,1.5,54,98.0
135,G3,83.839,1.5,41,98.0
136,F#3,83.839,271/1000,80,98.0
137,E-4,83.839,271/1000,80,98.0
138,C4,84.339,2.0,69,98.0
139,E4,84.339,0.156,96,98.0
140,F4,85.323,1.516,64,98.0
141,E-4,85.339,99/500,101,98.0
142,B-4,86.339,0.25,103,98.0
143,G4,86.349,49/100,70,98.0
144,G4,86.589,0.25,72,98.0
145,E4,86.828,1/100,88,98.0
146,E4,86.839,0.203,91,98.0
147,E4,86.839,3.859,114,98.0
148,F4,86.839,159/500,64,98.0
149,G4,86.839,2.25,72,98.0
150,E4,86.839,3.75,88,98.0
151,G4,86.839,401/1000,70,98.0
152,E2,86.839,387/100,83,98.0
153,E4,86.839,387/100,83,98.0
154,E3,86.839,387/100,83,98.0
155,D4,87.339,1.5,64,98.0
156,G3,87.839,1.5,34,98.0
157,F#3,87.839,271/1000,82,98.0
158,E-4,87.839,271/1000,82,98.0
159,C4,88.339,2.0,64,98.0
160,E4,88.339,0.156,96,98.0
161,F4,89.323,1.516,76,98.0
162,E-4,89.339,99/500,101,98.0
163,B-4,89.365,0.391,97,98.0
164,C5,90.109,651/1000,109,98.0
165,G4,90.349,49/100,76,98.0
166,E4,90.839,0.203,91,98.0
167,F4,90.839,58/125,76,98.0
168,G4,90.839,113/100,76,98.0
169,E-2,90.839,3839/1000,82,98.0
170,E-2,90.839,3839/1000,82,98.0
171,E-3,90.839,3839/1000,82,98.0
172,B-3,90.839,3839/1000,82,98.0
173,C4,90.839,3839/1000,82,98.0
174,G4,90.839,3839/1000,82,98.0
175,C4,90.849,399/100,44,98.0
176,F4,90.849,399/100,44,98.0
177,B-4,90.854,3.984,41,98.0
178,D5,90.865,151/200,98,98.0
179,D4,91.339,1.5,76,98.0
180,G3,91.839,1.5,41,98.0
181,F#3,91.839,271/1000,80,98.0
182,E-4,91.839,271/1000,80,98.0
183,C4,92.339,2.0,60,98.0
184,E4,92.339,0.156,96,98.0
185,B-4,92.365,241/250,104,98.0
186,F4,93.323,1.516,68,98.0
187,E-4,93.339,99/500,101,98.0
188,C5,93.349,0.688,102,98.0
189,G4,94.349,49/100,76,98.0
190,E4,94.839,0.203,91,98.0
191,F4,94.839,159/500,68,98.0
192,B-4,94.839,1487/125,41,98.0
193,G4,94.839,401/1000,76,98.0
194,F2,94.839,987/250,84,98.0
195,F2,94.839,987/250,84,98.0
196,F3,94.839,987/250,84,98.0
197,C4,94.839,987/250,84,98.0
198,F4,94.839,987/250,84,98.0
199,B-4,94.839,987/250,84,98.0
200,C4,94.839,3979/1000,44,98.0
201,F4,94.839,3979/1000,44,98.0
202,D4,95.339,1.5,58,98.0
203,G3,95.839,1.5,43,98.0
204,F#3,95.839,271/1000,82,98.0
205,E-4,95.839,271/1000,82,98.0
206,F4,95.88,0.5,104,98.0
207,C4,96.339,2.0,66,98.0
208,E4,96.339,0.156,96,98.0
209,C5,96.396,192/125,105,98.0
210,F4,97.323,1.516,76,98.0
211,E-4,97.339,99/500,101,98.0
212,B-4,98.229,107/500,83,98.0
213,G4,98.349,49/100,68,98.0
214,G4,98.5,333/1000,92,98.0
215,B-1,106.734,4.0,106,98.0
216,E4,106.734,0.203,91,98.0
217,B-4,106.734,3667/1000,101,98.0
218,F4,106.734,58/125,76,98.0
219,G4,106.734,113/100,68,98.0
220,B-2,106.734,4.0,77,98.0
221,D4,106.734,4.0,77,98.0
222,B-3,106.734,4.0,47,98.0
223,F3,106.734,4.0,47,98.0
224,B-3,106.734,4.0,47,98.0
225,D4,106.734,4.0,47,98.0
226,D4,107.234,1.5,54,98.0
