,note_name,start_time,duration,velocity,tempo
0,B-2,7.49,1/100,84,124.0
1,E2,8.0,1.5,44,124.0
2,E3,8.0,1.5,44,124.0
3,E1,8.0,1.5,44,124.0
4,F#2,8.0,1/100,88,124.0
5,C2,8.0,1/100,88,124.0
6,E1,8.0,349/250,116,124.0
7,E2,8.0,349/250,116,124.0
8,E1,8.01,31/25,84,124.0
9,E2,8.01,31/25,84,124.0
10,F#2,8.24,1/100,38,124.0
11,F#2,8.49,1/100,65,124.0
12,F#2,8.74,1/100,36,124.0
13,F#2,9.0,1/100,101,124.0
14,G1,9.49,0.156,90,124.0
15,G2,9.49,0.156,90,124.0
16,G2,9.49,0.156,90,124.0
17,G1,9.49,0.156,90,124.0
18,G1,9.5,0.5,42,124.0
19,G3,9.5,0.5,42,124.0
20,G2,9.5,0.5,42,124.0
21,C2,9.5,1/100,60,124.0
22,F#2,9.5,1/100,60,124.0
23,A2,10.0,1.0,43,124.0
24,A3,10.0,1.0,43,124.0
25,A1,10.0,1.0,43,124.0
26,A2,10.0,427/500,100,124.0
27,A2,10.0,427/500,100,124.0
28,A1,10.0,427/500,100,124.0
29,A1,10.0,427/500,100,124.0
30,C2,10.0,1/100,100,124.0
31,F#2,10.0,1/100,100,124.0
32,F#2,10.51,1/100,42,124.0
33,F#2,11.0,1/100,93,124.0
34,G2,11.0,1.0,44,124.0
35,G1,11.0,1.0,44,124.0
36,G3,11.0,1.0,44,124.0
37,G2,11.01,99/125,97,124.0
38,G1,11.01,99/125,97,124.0
39,G1,11.01,99/125,97,124.0
40,G2,11.01,99/125,97,124.0
41,B-2,11.5,1/100,99,124.0
42,F#2,12.0,1/100,82,124.0
43,F#1,12.0,1.5,35,124.0
44,F#2,12.0,1.5,35,124.0
45,F#3,12.0,1.5,35,124.0
46,F#2,12.01,1021/1000,111,124.0
47,F#1,12.01,1.125,90,124.0
48,F#1,12.01,1.125,90,124.0
49,F#2,12.01,1.125,90,124.0
50,F#2,12.24,1/100,38,124.0
51,F#2,12.49,1/100,65,124.0
52,F#2,12.74,1/100,36,124.0
53,F#2,13.0,1/100,101,124.0
54,B2,13.49,1.0,74,124.0
55,B1,13.49,1.0,74,124.0
56,B2,13.49,1.0,74,124.0
57,B1,13.49,1.0,74,124.0
58,B3,13.49,1.0,74,124.0
59,B1,13.49,1.0,74,124.0
60,B2,13.49,1.0,74,124.0
61,C2,13.5,1/100,52,124.0
62,F#2,13.5,1/100,52,124.0
63,C2,14.0,1/100,102,124.0
64,F#2,14.0,1/100,102,124.0
65,A1,14.49,99/500,88,124.0
66,A1,14.49,99/500,88,124.0
67,A2,14.49,99/500,88,124.0
68,A2,14.49,99/500,88,124.0
69,A2,14.5,0.5,31,124.0
70,A3,14.5,0.5,31,124.0
71,A1,14.5,0.5,31,124.0
72,F#2,14.51,1/100,42,124.0
73,F#2,15.0,1/100,93,124.0
74,B1,15.0,677/1000,88,124.0
75,B2,15.0,677/1000,88,124.0
76,B1,15.0,1.0,42,124.0
77,B2,15.0,1.0,42,124.0
78,B3,15.0,1.0,42,124.0
79,B2,15.01,729/1000,119,124.0
80,B1,15.01,729/1000,119,124.0
81,B-2,15.5,1/100,99,124.0
82,F#2,16.0,1/100,82,124.0
83,E3,16.0,1.5,44,124.0
84,E1,16.0,1.5,44,124.0
85,E2,16.0,1.5,44,124.0
86,E2,16.0,1417/1000,116,124.0
87,E1,16.0,1417/1000,116,124.0
88,E1,16.01,31/25,84,124.0
89,E2,16.01,31/25,84,124.0
90,F#2,16.24,1/100,38,124.0
91,F#2,16.49,1/100,65,124.0
92,F#2,16.74,1/100,36,124.0
93,F#2,17.0,1/100,101,124.0
94,G2,17.49,0.156,90,124.0
95,G2,17.49,0.156,90,124.0
96,G1,17.49,0.156,90,124.0
97,G1,17.49,0.156,90,124.0
98,G2,17.5,0.5,42,124.0
99,G3,17.5,0.5,42,124.0
100,G1,17.5,0.5,42,124.0
101,C2,17.5,1/100,60,124.0
102,F#2,17.5,1/100,60,124.0
103,A1,18.0,1.0,43,124.0
104,A2,18.0,1.0,43,124.0
105,A3,18.0,1.0,43,124.0
106,C2,18.0,1/100,102,124.0
107,F#2,18.0,1/100,102,124.0
108,A2,18.0,173/200,102,124.0
109,A1,18.0,173/200,102,124.0
110,A1,18.0,173/200,102,124.0
111,A2,18.0,173/200,102,124.0
112,F#2,18.51,1/100,42,124.0
113,F#2,19.0,1/100,93,124.0
114,G1,19.0,1.0,44,124.0
115,G3,19.0,1.0,44,124.0
116,G2,19.0,1.0,44,124.0
117,G2,19.01,823/1000,97,124.0
118,G1,19.01,823/1000,97,124.0
119,G1,19.01,823/1000,97,124.0
120,G2,19.01,823/1000,97,124.0
121,B-2,19.5,1/100,99,124.0
122,F#2,20.0,1/100,82,124.0
123,F#1,20.0,1.5,35,124.0
124,F#3,20.0,1.5,35,124.0
125,F#2,20.0,1.5,35,124.0
126,F#2,20.01,1021/1000,111,124.0
127,F#2,20.01,223/200,90,124.0
128,F#1,20.01,223/200,90,124.0
129,F#1,20.01,223/200,90,124.0
130,F#2,20.24,1/100,38,124.0
131,F#2,20.49,1/100,65,124.0
132,F#2,20.74,1/100,36,124.0
133,C#4,21.0,49/100,72,124.0
134,F#2,21.0,1/100,101,124.0
135,B1,21.49,1.0,74,124.0
136,B2,21.49,1.0,74,124.0
137,B1,21.49,1.0,74,124.0
138,B2,21.49,1.0,74,124.0
139,B3,21.49,1.0,74,124.0
140,B2,21.49,1.0,74,124.0
141,B1,21.49,1.0,74,124.0
142,C2,21.5,1/100,63,124.0
143,F#2,21.5,1/100,63,124.0
144,B3,21.573,2427/1000,59,124.0
145,C2,22.0,1/100,102,124.0
