,note_name,start_time,duration,velocity,tempo
0,F#5,0.0,0.5,122,110.0
1,F#3,0.0,0.5,122,110.0
2,D5,0.5,0.5,85,110.0
3,A3,0.5,0.5,85,110.0
4,D4,0.5,0.5,85,110.0
5,A4,1.0,0.5,105,110.0
6,F#3,1.0,0.5,105,110.0
7,F#5,1.5,9/20,118,110.0
8,F#4,1.5,0.25,119,110.0
9,D4,1.5,0.25,119,110.0
10,A3,1.5,0.25,119,110.0
11,E4,1.75,0.25,100,110.0
12,D5,2.0,0.5,120,110.0
13,F#4,2.0,0.5,120,110.0
14,D4,2.0,0.5,120,110.0
15,A3,2.0,0.5,120,110.0
16,A4,2.5,0.5,96,110.0
17,B3,2.5,0.5,96,110.0
18,F#5,3.0,0.5,117,110.0
19,B2,3.0,0.5,117,110.0
20,D5,3.5,0.5,109,110.0
21,D3,3.5,0.5,109,110.0
22,A4,4.0,0.5,100,110.0
23,F#3,4.0,0.5,100,110.0
24,F#5,4.5,0.5,115,110.0
25,E4,4.5,0.5,115,110.0
26,D5,5.0,0.5,106,110.0
27,A3,5.0,0.5,106,110.0
28,A4,5.5,0.5,96,110.0
29,F#3,5.5,0.5,96,110.0
30,F#5,6.0,9/20,119,110.0
31,F#3,6.0,1.0,114,110.0
32,D5,6.5,9/20,106,110.0
33,A4,7.0,0.5,102,110.0
34,F#3,7.0,0.5,102,110.0
35,F#5,7.5,0.5,113,110.0
36,E4,7.5,0.5,113,110.0
37,B3,7.5,0.5,113,110.0
38,D5,8.0,0.5,102,110.0
39,D4,8.0,0.5,102,110.0
40,A3,8.0,0.5,102,110.0
41,A4,8.5,0.5,91,110.0
42,B3,8.5,0.5,91,110.0
43,A4,9.0,0.5,96,110.0
44,A2,9.0,0.5,96,110.0
45,C#5,9.5,0.5,108,110.0
46,E3,9.5,0.5,108,110.0
47,A4,10.0,0.5,106,110.0
48,A3,10.0,0.5,106,110.0
49,E5,10.5,9/20,119,110.0
50,C#4,10.5,167/1000,121,110.0
51,E4,10.667,167/1000,100,110.0
52,C#4,10.833,167/1000,120,110.0
53,C#5,11.0,0.5,94,110.0
54,A3,11.0,0.5,94,110.0
55,A4,11.5,0.5,102,110.0
56,F#3,11.5,0.5,102,110.0
57,B4,12.0,0.5,90,110.0
58,B2,12.0,0.5,90,110.0
59,D5,12.5,0.5,102,110.0
60,D3,12.5,0.5,102,110.0
61,F#5,13.0,0.5,115,110.0
62,F#3,13.0,0.5,115,110.0
63,A5,13.5,9/20,118,110.0
64,E4,13.5,0.25,122,110.0
65,D4,13.75,0.25,114,110.0
66,F#5,14.0,0.5,106,110.0
67,A3,14.0,0.5,106,110.0
68,D5,14.5,0.5,92,110.0
69,F#3,14.5,0.5,92,110.0
70,C#5,15.0,0.5,94,110.0
71,C3,15.0,0.5,94,110.0
72,E5,15.5,0.5,108,110.0
73,G3,15.5,0.5,108,110.0
74,C#5,16.0,0.5,108,110.0
75,C4,16.0,0.5,108,110.0
76,A5,16.5,0.5,122,110.0
77,E4,16.5,0.5,122,110.0
78,E5,17.0,0.5,110,110.0
79,C4,17.0,0.5,110,110.0
80,C#5,17.5,0.5,98,110.0
81,G3,17.5,0.5,98,110.0
82,F#5,18.0,9/20,103,110.0
83,D5,18.0,9/20,103,110.0
84,D2,18.0,9/20,103,110.0
85,D3,18.0,9/20,103,110.0
86,G2,18.0,9/20,103,110.0
87,D2,18.0,9/20,103,110.0
88,D5,18.5,9/20,96,110.0
89,A4,18.5,9/20,96,110.0
90,A1,18.5,9/20,96,110.0
91,A2,18.5,9/20,96,110.0
92,D2,18.5,9/20,96,110.0
93,G2,18.5,9/20,96,110.0
94,F#5,19.0,69/20,109,110.0
95,D5,19.0,69/20,109,110.0
96,D2,19.0,69/20,109,110.0
97,D3,19.0,5.0,122,110.0
98,A3,19.0,5.0,122,110.0
99,G2,19.0,9/20,90,110.0
100,D2,19.0,9/20,90,110.0
101,A1,22.5,9/20,95,110.0
102,D2,22.5,9/20,95,110.0
103,D5,23.0,9/20,102,110.0
104,D5,23.0,9/20,102,110.0
105,B1,23.0,9/20,102,110.0
106,C2,23.0,9/20,102,110.0
107,E5,23.5,9/20,102,110.0
108,E5,23.5,9/20,102,110.0
109,C#2,23.5,9/20,102,110.0
