,note_name,start_time,duration,velocity,tempo
0,C2,8.0,0.062,108,120.0
1,A4,8.0,0.062,108,120.0
2,B-4,8.5,0.062,92,120.0
3,D2,9.0,0.062,127,120.0
4,B-4,9.5,0.062,91,120.0
5,C2,10.0,0.062,108,120.0
6,A4,10.0,0.062,108,120.0
7,B-4,10.5,0.062,92,120.0
8,D2,11.0,0.062,127,120.0
9,B-4,11.5,0.062,90,120.0
10,C2,12.0,0.062,107,120.0
11,A4,12.0,0.062,107,120.0
12,C#2,12.5,0.062,90,120.0
13,B-4,12.5,0.062,90,120.0
14,D2,13.0,0.062,127,120.0
15,B-4,13.5,0.062,91,120.0
16,C2,14.0,0.062,100,120.0
17,C#2,14.0,0.062,100,120.0
18,A4,14.0,0.062,100,120.0
19,D1,14.5,1.031,107,120.0
20,B-4,14.5,0.062,92,120.0
21,D2,15.0,0.062,127,120.0
22,E-1,15.5,0.5,90,120.0
23,B-4,15.5,0.062,91,120.0
24,G3,15.927,73/1000,94,120.0
25,E4,15.927,73/1000,94,120.0
26,B3,15.927,73/1000,94,120.0
27,G3,16.0,4.0,94,120.0
28,E4,16.0,4.0,94,120.0
29,B3,16.0,4.0,94,120.0
30,C2,16.0,0.062,108,120.0
31,A4,16.0,0.062,108,120.0
32,D1,16.01,271/500,86,120.0
33,E1,16.5,0.312,86,120.0
34,B-4,16.5,0.062,92,120.0
35,D2,17.0,0.062,127,120.0
36,E1,17.5,177/500,86,120.0
37,B3,17.5,0.062,96,120.0
38,B-4,17.5,0.062,96,120.0
39,C2,18.0,0.062,108,120.0
40,A4,18.0,0.062,108,120.0
41,E1,18.5,479/1000,99,120.0
42,B-4,18.5,0.062,92,120.0
43,G1,19.0,49/100,94,120.0
44,D2,19.0,0.062,127,120.0
45,E1,19.5,0.5,88,120.0
46,B-4,19.5,0.062,88,120.0
47,D1,20.0,521/1000,88,120.0
48,E1,20.0,21/1000,88,120.0
49,G3,20.0,4.0,94,120.0
50,E4,20.0,4.0,94,120.0
51,B3,20.0,4.0,94,120.0
52,C2,20.0,0.062,108,120.0
53,A4,20.0,0.062,108,120.0
54,E1,20.5,73/200,88,120.0
55,C#2,20.5,0.062,89,120.0
56,B-4,20.5,0.062,89,120.0
57,D2,21.0,0.062,127,120.0
58,E1,21.5,0.5,88,120.0
59,B-4,21.5,0.062,88,120.0
60,C2,22.0,0.062,101,120.0
61,C#2,22.0,0.062,101,120.0
62,A4,22.0,0.062,101,120.0
63,F#1,22.5,0.5,98,120.0
64,B-4,22.5,0.062,92,120.0
65,G1,23.0,521/1000,102,120.0
66,D2,23.0,0.062,127,120.0
67,A1,23.5,0.5,88,120.0
68,B-4,23.5,0.062,87,120.0
69,A1,24.0,73/1000,88,120.0
70,G3,24.0,4.0,94,120.0
71,E4,24.0,4.0,94,120.0
72,B3,24.0,4.0,94,120.0
73,C2,24.0,0.062,106,120.0
74,A4,24.0,0.062,106,120.0
75,D1,24.01,69/125,86,120.0
76,E1,24.5,0.344,87,120.0
77,B-4,24.5,0.062,90,120.0
78,D2,25.0,0.062,127,120.0
79,E1,25.5,0.344,94,120.0
80,B3,25.5,0.062,95,120.0
81,B-4,25.5,0.062,95,120.0
82,C2,26.0,0.062,108,120.0
83,A4,26.0,0.062,108,120.0
84,E1,26.5,0.531,90,120.0
85,B-4,26.5,0.062,92,120.0
86,G1,27.0,0.5,89,120.0
87,D2,27.0,0.062,127,120.0
88,E1,27.5,0.469,86,120.0
89,B-4,27.5,0.062,91,120.0
90,G3,28.0,3.625,94,120.0
91,E4,28.0,11677/1000,94,120.0
92,B3,28.0,3833/1000,94,120.0
93,C2,28.0,0.062,108,120.0
94,A4,28.0,0.062,108,120.0
95,D1,28.01,0.531,83,120.0
96,C#2,28.5,0.062,89,120.0
97,B-4,28.5,0.062,89,120.0
98,E1,28.51,0.281,85,120.0
99,D2,29.0,0.062,127,120.0
100,E1,29.5,0.312,85,120.0
101,B-4,29.5,0.062,92,120.0
102,C2,30.0,0.062,100,120.0
103,C#2,30.0,0.062,100,120.0
104,A4,30.0,0.062,100,120.0
105,E1,30.5,49/100,89,120.0
106,B-4,30.5,0.062,91,120.0
107,F#1,31.0,0.469,87,120.0
108,D2,31.0,0.062,127,120.0
109,E1,31.5,0.5,88,120.0
110,B-4,31.5,0.062,92,120.0
111,A3,31.854,73/500,94,120.0
112,C4,31.854,73/500,94,120.0
113,C2,32.0,0.062,108,120.0
114,A4,32.0,0.062,108,120.0
115,D1,32.01,479/1000,85,120.0
116,E1,32.5,73/200,86,120.0
117,B-4,32.5,0.062,91,120.0
118,D2,33.0,0.062,127,120.0
119,E1,33.5,0.281,90,120.0
120,B3,33.5,0.062,95,120.0
121,B-4,33.5,0.062,95,120.0
122,C2,34.0,0.062,108,120.0
123,A4,34.0,0.062,108,120.0
124,E1,34.5,49/100,102,120.0
125,B-4,34.5,0.062,92,120.0
126,G1,35.0,49/100,90,120.0
127,D2,35.0,0.062,127,120.0
128,E1,35.5,0.469,97,120.0
129,B-4,35.5,0.062,90,120.0
130,C2,36.0,0.062,108,120.0
131,A4,36.0,0.062,108,120.0
132,D1,36.01,0.594,87,120.0
133,E1,36.5,73/200,89,120.0
134,C#2,36.5,0.062,89,120.0
135,B-4,36.5,0.062,89,120.0
136,D2,37.0,0.062,127,120.0
137,E1,37.5,49/100,94,120.0
138,B-4,37.5,0.062,91,120.0
139,C2,38.0,0.062,101,120.0
140,C#2,38.0,0.062,101,120.0
141,A4,38.0,0.062,101,120.0
142,F#1,38.5,69/125,100,120.0
143,B-4,38.5,0.062,92,120.0
144,G1,39.0,0.5,97,120.0
145,D2,39.0,0.062,127,120.0
146,A1,39.5,0.5,85,120.0
147,B-4,39.5,0.062,93,120.0
148,A3,39.677,4.0,94,120.0
149,C4,39.677,4.0,94,120.0
150,D1,40.0,479/1000,87,120.0
151,A1,40.0,13/250,85,120.0
152,C2,40.0,0.062,108,120.0
153,A4,40.0,0.062,108,120.0
154,E1,40.5,0.312,86,120.0
155,B-4,40.5,0.062,93,120.0
156,D2,41.0,0.062,127,120.0
157,E1,41.5,73/250,90,120.0
158,B3,41.5,0.062,96,120.0
159,B-4,41.5,0.062,96,120.0
160,C2,42.0,0.062,108,120.0
161,A4,42.0,0.062,108,120.0
162,E1,42.5,0.531,97,120.0
163,B-4,42.5,0.062,93,120.0
164,F#1,43.0,479/1000,88,120.0
165,D2,43.0,0.062,127,120.0
166,E1,43.5,0.469,90,120.0
167,B-4,43.5,0.062,91,120.0
168,A3,43.677,901/250,94,120.0
169,C4,43.677,3521/1000,94,120.0
170,C2,44.0,0.062,108,120.0
171,A4,44.0,0.062,108,120.0
172,D1,44.01,229/500,85,120.0
173,E1,44.5,73/200,88,120.0
174,C#2,44.5,0.062,90,120.0
175,B-4,44.5,0.062,90,120.0
176,D2,45.0,0.062,127,120.0
177,D1,45.5,0.375,89,120.0
178,B-4,45.5,0.062,93,120.0
179,C2,46.0,0.062,101,120.0
180,C#2,46.0,0.062,101,120.0
181,A4,46.0,0.062,101,120.0
182,E1,46.5,49/100,90,120.0
183,B-4,46.5,0.062,92,120.0
184,D1,47.0,427/1000,87,120.0
185,D2,47.0,0.062,127,120.0
186,E1,47.5,0.5,88,120.0
187,B-4,47.5,0.062,92,120.0
188,F#4,47.604,73/1000,94,120.0
189,B3,47.604,73/1000,94,120.0
190,A3,47.604,73/1000,94,120.0
191,D4,47.604,73/1000,94,120.0
192,F#4,47.677,4.0,94,120.0
193,B3,47.677,4.0,94,120.0
194,A3,47.677,4.0,94,120.0
195,D4,47.677,4.0,94,120.0
196,C2,48.0,0.062,108,120.0
197,A4,48.0,0.062,108,120.0
198,D1,48.01,0.469,97,120.0
199,E1,48.5,323/1000,92,120.0
200,B-4,48.5,0.062,92,120.0
201,D2,49.0,0.062,127,120.0
202,E1,49.5,0.312,92,120.0
203,B3,49.5,0.062,96,120.0
204,B-4,49.5,0.062,96,120.0
205,C2,50.0,0.062,108,120.0
206,A4,50.0,0.062,108,120.0
207,E1,50.5,573/1000,92,120.0
208,B-4,50.5,0.062,92,120.0
209,F#1,51.0,229/500,92,120.0
210,D2,51.0,0.062,127,120.0
211,G1,51.5,0.5,99,120.0
212,B-4,51.5,0.062,93,120.0
213,F#4,51.677,3.656,94,120.0
214,B3,51.677,3.656,94,120.0
215,A3,51.677,3.656,94,120.0
216,D4,51.677,3.656,94,120.0
217,D1,52.0,0.469,85,120.0
218,G1,52.0,0.031,99,120.0
219,C2,52.0,0.062,108,120.0
220,A4,52.0,0.062,108,120.0
221,C#2,52.5,0.062,90,120.0
222,B-4,52.5,0.062,90,120.0
223,E1,52.51,0.281,85,120.0
224,D2,53.0,0.062,127,120.0
225,E1,53.5,1.062,88,120.0
226,B-4,53.5,0.062,92,120.0
227,C2,54.0,0.062,101,120.0
228,C#2,54.0,0.062,101,120.0
229,A4,54.0,0.062,101,120.0
230,F#1,54.5,583/1000,96,120.0
231,B-4,54.5,0.062,93,120.0
232,G1,55.0,521/1000,102,120.0
233,D2,55.0,0.062,127,120.0
234,A1,55.5,0.5,97,120.0
235,B-4,55.5,0.062,93,120.0
236,B3,55.615,0.062,94,120.0
237,E4,55.646,0.031,94,120.0
238,G3,55.646,0.031,94,120.0
239,B3,55.677,4.0,94,120.0
240,E4,55.677,4.0,94,120.0
241,G3,55.677,4.0,94,120.0
242,A1,56.0,1/100,97,120.0
243,C2,56.0,0.062,108,120.0
244,A4,56.0,0.062,108,120.0
245,D1,56.01,0.5,97,120.0
246,E1,56.5,0.312,89,120.0
247,B-4,56.5,0.062,92,120.0
248,D2,57.0,0.062,127,120.0
249,B4,57.031,0.5,127,120.0
250,E1,57.5,0.312,87,120.0
251,B3,57.5,0.062,96,120.0
252,B-4,57.5,0.062,96,120.0
253,G4,57.542,1.562,127,120.0
254,C2,58.0,0.062,108,120.0
255,A4,58.0,0.062,108,120.0
256,F#1,58.5,51/100,87,120.0
257,B-4,58.5,0.062,92,120.0
258,G1,59.0,0.562,87,120.0
259,D2,59.0,0.062,127,120.0
260,A4,59.021,0.469,127,120.0
261,F#1,59.5,0.5,90,120.0
262,B-4,59.5,0.062,93,120.0
263,E4,59.51,49/100,127,120.0
264,B3,59.677,4.0,94,120.0
265,E4,59.677,4.0,94,120.0
266,G3,59.677,4.0,94,120.0
267,F#1,60.0,21/500,90,120.0
268,E4,60.0,1901/500,127,120.0
269,C2,60.0,0.062,108,120.0
270,A4,60.0,0.062,108,120.0
271,D1,60.01,51/100,84,120.0
272,C#2,60.5,0.062,90,120.0
273,B-4,60.5,0.062,90,120.0
274,E1,60.51,323/1000,86,120.0
275,D2,61.0,0.062,127,120.0
276,E1,61.5,271/1000,92,120.0
277,B-4,61.5,0.062,92,120.0
278,C2,62.0,0.062,101,120.0
279,C#2,62.0,0.062,101,120.0
280,A4,62.0,0.062,101,120.0
281,E1,62.5,51/100,92,120.0
282,B-4,62.5,0.062,92,120.0
283,G1,63.0,49/100,99,120.0
284,D2,63.0,0.062,127,120.0
285,E1,63.5,0.5,86,120.0
286,B-4,63.5,0.062,92,120.0
287,B3,63.677,4.0,94,120.0
288,E4,63.677,4.0,94,120.0
289,G3,63.677,4.0,94,120.0
290,E1,64.0,1/100,86,120.0
291,C2,64.0,0.062,108,120.0
292,A4,64.0,0.062,108,120.0
293,D1,64.01,521/1000,89,120.0
294,E1,64.5,0.375,89,120.0
295,B-4,64.5,0.062,93,120.0
296,D2,65.0,0.062,127,120.0
297,B4,65.021,0.5,127,120.0
298,B3,65.5,0.062,95,120.0
299,B-4,65.5,0.062,95,120.0
300,G4,65.51,1.562,127,120.0
301,E1,65.51,0.344,95,120.0
302,C2,66.0,0.062,108,120.0
303,A4,66.0,0.062,108,120.0
304,F#1,66.5,479/1000,100,120.0
305,B-4,66.5,0.062,91,120.0
306,A4,66.99,69/125,127,120.0
307,G1,67.0,0.5,104,120.0
308,D2,67.0,0.062,127,120.0
309,E4,67.49,51/100,127,120.0
310,A1,67.5,0.5,87,120.0
311,B-4,67.5,0.062,92,120.0
312,B3,67.677,3.938,94,120.0
313,E4,67.677,4.0,94,120.0
314,G3,67.677,3677/1000,94,120.0
315,E4,68.0,1323/500,127,120.0
316,A1,68.0,21/1000,87,120.0
317,C2,68.0,0.062,108,120.0
318,A4,68.0,0.062,108,120.0
319,D1,68.01,521/1000,94,120.0
320,C#2,68.5,0.062,90,120.0
321,B-4,68.5,0.062,90,120.0
322,E1,68.51,323/1000,92,120.0
323,D2,69.0,0.062,127,120.0
324,E1,69.5,0.344,97,120.0
325,B-4,69.5,0.062,92,120.0
326,C2,70.0,0.062,101,120.0
327,C#2,70.0,0.062,101,120.0
328,A4,70.0,0.062,101,120.0
329,E1,70.5,69/125,102,120.0
330,B-4,70.5,0.062,92,120.0
331,G1,71.0,0.531,99,120.0
332,D2,71.0,0.062,127,120.0
333,E1,71.5,0.5,94,120.0
334,B-4,71.5,0.062,92,120.0
335,A3,71.635,21/500,94,120.0
336,C4,71.635,21/500,94,120.0
337,E4,71.677,4.0,94,120.0
338,A3,71.677,4.0,94,120.0
339,C4,71.677,4.0,94,120.0
340,D1,72.0,69/125,90,120.0
341,E1,72.0,1/100,94,120.0
342,C2,72.0,0.062,108,120.0
343,A4,72.0,0.062,108,120.0
344,E1,72.5,0.375,89,120.0
345,B-4,72.5,0.062,92,120.0
346,D2,73.0,0.062,127,120.0
347,B4,73.031,0.469,127,120.0
348,G4,73.49,771/500,127,120.0
349,B3,73.5,0.062,96,120.0
350,B-4,73.5,0.062,96,120.0
351,E1,73.51,333/1000,94,120.0
352,C2,74.0,0.062,108,120.0
353,A4,74.0,0.062,108,120.0
354,E1,74.5,0.594,94,120.0
355,B-4,74.5,0.062,92,120.0
356,A4,74.979,151/250,127,120.0
357,F#1,75.0,0.469,88,120.0
358,D2,75.0,0.062,127,120.0
359,E4,75.427,0.125,107,120.0
360,E1,75.5,479/1000,92,120.0
361,B-4,75.5,0.062,91,120.0
362,F#4,75.573,427/1000,127,120.0
363,E4,75.677,1849/500,94,120.0
364,A3,75.677,3.656,94,120.0
365,C4,75.677,3.656,94,120.0
366,F#4,76.0,249/100,127,120.0
367,C2,76.0,0.062,108,120.0
