,note_name,start_time,duration,velocity,tempo
0,E2,3.354,0.125,54,118.0
1,B2,3.354,0.125,54,118.0
2,E3,3.438,0.125,54,118.0
3,G#3,3.438,0.125,54,118.0
4,B3,3.521,0.125,54,118.0
5,E4,3.521,0.125,54,118.0
6,E4,3.604,0.25,54,118.0
7,B3,3.604,0.25,54,118.0
8,G#3,3.698,0.25,54,118.0
9,E3,3.698,0.25,54,118.0
10,B2,3.792,0.062,54,118.0
11,E2,3.792,0.062,54,118.0
12,E2,3.906,0.094,54,118.0
13,B2,3.906,0.094,54,118.0
14,E2,4.0,573/500,84,118.0
15,B1,4.0,0.219,72,118.0
16,E3,4.0,4.0,60,118.0
17,G#3,4.0,4.0,60,118.0
18,E2,4.0,4.0,54,118.0
19,B2,4.0,4.0,54,118.0
20,E3,4.0,1333/1000,47,118.0
21,B3,4.0,1333/1000,47,118.0
22,E4,4.0,1333/1000,47,118.0
23,G#4,4.0,1333/1000,47,118.0
24,B4,4.0,1333/1000,47,118.0
25,G#2,4.021,99/500,59,118.0
26,F#2,4.021,99/500,59,118.0
27,B3,4.073,3927/1000,67,118.0
28,E4,4.073,3927/1000,67,118.0
29,F#2,4.51,0.188,59,118.0
30,D2,5.0,0.125,72,118.0
31,G#2,5.021,0.219,53,118.0
32,F#2,5.021,0.219,53,118.0
33,E2,5.5,1.125,84,118.0
34,B1,5.5,0.156,72,118.0
35,B4,5.5,667/1000,36,118.0
36,G#4,5.5,667/1000,36,118.0
37,E4,5.5,667/1000,36,118.0
38,B3,5.5,667/1000,36,118.0
39,E3,5.5,667/1000,36,118.0
40,F#2,5.542,167/1000,59,118.0
41,G#2,6.021,0.188,59,118.0
42,F#2,6.021,0.188,59,118.0
43,B4,6.5,667/1000,36,118.0
44,G#4,6.5,667/1000,36,118.0
45,E4,6.5,667/1000,36,118.0
46,B3,6.5,667/1000,36,118.0
47,E3,6.5,667/1000,36,118.0
48,F#2,6.552,0.125,59,118.0
49,C#2,7.0,229/500,84,118.0
50,D2,7.0,27/200,72,118.0
51,G#2,7.0,0.188,56,118.0
52,F#2,7.0,0.188,56,118.0
53,E2,7.5,0.281,84,118.0
54,B1,7.5,0.156,57,118.0
55,F#2,7.5,0.156,59,118.0
56,B4,7.5,333/1000,28,118.0
57,G#4,7.5,333/1000,28,118.0
58,E4,7.562,333/1000,28,118.0
59,B3,7.562,333/1000,28,118.0
60,E3,7.625,333/1000,28,118.0
61,E2,8.0,573/500,84,118.0
62,B1,8.0,167/1000,72,118.0
63,E3,8.0,1333/1000,42,118.0
64,B3,8.0,1333/1000,42,118.0
65,E4,8.0,1333/1000,42,118.0
66,G#4,8.0,1333/1000,42,118.0
67,B4,8.0,1333/1000,42,118.0
68,G#2,8.021,99/500,59,118.0
69,F#2,8.021,99/500,59,118.0
70,F#2,8.51,0.188,59,118.0
71,D2,9.0,27/200,72,118.0
72,G#2,9.021,0.219,53,118.0
73,F#2,9.021,0.219,53,118.0
74,E2,9.5,1.125,84,118.0
75,B1,9.5,167/1000,72,118.0
76,B4,9.5,667/1000,36,118.0
77,G#4,9.5,667/1000,36,118.0
78,E4,9.5,667/1000,36,118.0
79,B3,9.5,667/1000,36,118.0
80,E3,9.5,667/1000,36,118.0
81,F#2,9.542,167/1000,59,118.0
82,E3,9.75,1677/1000,60,118.0
83,G#3,9.75,1677/1000,60,118.0
84,E2,9.75,1.594,54,118.0
