,note_name,start_time,duration,velocity,tempo
0,D3,6.005,1/200,80,120.0
1,D2,6.182,23/200,80,120.0
2,D2,6.339,73/500,90,120.0
3,D2,6.516,1/100,112,120.0
4,D2,6.682,1/200,105,120.0
5,D2,6.844,1/100,103,120.0
6,D2,7.016,1/100,120,120.0
7,D2,7.266,1/100,120,120.0
8,D3,7.516,1/100,80,120.0
9,B-5,8.0,4.0,127,120.0
10,B-4,8.0,4.0,127,120.0
11,C2,8.01,1/200,76,120.0
12,F#2,8.01,1/200,76,120.0
13,E-3,8.01,1/200,76,120.0
14,B2,8.01,1/200,76,120.0
15,G4,8.01,1/200,76,120.0
16,E-4,8.026,0.344,89,120.0
17,E-3,8.026,0.344,89,120.0
18,B-3,8.026,0.344,89,120.0
19,G4,8.026,0.344,89,120.0
20,E-1,8.047,0.656,122,120.0
21,G4,8.057,1.266,80,120.0
22,B-3,8.057,1229/1000,80,120.0
23,E-4,8.057,1229/1000,80,120.0
24,F#2,8.516,1/100,83,120.0
25,B-4,8.516,1/100,83,120.0
26,C2,8.516,1/100,83,120.0
27,D2,9.016,1/100,86,120.0
28,F#2,9.016,1/100,86,120.0
29,B2,9.016,1/100,86,120.0
30,C4,9.484,2.516,80,120.0
31,E-4,9.484,2.516,80,120.0
32,G#4,9.484,2.516,80,120.0
33,C2,9.51,0.016,83,120.0
34,F#2,9.51,0.016,83,120.0
35,B-4,9.51,0.016,83,120.0
36,E-4,9.516,143/500,89,120.0
37,C4,9.516,143/500,89,120.0
38,G#3,9.516,143/500,89,120.0
39,G#4,9.516,143/500,89,120.0
40,G#1,9.526,417/1000,122,120.0
41,B-4,9.76,0.016,80,120.0
42,F#2,10.016,1/200,72,120.0
43,B2,10.016,1/200,72,120.0
44,F#2,10.516,1/100,83,120.0
45,G4,10.516,1/100,83,120.0
46,C2,10.516,1/100,83,120.0
47,G#3,10.521,333/1000,89,120.0
48,C4,10.521,333/1000,89,120.0
49,E-4,10.521,333/1000,89,120.0
50,G#1,10.526,229/500,122,120.0
51,G#4,10.531,0.297,89,120.0
52,D2,11.005,1/200,86,120.0
53,F#2,11.005,1/200,86,120.0
54,B2,11.005,1/200,86,120.0
55,B-2,11.432,1/100,80,120.0
56,F#2,11.516,1/100,88,120.0
57,B-2,11.516,1/100,88,120.0
58,C2,11.516,1/100,88,120.0
59,F3,11.521,0.328,89,120.0
60,C4,11.521,0.328,89,120.0
61,E-4,11.521,0.328,89,120.0
62,G#4,11.521,0.328,89,120.0
63,F1,11.526,237/500,122,120.0
64,B-5,12.0,167/1000,127,120.0
65,B-4,12.0,0.234,127,120.0
66,C4,12.0,1677/1000,80,120.0
67,E-4,12.0,763/500,80,120.0
68,G#4,12.0,1.797,80,120.0
69,F1,12.0,0.156,122,120.0
70,C2,12.005,1/200,81,120.0
71,F#2,12.005,1/200,81,120.0
72,B2,12.005,1/200,81,120.0
73,G4,12.005,1/200,81,120.0
74,G#4,12.5,3/25,127,120.0
75,G#5,12.5,3/25,127,120.0
76,F#2,12.505,1/100,83,120.0
77,C2,12.505,1/100,83,120.0
78,B-4,12.505,1/100,83,120.0
79,G#4,12.75,13/100,127,120.0
80,G#5,12.75,13/100,127,120.0
81,G#4,13.0,151/500,127,120.0
82,G#5,13.0,151/500,127,120.0
83,D2,13.005,1/200,86,120.0
84,F#2,13.005,1/200,86,120.0
85,B2,13.005,1/200,86,120.0
86,G4,13.5,0.062,127,120.0
87,G5,13.5,0.062,127,120.0
88,F#2,13.505,1/100,83,120.0
89,B-4,13.505,1/100,83,120.0
90,C2,13.505,1/100,83,120.0
91,F1,13.521,229/500,122,120.0
92,G4,13.75,0.125,127,120.0
93,G5,13.75,0.125,127,120.0
94,B-4,13.755,1/200,80,120.0
95,B-4,13.974,401/250,80,120.0
96,F4,13.974,401/250,80,120.0
97,D4,13.99,729/500,80,120.0
98,G4,14.0,307/1000,104,120.0
99,G5,14.0,307/1000,104,120.0
100,B-3,14.0,307/1000,104,120.0
101,D4,14.0,307/1000,104,120.0
102,B-4,14.0,307/1000,104,120.0
103,F#2,14.005,1/100,81,120.0
104,B2,14.005,1/100,81,120.0
105,C2,14.005,1/100,81,120.0
106,F4,14.005,307/1000,89,120.0
