,note_name,start_time,duration,velocity,tempo
0,B-6,9.792,13/125,87,100.0
1,B-5,9.792,13/125,87,100.0
2,A3,10.688,0.125,46,100.0
3,F#4,10.688,0.125,46,100.0
4,C4,10.688,0.125,46,100.0
5,B-2,10.688,0.125,46,100.0
6,B-1,10.688,0.125,46,100.0
7,E-4,10.688,0.125,46,100.0
8,A3,11.479,521/1000,51,100.0
9,F#3,11.479,521/1000,51,100.0
10,C4,11.479,521/1000,51,100.0
11,E-4,11.5,0.5,53,100.0
12,E-4,12.0,73/200,53,100.0
13,A3,12.0,13/50,51,100.0
14,F#3,12.0,13/50,51,100.0
15,C4,12.0,13/50,51,100.0
16,B-2,12.031,2.656,65,100.0
17,B-1,12.323,0.062,38,100.0
18,G#3,12.812,73/1000,82,100.0
19,C4,12.833,99/500,74,100.0
20,E-4,12.833,99/500,74,100.0
21,F#4,12.833,99/500,78,100.0
22,E-4,12.833,99/500,78,100.0
23,B-1,12.875,0.062,52,100.0
24,A3,12.885,427/1000,72,100.0
25,E-4,13.656,73/500,64,100.0
26,F#4,13.656,73/500,64,100.0
27,A3,13.656,73/500,64,100.0
28,C4,13.656,73/500,64,100.0
29,B-1,13.958,13/125,32,100.0
30,F4,14.385,0.125,48,100.0
31,G#3,14.385,0.125,48,100.0
32,D4,14.385,0.125,48,100.0
33,B3,14.417,73/1000,44,100.0
34,G3,14.688,177/500,54,100.0
35,B-3,14.688,177/500,54,100.0
36,E-4,14.698,0.219,56,100.0
37,F4,14.948,99/500,52,100.0
38,E-4,15.094,0.281,49,100.0
39,B-2,15.146,427/500,44,100.0
40,F#3,15.427,0.094,52,100.0
41,A3,15.427,0.094,52,100.0
42,C4,15.427,0.094,52,100.0
43,B-1,15.49,83/1000,37,100.0
44,B-2,16.0,13/125,44,100.0
45,B-1,16.031,73/1000,61,100.0
46,B-5,16.229,83/1000,90,100.0
47,B-6,16.229,83/1000,90,100.0
48,A3,17.031,73/1000,53,100.0
49,E-4,17.031,73/1000,53,100.0
50,F#4,17.031,73/1000,53,100.0
51,B-1,17.031,73/1000,53,100.0
52,C4,17.031,73/1000,53,100.0
53,B-2,17.031,73/1000,53,100.0
54,F#3,17.844,0.656,48,100.0
55,E-4,17.844,0.656,48,100.0
56,A3,17.844,0.656,48,100.0
57,C4,17.844,0.656,48,100.0
58,B-2,18.385,323/200,59,100.0
59,B-1,18.646,73/1000,35,100.0
60,G#3,19.167,83/1000,86,100.0
61,F#4,19.167,229/1000,80,100.0
62,C4,19.167,229/1000,80,100.0
63,E-4,19.167,229/1000,80,100.0
64,B-1,19.229,73/1000,53,100.0
65,A3,19.271,99/500,64,100.0
66,B-2,20.0,1.156,59,100.0
67,E-4,20.0,27/200,69,100.0
68,F#4,20.0,27/200,69,100.0
69,A3,20.0,27/200,69,100.0
70,C4,20.0,27/200,69,100.0
71,B-1,20.302,27/200,29,100.0
72,F4,20.781,0.094,45,100.0
73,G#3,20.781,0.094,45,100.0
74,D4,20.781,0.094,45,100.0
75,B3,20.865,73/500,29,100.0
76,G3,21.083,77/200,56,100.0
77,B-3,21.083,77/200,56,100.0
78,E-4,21.094,0.219,56,100.0
79,F4,21.385,83/1000,40,100.0
80,E4,21.385,83/1000,40,100.0
81,E-4,21.51,0.281,49,100.0
82,B-2,21.562,0.906,42,100.0
83,F#3,21.844,0.062,47,100.0
84,A3,21.844,0.062,47,100.0
85,B-1,21.844,0.062,47,100.0
86,C4,21.865,0.062,48,100.0
87,B-1,21.865,0.062,48,100.0
88,B-1,22.417,13/250,58,100.0
89,B-6,22.646,83/1000,81,100.0
90,B-7,22.646,83/1000,81,100.0
91,G#7,22.719,13/250,56,100.0
92,F#4,23.479,73/1000,56,100.0
93,E-4,23.479,73/1000,56,100.0
94,B-2,23.479,73/1000,56,100.0
95,A3,23.479,73/1000,56,100.0
96,C4,23.479,73/1000,56,100.0
97,B-1,23.479,73/1000,56,100.0
98,E-4,24.25,823/1000,45,100.0
99,C4,24.25,823/1000,45,100.0
100,F#3,24.25,823/1000,45,100.0
101,A3,24.26,823/1000,50,100.0
102,F#3,24.26,823/1000,50,100.0
103,B-2,24.792,401/125,63,100.0
104,B-1,25.042,0.094,51,100.0
105,G#3,25.615,73/1000,74,100.0
106,B-1,25.615,73/1000,74,100.0
107,F#4,25.615,229/1000,79,100.0
108,E-4,25.615,229/1000,79,100.0
109,C4,25.635,0.188,83,100.0
110,A3,25.688,26/125,71,100.0
111,F#4,26.427,27/200,69,100.0
112,E-4,26.427,27/200,69,100.0
113,A3,26.427,27/200,69,100.0
114,C4,26.427,27/200,69,100.0
115,B-1,26.719,83/1000,38,100.0
116,F4,27.198,0.125,60,100.0
117,G#3,27.198,0.125,60,100.0
118,B3,27.281,73/1000,25,100.0
119,E-4,27.5,0.25,61,100.0
120,G3,27.5,0.5,62,100.0
121,B-3,27.5,0.5,62,100.0
122,B-1,27.531,0.094,32,100.0
123,F4,27.802,177/1000,58,100.0
124,E-4,27.927,73/1000,47,100.0
125,B-2,28.0,0.531,63,100.0
126,E-4,28.0,0.375,47,100.0
127,G3,28.0,21/1000,62,100.0
128,B-3,28.0,21/1000,62,100.0
129,A3,28.24,177/1000,52,100.0
130,F#3,28.24,177/1000,52,100.0
131,C4,28.24,177/1000,52,100.0
132,B-1,28.26,73/1000,52,100.0
133,F3,28.76,0.125,69,100.0
134,B-2,28.76,0.125,69,100.0
135,G3,28.76,0.125,69,100.0
136,E-2,28.76,0.125,69,100.0
137,E-4,28.802,0.188,70,100.0
138,B-3,28.802,0.188,70,100.0
139,C#4,28.802,0.188,70,100.0
140,E-6,30.719,13/125,57,100.0
141,D5,30.719,13/125,57,100.0
142,C5,30.719,13/125,57,100.0
143,B-5,30.719,13/125,57,100.0
144,C6,30.719,13/125,57,100.0
145,G5,30.719,13/125,57,100.0
146,E-6,32.354,27/200,55,100.0
147,D5,32.354,27/200,55,100.0
148,C5,32.354,27/200,55,100.0
149,C6,32.354,27/200,55,100.0
150,F#5,32.354,27/200,55,100.0
151,A5,32.354,27/200,55,100.0
152,E-6,33.802,0.125,60,100.0
153,C6,33.802,0.125,60,100.0
154,F5,33.802,0.125,60,100.0
155,G#5,33.802,0.125,60,100.0
156,D5,33.844,0.031,47,100.0
157,C5,33.844,0.031,47,100.0
158,D2,34.646,151/500,59,100.0
159,A2,34.833,73/500,61,100.0
160,F#3,34.896,13/125,46,100.0
161,B-6,35.427,0.156,72,100.0
162,E-2,35.615,73/1000,57,100.0
163,B-2,35.615,73/1000,57,100.0
164,G3,35.656,0.125,51,100.0
165,B-6,35.677,229/1000,72,100.0
166,G6,35.677,229/1000,72,100.0
167,E-6,35.688,177/1000,78,100.0
168,E-7,35.688,177/1000,78,100.0
169,B-6,36.208,13/250,72,100.0
170,D6,36.208,13/250,72,100.0
171,D7,36.208,13/250,72,100.0
172,G6,36.208,13/250,72,100.0
173,G4,36.417,13/125,52,100.0
174,E-4,36.417,13/125,52,100.0
175,B-3,36.51,23/200,24,100.0
176,C4,36.51,23/200,24,100.0
177,B-5,36.51,23/200,43,100.0
178,C4,36.51,23/200,43,100.0
179,B-6,36.583,0.062,35,100.0
180,G6,37.021,0.5,82,100.0
181,D6,37.021,0.5,82,100.0
182,G5,37.021,0.5,82,100.0
183,B5,37.021,0.5,82,100.0
184,B1,37.219,83/1000,61,100.0
185,E-4,38.094,83/1000,52,100.0
186,G4,38.094,83/1000,52,100.0
187,B3,38.094,83/1000,52,100.0
188,D4,38.094,83/1000,52,100.0
189,G#3,38.104,99/500,52,100.0
190,G6,38.604,13/125,70,100.0
191,D6,38.604,13/125,70,100.0
192,G5,38.625,13/250,62,100.0
193,B5,38.625,13/250,62,100.0
194,B-1,38.875,0.062,53,100.0
195,B-2,38.875,0.062,53,100.0
196,B-5,38.927,0.094,74,100.0
197,B-6,38.927,0.25,72,100.0
198,G6,39.438,99/500,78,100.0
199,F4,39.677,0.125,56,100.0
200,C#4,39.677,0.125,56,100.0
201,B-3,39.677,0.125,56,100.0
202,G#3,39.677,0.125,56,100.0
203,B-6,39.74,0.188,51,100.0
204,G6,39.74,0.188,51,100.0
205,B-5,39.76,23/200,40,100.0
206,F6,39.76,23/200,40,100.0
207,G6,40.26,99/500,67,100.0
208,E6,40.26,0.812,75,100.0
209,E-2,40.458,13/250,49,100.0
210,B-6,41.062,0.25,74,100.0
211,G6,41.062,0.125,70,100.0
212,E6,41.062,0.125,70,100.0
213,B-5,41.062,0.125,71,100.0
214,E6,41.062,0.125,71,100.0
215,E4,41.26,13/125,60,100.0
216,C#4,41.26,13/125,60,100.0
217,G3,41.26,13/125,60,100.0
218,G6,41.854,177/1000,78,100.0
219,F3,42.073,0.062,57,100.0
220,E-3,42.073,0.062,57,100.0
221,G#2,42.073,0.062,57,100.0
222,C4,42.083,0.219,53,100.0
223,B-6,42.604,21/500,61,100.0
224,G6,42.604,21/500,61,100.0
225,B-5,42.604,21/500,61,100.0
226,F6,42.604,21/500,61,100.0
227,F4,42.875,0.094,57,100.0
228,E-4,42.875,0.094,57,100.0
229,C4,42.875,0.094,57,100.0
230,G#3,42.927,13/125,56,100.0
231,F#5,42.927,13/125,56,100.0
232,E-6,42.938,323/1000,59,100.0
233,C6,42.938,323/1000,59,100.0
234,G6,42.979,177/1000,44,100.0
235,F6,42.979,177/1000,44,100.0
236,G5,43.177,0.156,49,100.0
237,C3,43.708,0.156,53,100.0
238,E-2,43.708,0.156,53,100.0
239,F3,43.708,0.156,53,100.0
240,C6,43.74,13/50,67,100.0
241,E-5,43.74,13/50,67,100.0
242,E-6,43.74,13/50,67,100.0
243,B-5,43.74,13/50,67,100.0
244,C6,44.0,99/500,67,100.0
245,E-5,44.0,99/500,67,100.0
246,E-6,44.0,99/500,67,100.0
247,B-5,44.0,99/500,67,100.0
248,G#2,44.292,0.469,73,100.0
249,F#3,44.5,167/1000,66,100.0
250,C4,44.5,167/1000,66,100.0
251,C6,44.823,177/500,66,100.0
252,E-6,45.052,99/500,71,100.0
253,F3,45.292,229/1000,69,100.0
254,G2,45.292,229/1000,69,100.0
255,B3,45.292,229/1000,69,100.0
256,F5,45.344,0.562,66,100.0
257,B5,45.344,417/1000,74,100.0
258,F6,45.344,417/1000,74,100.0
259,E-6,45.927,0.656,59,100.0
260,B3,46.146,13/125,56,100.0
261,F3,46.146,13/125,56,100.0
262,E-4,46.146,13/125,56,100.0
263,B5,46.198,0.281,57,100.0
264,F5,46.198,0.281,57,100.0
265,F6,46.198,0.281,57,100.0
266,F3,46.729,138/125,72,100.0
267,G#2,46.729,138/125,72,100.0
