,note_name,start_time,duration,velocity,tempo
0,F#2,0.0,33/1000,71,90.0
1,F#2,0.5,21/500,60,90.0
2,F#2,1.0,21/500,59,90.0
3,F#2,1.5,21/500,64,90.0
4,F#2,2.0,21/500,46,90.0
5,E2,2.25,21/500,126,90.0
6,G#2,2.25,21/500,126,90.0
7,E2,2.333,21/500,127,90.0
8,C2,2.5,21/500,100,90.0
9,F#2,2.5,21/500,100,90.0
10,C2,2.75,21/500,93,90.0
11,E2,3.0,21/500,94,90.0
12,G#2,3.0,21/500,94,90.0
13,E2,3.083,21/500,114,90.0
14,C2,3.25,21/500,119,90.0
15,E2,3.5,21/500,97,90.0
16,F#2,3.5,21/500,97,90.0
17,G#2,3.5,21/500,97,90.0
18,E2,3.75,21/500,104,90.0
19,G#2,3.75,21/500,104,90.0
20,E2,4.0,817/1000,127,90.0
21,E2,4.0,817/1000,121,90.0
22,A4,4.0,101/125,118,90.0
23,F#5,4.0,101/125,118,90.0
24,D5,4.0,101/125,118,90.0
25,C#5,4.0,101/125,118,90.0
26,C#3,4.0,67/1000,86,90.0
27,C2,4.0,67/1000,86,90.0
28,F#2,4.0,67/1000,86,90.0
29,F#2,4.5,21/500,74,90.0
30,E2,5.0,0.125,125,90.0
31,E2,5.0,0.125,115,90.0
32,D5,5.0,117/1000,106,90.0
33,C#5,5.0,117/1000,106,90.0
34,A4,5.0,117/1000,106,90.0
35,F#5,5.0,117/1000,106,90.0
36,C#3,5.0,3/40,78,90.0
37,G3,5.0,3/40,78,90.0
38,C2,5.0,3/40,78,90.0
39,F#2,5.0,3/40,78,90.0
40,E1,5.25,367/1000,116,90.0
41,E2,5.25,367/1000,106,90.0
42,B4,5.25,121/500,122,90.0
43,G5,5.25,77/250,125,90.0
44,E5,5.25,77/250,125,90.0
45,D5,5.25,77/250,125,90.0
46,G#6,5.25,67/1000,104,90.0
47,C#3,5.25,67/1000,104,90.0
48,C2,5.25,67/1000,104,90.0
49,F#2,5.5,21/500,71,90.0
50,F#1,5.75,124/125,127,90.0
51,F#2,5.75,124/125,121,90.0
52,A5,5.75,2.25,120,90.0
53,E5,5.75,2.25,120,90.0
54,F#5,5.75,2.25,114,90.0
55,C#5,5.75,2.25,114,90.0
56,C#3,5.75,29/500,126,90.0
57,C2,5.75,29/500,126,90.0
58,F#2,6.0,21/500,69,90.0
59,F#2,6.5,21/500,77,90.0
60,F#1,7.0,183/1000,127,90.0
61,F#2,7.0,183/1000,121,90.0
62,G#6,7.0,21/500,87,90.0
63,C#3,7.0,21/500,87,90.0
64,C2,7.0,21/500,87,90.0
65,F#2,7.0,21/500,87,90.0
66,G1,7.25,433/1000,127,90.0
67,G2,7.25,433/1000,121,90.0
68,G3,7.25,21/500,93,90.0
69,C#3,7.25,21/500,93,90.0
70,C2,7.25,21/500,93,90.0
71,F#2,7.5,21/500,57,90.0
72,A1,7.75,0.25,127,90.0
73,A2,7.75,0.25,121,90.0
74,C#3,7.75,21/500,99,90.0
75,E3,7.75,21/500,99,90.0
76,C2,7.75,21/500,99,90.0
77,A1,8.0,3317/1000,127,90.0
78,A2,8.0,3317/1000,121,90.0
79,F#2,8.0,21/500,61,90.0
80,A5,8.0,19/5,120,90.0
81,E5,8.0,19/5,120,90.0
82,F#5,8.0,3867/1000,114,90.0
83,C#5,8.0,3867/1000,114,90.0
84,C3,8.25,21/500,82,90.0
85,D3,8.25,21/500,82,90.0
86,F#2,8.5,21/500,64,90.0
87,C3,9.0,21/500,82,90.0
88,B2,9.0,21/500,82,90.0
89,A2,9.0,21/500,82,90.0
90,F#2,9.0,21/500,82,90.0
91,F#2,9.5,21/500,66,90.0
92,B2,9.75,21/500,54,90.0
93,G2,9.75,21/500,54,90.0
94,A2,9.875,21/500,77,90.0
95,A2,10.0,21/500,86,90.0
96,B2,10.0,21/500,86,90.0
97,F#2,10.0,21/500,86,90.0
98,F#2,10.5,21/500,62,90.0
99,A2,10.75,21/500,72,90.0
100,G2,10.75,21/500,72,90.0
101,F#2,11.0,21/500,60,90.0
102,B2,11.25,21/500,63,90.0
103,A2,11.25,21/500,63,90.0
