,note_name,start_time,duration,velocity,tempo
0,G4,3.5,0.5,79,60.0
1,D4,3.5,0.5,79,60.0
2,B-3,3.521,479/1000,79,60.0
3,A3,3.521,479/1000,79,60.0
4,D3,3.542,229/500,79,60.0
5,G2,4.0,1.5,79,60.0
6,D3,4.0,0.5,79,60.0
7,G4,4.0,349/100,79,60.0
8,D4,4.0,349/100,79,60.0
9,B-3,4.0,99/100,79,60.0
10,A3,4.0,99/100,79,60.0
11,D3,4.5,3.5,79,60.0
12,B-3,5.0,1.0,79,60.0
13,A3,5.0,1.0,79,60.0
14,G2,5.5,1.0,79,60.0
15,B-3,6.0,1.0,79,60.0
16,A3,6.0,1.0,79,60.0
17,G2,6.5,1.0,79,60.0
18,B-3,7.0,1.0,79,60.0
19,A3,7.0,1.0,79,60.0
20,F#3,7.25,417/1000,111,60.0
21,G2,7.5,0.5,79,60.0
22,B-3,7.667,167/1000,111,60.0
23,C4,7.833,167/1000,111,60.0
24,G2,8.0,1.5,79,60.0
25,D3,8.0,1.0,79,60.0
26,D4,8.0,0.25,111,60.0
27,G1,8.0,3.5,95,60.0
28,B-3,8.0,1.0,79,60.0
29,A3,8.0,1.0,79,60.0
30,C#4,8.25,3083/1000,111,60.0
31,B-3,9.0,1.0,79,60.0
32,A3,9.0,1.0,79,60.0
33,G2,9.5,1.0,79,60.0
34,B-3,10.0,1.0,79,60.0
35,A3,10.0,1.0,79,60.0
36,G2,10.5,1.0,79,60.0
37,B-3,11.0,1.0,79,60.0
38,A3,11.0,1.0,79,60.0
39,F4,11.333,333/1000,111,60.0
40,G2,11.5,0.5,79,60.0
41,G1,11.5,0.5,95,60.0
42,G4,11.667,167/1000,89,60.0
43,F2,12.0,1.5,79,60.0
44,C#4,12.0,0.125,111,60.0
45,F1,12.0,1.75,95,60.0
46,A3,12.0,1.0,79,60.0
47,G3,12.0,1.0,79,60.0
48,C4,12.125,0.125,89,60.0
49,B-3,12.25,0.25,89,60.0
50,C3,12.5,3.5,79,60.0
51,C4,12.5,2.25,111,60.0
52,A3,13.0,1.0,79,60.0
53,G3,13.0,1.0,79,60.0
54,F2,13.5,1.0,79,60.0
55,C2,13.75,0.25,95,60.0
56,F1,14.0,0.25,95,60.0
57,A3,14.0,1.0,79,60.0
58,G3,14.0,1.0,79,60.0
59,F2,14.5,1.0,79,60.0
60,F1,14.5,0.75,95,60.0
61,B-3,14.75,83/1000,111,60.0
62,C4,14.833,83/1000,89,60.0
63,B-3,14.917,83/1000,89,60.0
64,A3,15.0,333/1000,89,60.0
65,A3,15.0,1.0,79,60.0
66,G3,15.0,1.0,79,60.0
67,D1,15.25,0.75,95,60.0
68,B-3,15.333,333/1000,89,60.0
69,F2,15.5,0.5,79,60.0
70,C4,15.667,333/1000,111,60.0
71,G2,16.0,1.5,79,60.0
72,C3,16.0,0.5,79,60.0
73,G3,16.0,0.5,79,60.0
74,G1,16.0,1.75,95,60.0
75,B-3,16.0,1.0,79,60.0
76,A3,16.0,1.0,79,60.0
77,D3,16.5,3.5,79,60.0
78,B-3,16.5,83/1000,79,60.0
79,A3,16.583,83/1000,63,60.0
80,G3,16.667,83/1000,63,60.0
81,A3,16.75,2.625,63,60.0
82,B-3,17.0,1.0,79,60.0
83,A3,17.0,1.0,79,60.0
84,G2,17.5,1.0,79,60.0
85,D1,17.75,0.25,95,60.0
86,G1,18.0,0.25,95,60.0
87,B-3,18.0,1.0,79,60.0
88,A3,18.0,1.0,79,60.0
89,D1,18.25,0.25,95,60.0
90,G2,18.5,1.0,79,60.0
91,G1,18.5,1.5,95,60.0
92,B-3,19.0,1.0,79,60.0
93,A3,19.0,1.0,79,60.0
94,G2,19.5,0.5,79,60.0
95,G3,19.625,0.375,79,60.0
96,F2,20.0,0.5,79,60.0
97,D3,20.0,0.5,79,60.0
98,G3,20.0,0.25,79,60.0
99,F1,20.0,1.75,95,60.0
100,A3,20.0,1.0,79,60.0
101,G3,20.0,1.0,79,60.0
102,F3,20.25,2.5,79,60.0
103,F2,20.5,1.0,79,60.0
104,A3,21.0,1.0,79,60.0
105,G3,21.0,1.0,79,60.0
106,F2,21.5,1.0,79,60.0
107,C2,21.75,0.25,95,60.0
108,F2,22.0,0.5,95,60.0
109,A3,22.0,1.0,79,60.0
110,G3,22.0,1.0,79,60.0
111,F2,22.5,1.0,79,60.0
112,F1,22.5,0.75,95,60.0
113,G5,22.75,83/1000,79,60.0
114,D5,22.833,83/1000,79,60.0
115,B-4,22.917,83/1000,79,60.0
116,A3,23.0,1.0,79,60.0
117,G3,23.0,1.0,79,60.0
118,G3,23.0,1.0,38,60.0
119,D1,23.25,0.25,95,60.0
120,F2,23.5,0.5,79,60.0
121,F1,23.5,0.25,95,60.0
122,D1,23.75,0.25,95,60.0
123,G2,24.0,4.0,79,60.0
124,A3,24.0,0.75,79,60.0
125,G3,24.0,0.5,79,60.0
126,G1,24.0,1.75,95,60.0
127,D3,24.25,3.75,79,60.0
128,A3,24.5,3.5,79,60.0
129,B-3,24.75,3.25,79,60.0
130,D4,25.0,3.0,79,60.0
131,C#4,25.167,0.5,79,60.0
132,G4,25.667,167/1000,79,60.0
133,D1,25.75,0.25,95,60.0
134,G4,26.0,2.0,79,60.0
135,G1,26.0,0.25,95,60.0
136,G1,26.5,1.5,95,60.0
137,F2,28.0,4.0,79,60.0
138,D3,28.0,0.25,79,60.0
139,A3,28.0,0.5,79,60.0
140,B-3,28.0,0.75,79,60.0
141,D4,28.0,1.0,79,60.0
142,D4,28.0,4.0,79,60.0
143,F1,28.0,1.75,95,60.0
144,C3,28.25,3.75,79,60.0
145,G3,28.5,3.5,79,60.0
146,A3,28.75,3.25,79,60.0
147,C4,29.0,3.0,79,60.0
148,C1,29.75,0.25,95,60.0
149,F1,30.0,0.25,95,60.0
150,F1,30.5,0.5,95,60.0
151,C2,31.0,0.25,95,60.0
152,F1,31.25,0.75,95,60.0
153,G2,32.0,2.75,79,60.0
154,C3,32.0,0.25,79,60.0
155,G3,32.0,0.5,79,60.0
156,A3,32.0,0.75,79,60.0
157,C4,32.0,1.0,79,60.0
158,G1,32.0,1.75,95,60.0
159,D3,32.25,3.5,79,60.0
160,A3,32.5,3.0,79,60.0
161,B-3,32.75,2.5,79,60.0
162,D4,33.0,2.0,79,60.0
163,C#4,33.167,0.5,79,60.0
164,G4,33.667,167/1000,79,60.0
165,D1,33.75,0.25,95,60.0
166,G4,34.0,1.625,79,60.0
167,G1,34.0,0.25,95,60.0
168,G1,34.5,1.5,95,60.0
169,G2,34.75,1.25,79,60.0
170,D4,35.0,1.0,79,60.0
171,B-3,35.25,0.75,79,60.0
172,A3,35.5,0.5,79,60.0
173,B-4,35.625,0.375,63,60.0
174,D3,35.75,0.25,79,60.0
175,F2,36.0,2.75,79,60.0
176,D3,36.0,0.25,79,60.0
177,A3,36.0,0.5,79,60.0
178,B-3,36.0,0.75,79,60.0
179,D4,36.0,1.0,79,60.0
180,G4,36.0,1.0,79,60.0
181,F1,36.0,1.75,95,60.0
182,C3,36.25,3.5,79,60.0
183,G3,36.5,3.0,79,60.0
184,A3,36.75,2.5,79,60.0
185,C4,37.0,2.0,79,60.0
186,F4,37.0,2.5,79,60.0
187,C2,37.75,0.25,95,60.0
188,G2,38.0,0.25,95,60.0
189,C2,38.25,0.25,95,60.0
190,F2,38.5,1.5,95,60.0
191,F2,38.75,1.25,79,60.0
192,C4,39.0,1.0,79,60.0
193,A3,39.25,0.75,79,60.0
194,G3,39.5,0.5,79,60.0
195,E-4,39.5,83/1000,79,60.0
196,F4,39.583,83/1000,63,60.0
197,E-4,39.667,83/1000,63,60.0
198,C3,39.75,0.25,79,60.0
199,D4,39.75,0.25,63,60.0
200,C3,40.0,4.0,79,60.0
201,C3,40.0,2.75,79,60.0
202,E-4,40.0,1.0,79,60.0
203,C2,40.0,1.75,95,60.0
204,B-3,40.01,1.469,65,60.0
205,E-4,40.01,1.469,65,60.0
206,G4,40.01,1.469,65,60.0
207,B-4,41.0,2.5,79,60.0
208,B-3,41.5,2.0,79,60.0
209,E-4,41.51,87/50,79,60.0
210,G4,41.521,1479/1000,79,60.0
211,G1,41.75,0.25,95,60.0
212,C2,42.0,0.25,95,60.0
213,C2,42.5,1.0,95,60.0
214,C3,42.75,1.25,79,60.0
215,G4,43.0,1.0,79,60.0
216,E-4,43.25,0.75,79,60.0
217,B-3,43.5,0.5,79,60.0
218,E-4,43.625,0.375,79,60.0
219,C2,43.75,21/500,95,60.0
220,D3,44.0,2.75,79,60.0
221,F4,44.0,0.75,79,60.0
222,D2,44.0,1.75,95,60.0
223,C4,44.01,1.469,65,60.0
224,F4,44.01,1.469,65,60.0
225,A4,44.01,1.469,65,60.0
226,C5,45.0,1.25,79,60.0
227,C4,45.5,2.25,79,60.0
228,F4,45.51,199/100,79,60.0
229,A4,45.521,1729/1000,79,60.0
230,A1,45.75,0.25,95,60.0
231,D2,46.0,0.25,95,60.0
232,A1,46.25,0.25,95,60.0
233,D2,46.5,0.25,95,60.0
234,D3,46.75,1.25,79,60.0
235,C5,46.75,1.25,79,60.0
236,C5,47.0,1.0,79,60.0
237,D2,47.0,0.25,95,60.0
238,A4,47.25,0.75,79,60.0
239,B-1,47.25,0.75,95,60.0
240,F4,47.5,0.5,79,60.0
241,C4,47.75,0.25,79,60.0
242,G2,48.0,4.0,79,60.0
243,C4,48.0,0.25,79,60.0
244,F4,48.0,0.5,79,60.0
245,A4,48.0,0.75,79,60.0
246,C5,48.0,3.0,79,60.0
247,C5,48.0,1.25,79,60.0
248,G1,48.0,1.75,95,60.0
249,F3,48.25,3.75,79,60.0
250,B-3,48.5,2.5,79,60.0
251,C4,48.75,2.25,79,60.0
252,B-4,49.25,0.5,79,60.0
253,C5,49.75,0.25,79,60.0
254,D1,49.75,0.25,95,60.0
255,B-4,50.0,1.0,79,60.0
256,G1,50.0,0.25,95,60.0
257,G1,50.5,1.5,95,60.0
258,A4,50.75,0.75,79,60.0
259,B-3,51.0,99/100,79,60.0
260,D4,51.0,99/100,79,60.0
261,A4,51.021,229/1000,79,60.0
262,G4,51.25,0.75,63,60.0
263,G#4,51.5,0.25,79,60.0
264,G4,51.75,0.25,79,60.0
265,E3,52.0,2.75,79,60.0
266,G4,52.0,3.0,63,60.0
267,F#4,52.0,1667/1000,79,60.0
268,E1,52.0,1.75,95,60.0
269,B-3,52.01,349/100,79,60.0
270,D4,52.021,3.219,79,60.0
271,G4,52.021,3.219,79,60.0
272,G4,53.667,167/1000,79,60.0
273,E2,53.75,0.25,95,60.0
274,A4,53.833,167/1000,63,60.0
275,D4,54.0,1.5,79,60.0
276,E1,54.0,0.25,95,60.0
277,E1,54.5,1.25,95,60.0
278,E3,54.75,1.25,79,60.0
279,G4,55.0,1.0,79,60.0
280,D4,55.25,0.75,79,60.0
