,note_name,start_time,duration,velocity,tempo
0,D4,0.0,0.25,44,102.0
1,B4,0.0,4.0,49,102.0
2,B5,0.0,4.0,52,102.0
3,F#4,0.033,0.125,51,102.0
4,G#3,0.033,0.125,51,102.0
5,B3,0.033,0.125,51,102.0
6,E-4,0.033,0.125,51,102.0
7,D4,0.5,0.25,20,102.0
8,G#3,0.792,1/10,67,102.0
9,E-4,0.792,1/10,67,102.0
10,F#4,0.792,1/10,67,102.0
11,B3,0.792,1/10,67,102.0
12,E-4,1.0,0.25,40,102.0
13,C#4,1.483,1229/500,71,102.0
14,B3,1.483,1229/500,71,102.0
15,F#4,1.5,12/5,63,102.0
16,G3,1.5,2333/1000,73,102.0
17,D4,1.5,0.25,6,102.0
18,D4,1.75,0.25,50,102.0
19,D4,2.25,0.25,25,102.0
20,D4,2.5,0.25,32,102.0
21,C#4,3.0,0.25,57,102.0
22,D4,3.5,0.25,9,102.0
23,D4,3.75,0.25,15,102.0
24,D4,4.0,0.25,23,102.0
25,B4,4.0,1779/500,49,102.0
26,B5,4.0,10.125,52,102.0
27,B3,4.0,921/500,69,102.0
28,E-4,4.0,921/500,69,102.0
29,F#3,4.0,921/500,69,102.0
30,D4,4.5,0.25,19,102.0
31,E-4,5.0,0.25,44,102.0
32,D4,5.5,0.25,1,102.0
33,D4,5.75,0.25,34,102.0
34,G#4,5.917,529/500,47,102.0
35,G#5,5.917,529/500,47,102.0
36,E-4,5.983,71/40,46,102.0
37,F3,6.017,33/20,54,102.0
38,B3,6.025,71/40,74,102.0
39,G#3,6.025,71/40,74,102.0
40,D4,6.25,0.25,26,102.0
41,D4,6.5,0.25,39,102.0
42,F#5,6.967,23/40,49,102.0
43,F#4,6.983,733/1000,47,102.0
44,C#4,7.0,0.25,40,102.0
45,D4,7.5,0.25,6,102.0
46,B4,7.658,171/500,55,102.0
47,D4,7.75,0.25,20,102.0
48,D4,8.0,0.25,32,102.0
49,B3,8.05,233/1000,71,102.0
50,F#4,8.05,233/1000,71,102.0
51,G#3,8.05,233/1000,71,102.0
52,E-4,8.058,1/40,100,102.0
53,D4,8.5,0.25,7,102.0
54,G#3,8.75,0.125,67,102.0
55,F#4,8.75,0.125,67,102.0
56,B3,8.75,0.125,67,102.0
57,E-4,8.758,0.125,74,102.0
58,F#4,8.758,0.125,74,102.0
