,note_name,start_time,duration,velocity,tempo
0,E2,6.742,1/40,117,79.0
1,E2,6.992,1/40,117,79.0
2,A2,7.492,1/40,117,79.0
3,B1,7.992,1/125,117,79.0
4,B3,7.992,1/125,117,79.0
5,F2,7.992,1/125,74,79.0
6,B3,7.992,1/125,74,79.0
7,D4,7.992,1/125,74,79.0
8,F4,7.992,1/125,74,79.0
9,G#4,7.992,1/125,74,79.0
10,F2,7.992,1/125,74,79.0
11,B4,7.992,1/125,74,79.0
12,D5,7.992,1/125,74,79.0
13,F5,7.992,1/125,74,79.0
14,G#5,7.992,1/125,74,79.0
15,B1,8.0,17/1000,117,79.0
16,B3,8.0,17/1000,117,79.0
17,F2,8.0,499/125,74,79.0
18,B3,8.0,499/125,74,79.0
19,D4,8.0,499/125,74,79.0
20,F4,8.0,499/125,74,79.0
21,G#4,8.0,499/125,74,79.0
22,F2,8.0,499/125,74,79.0
23,B4,8.0,499/125,74,79.0
24,D5,8.0,499/125,74,79.0
25,F5,8.0,499/125,74,79.0
26,G#5,8.0,499/125,74,79.0
27,B3,8.992,1/40,117,79.0
28,B3,9.992,1/40,117,79.0
29,E2,10.742,1/40,117,79.0
30,E2,10.992,1/40,117,79.0
31,A2,11.492,1/40,117,79.0
32,C2,11.992,1/125,104,79.0
33,B1,11.992,1/125,106,79.0
34,F#2,11.992,1/125,106,79.0
35,B4,11.992,1/125,70,79.0
36,E5,11.992,1/125,70,79.0
37,G5,11.992,1/125,70,79.0
38,C2,12.0,151/125,104,79.0
39,B1,12.0,17/1000,106,79.0
40,F#2,12.0,17/1000,106,79.0
41,B4,12.0,3883/1000,70,79.0
42,E5,12.0,3883/1000,70,79.0
43,G5,12.0,3883/1000,70,79.0
44,F#2,12.483,1/40,72,79.0
45,E4,12.483,271/500,105,79.0
46,G4,12.483,271/500,105,79.0
47,B4,12.483,271/500,105,79.0
48,E2,12.967,83/1000,120,79.0
49,F#2,12.967,83/1000,120,79.0
50,G4,12.967,83/1000,120,79.0
51,E4,12.967,83/1000,120,79.0
52,B4,12.967,83/1000,120,79.0
53,D5,12.967,83/1000,120,79.0
54,E4,13.208,27/250,112,79.0
55,G4,13.208,27/250,112,79.0
56,D5,13.208,27/250,112,79.0
57,G4,13.208,27/250,112,79.0
58,B4,13.208,27/250,112,79.0
59,B4,13.208,27/250,112,79.0
60,D5,13.208,27/250,112,79.0
