,note_name,start_time,duration,velocity,tempo
0,B2,4.646,167/1000,118,160.0
1,E2,4.979,0.344,111,160.0
2,D5,5.01,573/1000,91,160.0
3,B3,5.646,0.156,98,160.0
4,G4,5.646,0.156,98,160.0
5,B3,5.646,0.156,98,160.0
6,G4,5.646,0.156,98,160.0
7,G1,5.646,0.156,98,160.0
8,C2,5.656,1.062,105,160.0
9,B-4,5.677,1/100,60,160.0
10,D5,5.719,2.281,83,160.0
11,G2,6.0,401/500,92,160.0
12,F#2,6.031,1/100,62,160.0
13,B-4,6.031,1/100,62,160.0
14,G3,6.646,1/100,86,160.0
15,G3,6.646,1/100,86,160.0
16,B-4,6.646,1/100,86,160.0
17,D4,6.958,27/200,113,160.0
18,D4,6.958,27/200,113,160.0
19,B4,6.958,27/200,113,160.0
20,B4,6.958,27/200,113,160.0
21,G2,7.052,0.875,92,160.0
22,D4,7.635,23/200,97,160.0
23,B4,7.635,23/200,97,160.0
24,D4,7.635,23/200,97,160.0
25,B4,7.635,23/200,97,160.0
26,B-4,7.646,1/100,58,160.0
27,B-4,7.979,1/100,51,160.0
28,D5,8.0,323/200,83,160.0
29,C2,8.021,0.844,81,160.0
30,B-4,8.646,1/100,53,160.0
31,G3,8.646,23/200,98,160.0
32,G3,8.646,23/200,98,160.0
33,E4,8.969,177/1000,114,160.0
34,C5,8.969,177/1000,114,160.0
35,E4,8.969,177/1000,114,160.0
36,C5,8.969,177/1000,114,160.0
37,E2,8.99,99/100,98,160.0
38,C5,9.635,13/125,103,160.0
39,E4,9.635,13/125,103,160.0
40,E4,9.635,13/125,103,160.0
41,C5,9.635,13/125,103,160.0
42,B-4,9.646,1/100,54,160.0
43,F#2,9.979,1/100,68,160.0
44,B-4,9.979,1/100,68,160.0
45,D2,10.021,927/1000,95,160.0
46,G3,10.646,0.094,83,160.0
47,B-4,10.646,0.094,83,160.0
48,G3,10.646,0.094,83,160.0
49,C4,10.969,0.156,115,160.0
50,A4,10.969,0.156,115,160.0
51,C4,10.969,0.156,115,160.0
52,A4,10.969,0.156,115,160.0
53,C2,11.01,0.594,84,160.0
54,C4,11.635,83/1000,105,160.0
55,A4,11.635,83/1000,105,160.0
56,C4,11.635,83/1000,105,160.0
57,A4,11.635,83/1000,105,160.0
58,B-4,11.646,1/100,58,160.0
59,D2,11.667,229/1000,81,160.0
60,B4,11.667,151/500,88,160.0
61,G1,11.979,21/1000,90,160.0
62,B-4,11.99,1/100,53,160.0
63,G1,12.0,0.938,90,160.0
64,G3,12.635,1/100,68,160.0
65,B-4,12.635,1/100,68,160.0
66,D5,12.656,0.469,91,160.0
67,B3,12.969,73/500,113,160.0
68,B3,12.969,73/500,113,160.0
69,G4,12.969,73/500,113,160.0
70,G4,12.969,73/500,113,160.0
71,G1,13.625,167/1000,78,160.0
72,G4,13.625,167/1000,78,160.0
73,B-4,13.646,1/100,62,160.0
74,B3,13.646,23/200,100,160.0
75,G4,13.646,23/200,100,160.0
76,B3,13.646,23/200,100,160.0
77,G4,13.646,23/200,100,160.0
78,G2,13.969,0.406,88,160.0
79,B4,13.969,0.406,88,160.0
80,B-4,13.99,1/100,66,160.0
81,F#2,13.99,1/100,66,160.0
82,B-4,14.646,1/100,60,160.0
83,B4,14.656,0.375,95,160.0
84,G2,14.656,13/125,90,160.0
85,G3,14.656,13/125,90,160.0
86,G3,14.667,13/125,87,160.0
87,G3,14.667,13/125,87,160.0
88,B3,14.979,177/1000,118,160.0
89,G4,14.979,177/1000,118,160.0
90,B3,14.979,177/1000,118,160.0
91,G4,14.979,177/1000,118,160.0
92,G2,14.99,427/1000,98,160.0
93,C5,15.021,123/200,85,160.0
94,B-4,15.635,1/100,62,160.0
95,B3,15.646,23/200,86,160.0
96,G4,15.646,23/200,86,160.0
97,B3,15.646,23/200,102,160.0
98,G4,15.646,23/200,102,160.0
99,G4,15.646,23/200,102,160.0
100,G2,15.656,151/500,88,160.0
101,B4,15.688,0.312,76,160.0
102,B-4,15.979,1/100,54,160.0
103,B4,16.0,677/1000,76,160.0
104,C2,16.021,173/200,90,160.0
105,B-4,16.646,1/100,60,160.0
106,G3,16.646,13/125,92,160.0
107,G3,16.646,13/125,92,160.0
108,G4,16.677,1417/1000,61,160.0
109,E2,16.979,1.0,98,160.0
110,C4,16.979,0.188,114,160.0
111,A4,16.979,0.188,114,160.0
112,C4,16.979,0.188,114,160.0
113,A4,16.979,0.188,114,160.0
114,B-4,17.646,1/100,62,160.0
115,A4,17.646,27/200,97,160.0
116,C4,17.646,27/200,97,160.0
117,A4,17.646,27/200,97,160.0
118,C4,17.646,27/200,97,160.0
119,D2,17.979,1.094,101,160.0
120,B-4,17.99,1/100,70,160.0
121,F#2,17.99,1/100,70,160.0
122,B-4,18.646,1/100,60,160.0
123,G3,18.656,0.094,95,160.0
124,G4,18.656,99/500,66,160.0
125,A3,18.969,0.188,112,160.0
126,F#4,18.969,0.188,112,160.0
127,F#4,18.969,0.188,112,160.0
128,A3,18.969,0.188,112,160.0
129,D5,18.99,667/1000,98,160.0
130,D2,19.604,73/200,76,160.0
131,B4,19.604,73/200,76,160.0
132,A3,19.625,99/500,102,160.0
133,F#4,19.625,99/500,102,160.0
134,A3,19.625,99/500,102,160.0
135,F#4,19.625,99/500,102,160.0
136,B-4,19.646,1/100,62,160.0
137,G1,19.969,0.031,90,160.0
138,G4,20.0,123/200,73,160.0
139,B-4,20.0,1/100,54,160.0
140,G1,20.0,263/250,90,160.0
141,B-4,20.646,1/100,62,160.0
142,D5,20.656,49/100,95,160.0
143,D3,20.667,23/200,92,160.0
144,D3,20.667,23/200,92,160.0
145,B4,20.979,0.75,82,160.0
146,B3,20.979,99/500,118,160.0
147,G4,20.979,99/500,118,160.0
148,B3,20.979,99/500,118,160.0
149,G4,20.979,99/500,118,160.0
150,B-4,21.635,1/100,58,160.0
151,B3,21.635,0.125,97,160.0
152,G4,21.635,0.125,97,160.0
153,G1,21.635,0.125,97,160.0
154,B3,21.635,0.125,97,160.0
155,G4,21.635,0.125,97,160.0
156,G4,21.688,26/125,73,160.0
157,G2,21.948,0.812,86,160.0
158,B-4,21.979,1/100,63,160.0
159,F#2,21.979,1/100,63,160.0
160,C5,22.01,177/250,82,160.0
161,B-4,22.646,1/100,51,160.0
162,G3,22.656,0.094,98,160.0
163,G3,22.656,0.094,98,160.0
164,B4,22.688,26/125,70,160.0
165,D4,22.969,177/1000,119,160.0
166,B4,22.969,177/1000,119,160.0
167,D4,22.969,177/1000,119,160.0
168,B4,22.969,177/1000,119,160.0
169,G2,22.99,173/200,98,160.0
170,C5,23.021,677/1000,80,160.0
171,D4,23.635,0.125,105,160.0
172,B4,23.635,0.125,105,160.0
173,D4,23.635,0.125,105,160.0
174,B4,23.635,0.125,105,160.0
175,B-4,23.646,1/100,60,160.0
176,B4,23.698,151/500,76,160.0
177,C2,23.979,21/1000,80,160.0
178,B-4,23.99,1/100,54,160.0
179,C2,24.0,1.031,80,160.0
180,B4,24.0,2.0,76,160.0
181,B-4,24.646,1/100,62,160.0
182,G3,24.646,13/125,95,160.0
183,G3,24.646,13/125,95,160.0
184,E4,24.979,0.188,114,160.0
185,C5,24.979,0.188,114,160.0
186,E4,24.979,0.188,114,160.0
187,C5,24.979,0.188,114,160.0
188,E2,25.021,927/1000,101,160.0
189,B-4,25.646,1/100,68,160.0
190,E4,25.656,13/125,100,160.0
191,C5,25.656,13/125,100,160.0
192,E4,25.677,167/1000,106,160.0
193,C5,25.677,167/1000,106,160.0
194,B-4,25.979,1/100,70,160.0
195,F#2,25.979,1/100,70,160.0
196,D2,26.021,173/200,92,160.0
197,G4,26.646,73/200,88,160.0
198,B-4,26.656,1/100,62,160.0
199,G3,26.667,0.094,94,160.0
200,G3,26.667,0.094,94,160.0
201,C2,26.979,127/200,80,160.0
202,D4,26.979,127/200,80,160.0
203,C4,26.99,0.188,114,160.0
204,A4,26.99,0.188,114,160.0
205,C4,26.99,0.188,114,160.0
206,A4,26.99,0.188,114,160.0
207,A3,27.021,229/500,111,160.0
208,C4,27.646,27/200,98,160.0
209,A4,27.646,27/200,98,160.0
210,D2,27.646,27/200,98,160.0
211,A4,27.646,27/200,98,160.0
212,C4,27.646,27/200,98,160.0
213,B-4,27.667,1/100,60,160.0
214,A3,27.677,99/500,95,160.0
215,E4,27.688,73/250,67,160.0
216,G1,27.99,1/100,90,160.0
217,G1,28.0,1.031,90,160.0
218,G4,28.01,2177/1000,85,160.0
219,C3,28.01,56/125,113,160.0
220,C4,28.01,56/125,113,160.0
221,B-4,28.021,1/100,46,160.0
222,B-4,28.667,1/100,68,160.0
223,G3,28.688,83/1000,95,160.0
224,G3,28.688,83/1000,95,160.0
225,B3,28.979,167/1000,116,160.0
226,G4,28.979,167/1000,116,160.0
227,B3,28.979,167/1000,116,160.0
228,G4,28.979,167/1000,116,160.0
229,B-4,29.635,1/100,62,160.0
230,G4,29.646,0.125,102,160.0
231,B3,29.646,0.125,102,160.0
232,G4,29.646,0.125,102,160.0
