,note_name,start_time,duration,velocity,tempo
0,F1,0.708,0.062,88,128.0
1,F1,1.0,0.922,93,128.0
2,G1,2.0,0.812,95,128.0
3,E2,2.667,21/500,67,128.0
4,A1,3.0,583/1000,99,128.0
5,E2,3.0,21/500,100,128.0
6,F1,3.667,323/1000,86,128.0
7,C2,3.667,21/500,93,128.0
8,B-1,4.0,1.484,97,128.0
9,E-3,4.0,21/500,82,128.0
10,C2,4.0,21/500,82,128.0
11,F3,4.667,177/1000,68,128.0
12,B-3,4.667,177/1000,68,128.0
13,D4,4.667,177/1000,68,128.0
14,G4,4.667,177/1000,68,128.0
15,B-4,4.667,177/1000,68,128.0
16,C#2,5.0,21/500,86,128.0
17,G#2,5.0,21/500,86,128.0
18,F1,5.667,13/125,73,128.0
19,F1,6.0,163/100,96,128.0
20,C2,6.0,21/500,80,128.0
21,E-3,6.0,21/500,80,128.0
22,C#2,7.0,21/500,80,128.0
23,G#2,7.0,21/500,80,128.0
24,C3,7.63,89/1000,64,128.0
25,C2,7.63,89/1000,64,128.0
26,C2,8.0,401/250,102,128.0
27,B-3,8.0,101/200,76,128.0
28,C4,8.0,101/200,76,128.0
29,E-4,8.0,101/200,76,128.0
30,B-4,8.0,101/200,76,128.0
31,C2,8.0,21/500,86,128.0
32,E-3,8.0,21/500,86,128.0
33,E-3,8.984,21/500,76,128.0
34,C#2,8.984,21/500,76,128.0
35,G#2,8.984,21/500,76,128.0
36,B-3,9.0,521/1000,75,128.0
37,E-4,9.0,521/1000,75,128.0
38,G4,9.0,521/1000,75,128.0
39,F1,9.667,0.094,83,128.0
40,A3,9.667,0.156,67,128.0
41,D4,9.667,0.156,67,128.0
42,F4,9.667,0.156,67,128.0
43,F1,10.0,0.641,103,128.0
44,C2,10.0,21/500,86,128.0
45,E-3,10.0,21/500,86,128.0
46,E-3,10.667,167/1000,67,128.0
47,A3,10.667,167/1000,67,128.0
48,D4,10.667,167/1000,67,128.0
49,F4,10.667,167/1000,67,128.0
50,C2,10.667,167/1000,67,128.0
51,B1,11.0,599/1000,106,128.0
52,G#2,11.0,21/500,78,128.0
53,C#2,11.0,21/500,78,128.0
54,E-3,11.0,21/500,78,128.0
55,F1,11.667,27/200,96,128.0
56,B-2,11.667,177/1000,70,128.0
57,D4,11.667,177/1000,70,128.0
58,G4,11.667,177/1000,70,128.0
59,B-4,11.667,177/1000,70,128.0
60,B-1,12.0,1.469,105,128.0
61,C2,12.0,21/500,86,128.0
62,E-3,12.0,21/500,86,128.0
63,D4,12.667,0.203,81,128.0
64,G4,12.667,0.203,81,128.0
65,B-4,12.667,0.203,81,128.0
66,E-3,12.984,21/500,76,128.0
67,C#2,12.984,21/500,76,128.0
68,G#2,12.984,21/500,76,128.0
69,F1,13.667,13/125,79,128.0
70,F1,14.0,479/500,96,128.0
71,C2,14.0,21/500,86,128.0
72,E-3,14.0,21/500,86,128.0
73,F1,15.0,667/1000,96,128.0
74,G#2,15.0,21/500,78,128.0
75,C#2,15.0,21/500,78,128.0
76,E-3,15.0,21/500,78,128.0
77,C3,15.667,89/1000,70,128.0
78,C2,15.667,89/1000,70,128.0
79,C2,16.0,401/250,102,128.0
80,B-3,16.0,557/1000,82,128.0
81,C4,16.0,557/1000,82,128.0
82,G4,16.0,557/1000,82,128.0
83,C2,16.0,21/500,86,128.0
84,E-3,16.0,21/500,86,128.0
85,C3,16.667,89/1000,69,128.0
86,E-3,16.984,21/500,76,128.0
87,C#2,16.984,21/500,76,128.0
88,G#2,16.984,21/500,76,128.0
89,B-3,17.0,67/125,80,128.0
90,C4,17.0,67/125,80,128.0
91,G4,17.0,67/125,80,128.0
92,D4,17.667,1.438,79,128.0
93,A3,17.667,13/100,67,128.0
94,D4,17.667,13/100,67,128.0
95,F4,17.667,13/100,67,128.0
96,F2,17.667,13/100,67,128.0
97,F1,17.667,13/100,73,128.0
98,F2,17.667,13/100,73,128.0
99,F1,18.0,0.641,103,128.0
100,C2,18.0,21/500,86,128.0
101,E-3,18.0,21/500,86,128.0
102,A2,18.667,167/1000,70,128.0
103,A3,18.667,167/1000,70,128.0
104,D4,18.667,167/1000,70,128.0
105,F4,18.667,167/1000,70,128.0
106,C2,18.667,167/1000,70,128.0
107,C2,19.0,943/1000,106,128.0
108,G#2,19.0,21/500,82,128.0
109,F4,19.667,333/1000,75,128.0
110,F3,19.667,21/500,80,128.0
111,C2,19.667,21/500,80,128.0
112,B-1,20.0,1.484,97,128.0
113,C2,20.0,21/500,70,128.0
114,F4,20.0,3/25,75,128.0
115,G4,20.667,87/100,77,128.0
116,F#2,20.667,21/500,43,128.0
117,C#2,21.0,21/500,64,128.0
118,F#2,21.0,21/500,64,128.0
119,F1,21.667,13/125,73,128.0
120,F1,22.0,163/100,96,128.0
121,G4,22.0,2.0,77,128.0
122,C2,22.0,21/500,68,128.0
123,F#2,22.0,21/500,68,128.0
124,F#2,23.0,21/500,67,128.0
125,C#2,23.0,21/500,67,128.0
126,C#5,23.625,0.375,108,128.0
127,B-1,23.667,21/500,56,128.0
128,F#2,23.667,21/500,56,128.0
129,B-1,24.0,401/250,102,128.0
130,C2,24.0,21/500,91,128.0
131,G4,24.0,0.016,77,128.0
132,C#5,24.0,13/125,108,128.0
133,D5,24.036,479/1000,72,128.0
134,F4,24.641,101/200,56,128.0
135,F#2,24.667,21/500,43,128.0
136,C#2,25.0,21/500,64,128.0
137,F#2,25.0,21/500,64,128.0
138,G4,25.12,557/1000,54,128.0
139,D2,25.667,17/250,69,128.0
140,D4,25.667,1333/1000,76,128.0
141,D4,25.703,0.25,58,128.0
142,B-4,25.703,0.25,58,128.0
143,D2,26.0,0.641,103,128.0
144,C2,26.0,21/500,68,128.0
145,F#2,26.0,21/500,68,128.0
146,B-1,26.667,6/25,85,128.0
147,C#2,27.0,911/1000,87,128.0
148,F4,27.0,911/1000,87,128.0
149,F#2,27.0,21/500,67,128.0
150,C#2,27.0,21/500,67,128.0
151,F#2,27.667,21/500,38,128.0
152,C2,28.0,323/200,105,128.0
153,C2,28.0,21/500,91,128.0
154,G4,28.667,237/250,72,128.0
155,F#2,28.667,21/500,43,128.0
156,C#2,29.0,21/500,64,128.0
157,F#2,29.0,21/500,64,128.0
158,F1,29.667,13/125,79,128.0
159,F1,30.0,192/125,86,128.0
160,G4,30.0,192/125,86,128.0
161,C2,30.0,21/500,68,128.0
162,F#2,30.0,21/500,68,128.0
163,F#2,31.0,21/500,67,128.0
164,C#2,31.0,21/500,67,128.0
165,C2,31.667,21/500,56,128.0
166,F#2,31.667,21/500,56,128.0
167,C2,32.0,401/250,102,128.0
168,C2,32.0,21/500,91,128.0
169,D5,32.052,443/1000,99,128.0
170,E-5,32.63,73/250,52,128.0
171,F#2,32.667,21/500,43,128.0
172,C#2,33.0,21/500,64,128.0
173,F#2,33.0,21/500,64,128.0
174,E5,33.016,77/200,58,128.0
175,E-4,33.661,51/200,63,128.0
176,F1,33.667,0.094,83,128.0
177,F5,33.677,651/1000,62,128.0
178,F1,34.0,1599/1000,96,128.0
179,C2,34.0,21/500,68,128.0
180,F#2,34.0,21/500,68,128.0
181,C#5,34.667,151/500,84,128.0
182,F5,34.667,71/125,79,128.0
183,G4,34.667,237/250,78,128.0
184,F#2,35.0,21/500,67,128.0
185,C#2,35.0,21/500,67,128.0
186,C5,35.005,0.438,61,128.0
187,G4,35.667,333/1000,71,128.0
188,C2,35.667,21/500,66,128.0
189,F#2,35.667,21/500,66,128.0
190,F4,35.76,6/25,55,128.0
191,C2,36.0,401/250,102,128.0
192,C2,36.0,21/500,91,128.0
193,F4,36.0,3.609,55,128.0
194,G4,36.0,83/1000,71,128.0
195,G4,36.667,643/500,73,128.0
196,F#2,36.667,21/500,43,128.0
197,C#2,37.0,21/500,64,128.0
198,F#2,37.0,21/500,64,128.0
199,F1,37.667,0.094,83,128.0
200,F1,38.0,1599/1000,96,128.0
201,G4,38.0,101/100,75,128.0
202,C2,38.0,21/500,68,128.0
203,F#2,38.0,21/500,68,128.0
204,F#2,39.0,21/500,67,128.0
205,C#2,39.0,21/500,67,128.0
206,C2,39.667,21/500,56,128.0
207,F#2,39.667,21/500,56,128.0
208,C2,40.0,401/250,102,128.0
209,C2,40.0,21/500,91,128.0
210,F5,40.594,0.188,63,128.0
211,F#2,40.667,21/500,43,128.0
212,F#5,40.698,0.234,88,128.0
213,G5,40.802,187/100,84,128.0
214,C#2,41.0,21/500,64,128.0
215,F#2,41.0,21/500,64,128.0
216,B-4,41.568,299/200,76,128.0
217,F1,41.667,0.094,83,128.0
218,F1,42.0,127/200,98,128.0
219,C2,42.0,21/500,68,128.0
220,F#2,42.0,21/500,68,128.0
221,C2,42.667,159/500,97,128.0
222,B1,43.0,31/50,81,128.0
223,C#2,43.0,21/500,67,128.0
224,F#2,43.0,21/500,67,128.0
225,G4,43.651,0.281,78,128.0
226,F1,43.667,333/1000,81,128.0
227,B-2,43.667,21/500,59,128.0
228,B-1,44.0,323/200,97,128.0
229,F1,44.0,13/500,81,128.0
230,F#2,44.0,21/500,67,128.0
231,C2,44.0,21/500,67,128.0
232,G4,44.089,427/1000,78,128.0
233,F#2,44.667,21/500,43,128.0
234,C#2,45.0,21/500,64,128.0
235,F#2,45.0,21/500,64,128.0
236,F1,45.667,13/125,73,128.0
237,F1,46.0,163/100,96,128.0
238,C2,46.0,21/500,68,128.0
239,F#2,46.0,21/500,68,128.0
240,G5,46.068,49/100,111,128.0
241,F5,46.703,0.234,46,128.0
242,F#2,47.0,21/500,67,128.0
243,C#2,47.0,21/500,67,128.0
244,G5,47.156,73/200,54,128.0
245,B-1,47.667,21/500,56,128.0
246,F#2,47.667,21/500,56,128.0
247,B-5,47.677,323/1000,73,128.0
248,B-1,48.0,401/250,102,128.0
249,C2,48.0,21/500,91,128.0
250,B-5,48.0,667/1000,73,128.0
251,F#2,48.667,21/500,43,128.0
252,F4,48.693,0.125,46,128.0
253,C#2,49.0,21/500,64,128.0
254,F#2,49.0,21/500,64,128.0
255,F4,49.641,229/500,79,128.0
256,D2,49.667,17/250,69,128.0
257,F2,50.0,0.641,103,128.0
258,C2,50.0,21/500,68,128.0
259,F#2,50.0,21/500,68,128.0
260,A4,50.63,99/250,79,128.0
261,E-2,50.667,0.109,81,128.0
262,E-2,51.0,31/50,103,128.0
263,F#2,51.0,21/500,67,128.0
264,C#2,51.0,21/500,67,128.0
265,D2,51.667,0.109,81,128.0
266,C5,51.667,333/1000,74,128.0
267,F#2,51.667,21/500,38,128.0
268,D2,52.0,323/200,105,128.0
269,C2,52.0,21/500,91,128.0
270,C5,52.0,1589/1000,74,128.0
271,F#2,52.667,21/500,43,128.0
272,C#2,53.0,21/500,64,128.0
273,F#2,53.0,21/500,64,128.0
274,F1,53.667,13/125,79,128.0
275,B-4,53.667,427/1000,75,128.0
276,B-1,54.0,1.0,96,128.0
277,C2,54.0,21/500,68,128.0
278,F#2,54.0,21/500,68,128.0
279,C5,54.099,0.578,100,128.0
280,G4,54.099,0.578,100,128.0
281,F#2,55.0,21/500,67,128.0
282,C#2,55.0,21/500,67,128.0
283,D2,55.01,123/200,95,128.0
284,C5,55.073,479/1000,84,128.0
285,B-1,55.667,161/1000,90,128.0
286,F#2,55.667,21/500,38,128.0
287,B-4,55.74,13/50,60,128.0
288,C#2,56.0,401/250,102,128.0
289,C2,56.0,21/500,91,128.0
290,B-4,56.0,0.016,60,128.0
291,G#4,56.661,161/1000,45,128.0
292,F#2,56.667,21/500,43,128.0
293,B-4,56.672,2.281,75,128.0
294,A4,56.776,91/500,56,128.0
295,C#2,57.0,21/500,64,128.0
296,F#2,57.0,21/500,64,128.0
297,G1,57.667,0.094,83,128.0
298,G1,58.0,151/200,96,128.0
299,C2,58.0,21/500,68,128.0
300,F#2,58.0,21/500,68,128.0
301,C#2,58.646,23/200,78,128.0
302,C#2,59.0,479/500,96,128.0
303,F#2,59.0,21/500,67,128.0
304,C#2,59.0,21/500,67,128.0
305,G4,59.651,349/1000,77,128.0
306,B-2,59.667,21/500,58,128.0
307,B-4,59.969,0.031,74,128.0
308,C2,60.0,401/250,102,128.0
309,B-4,60.0,51/100,74,128.0
310,G4,60.0,21/500,77,128.0
311,F#2,60.0,21/500,67,128.0
312,C2,60.0,21/500,67,128.0
313,F#2,60.667,21/500,43,128.0
314,G4,60.682,0.312,74,128.0
315,B-4,60.969,271/1000,75,128.0
316,C#2,61.0,21/500,64,128.0
317,F#2,61.0,21/500,64,128.0
318,G4,61.307,0.219,73,128.0
319,F4,61.646,333/1000,95,128.0
320,F1,61.667,0.094,83,128.0
321,B-4,61.964,807/1000,74,128.0
322,G1,62.0,1599/1000,96,128.0
323,C2,62.0,21/500,68,128.0
324,F#2,62.0,21/500,68,128.0
325,D4,62.141,0.438,57,128.0
326,E-4,62.771,0.25,54,128.0
327,F#2,63.0,21/500,67,128.0
328,C#2,63.0,21/500,67,128.0
329,F1,63.667,21/500,56,128.0
330,F#2,63.667,21/500,56,128.0
331,G4,63.76,229/1000,37,128.0
332,G#4,63.849,151/1000,50,128.0
333,F1,64.0,401/250,102,128.0
334,C2,64.0,21/500,91,128.0
335,G#4,64.0,229/1000,50,128.0
336,A4,64.125,857/500,62,128.0
337,F#2,64.667,21/500,43,128.0
338,C#2,65.0,21/500,64,128.0
339,F#2,65.0,21/500,64,128.0
340,C5,65.078,927/500,70,128.0
341,B-4,65.646,192/125,73,128.0
342,F1,65.667,0.094,83,128.0
343,F4,65.677,1.719,46,128.0
344,A1,66.0,127/200,98,128.0
345,C2,66.0,21/500,68,128.0
346,F#2,66.0,21/500,68,128.0
347,F1,66.667,161/1000,97,128.0
348,B-1,67.0,31/50,89,128.0
349,F#2,67.0,21/500,67,128.0
350,C#2,67.0,21/500,67,128.0
351,B-4,67.635,6/25,71,128.0
352,B1,67.667,0.328,81,128.0
353,F#2,67.667,21/500,38,128.0
354,C2,68.0,1.453,97,128.0
355,C2,68.0,21/500,91,128.0
356,B-4,68.667,73/250,76,128.0
357,F#2,68.667,21/500,43,128.0
358,E-4,68.719,13/125,56,128.0
359,C4,68.719,13/125,56,128.0
360,G3,68.719,13/125,56,128.0
361,C#2,69.0,21/500,64,128.0
362,F#2,69.0,21/500,64,128.0
363,G1,69.667,83/1000,53,128.0
364,B-4,69.667,349/1000,71,128.0
365,G1,70.0,0.938,97,128.0
366,C2,70.0,21/500,68,128.0
367,F#2,70.0,21/500,68,128.0
368,E-4,70.625,339/1000,63,128.0
369,F#1,71.0,771/1000,97,128.0
370,F#2,71.0,21/500,67,128.0
371,C#2,71.0,21/500,67,128.0
372,C#5,71.661,107/500,97,128.0
373,B-4,71.667,333/1000,73,128.0
374,F#2,71.667,21/500,38,128.0
375,B-4,71.682,159/500,74,128.0
376,D4,71.682,159/500,74,128.0
377,G4,71.682,159/500,74,128.0
378,F5,71.682,159/500,74,128.0
379,D5,71.786,107/500,62,128.0
380,F1,72.0,1.594,99,128.0
381,C2,72.0,21/500,91,128.0
382,D5,72.0,177/1000,62,128.0
383,B-4,72.0,2333/1000,73,128.0
384,B-4,72.0,9/250,74,128.0
385,D4,72.0,9/250,74,128.0
386,G4,72.0,9/250,74,128.0
387,F5,72.0,9/250,74,128.0
388,F#2,72.667,21/500,43,128.0
389,C#2,73.0,21/500,64,128.0
390,F#2,73.0,21/500,64,128.0
391,E-4,73.63,333/1000,78,128.0
392,A4,73.63,333/1000,78,128.0
393,C#5,73.635,0.234,100,128.0
394,C2,73.667,0.109,56,128.0
395,D5,73.828,0.312,66,128.0
396,C2,74.0,599/1000,94,128.0
397,C2,74.0,21/500,68,128.0
398,F#2,74.0,21/500,68,128.0
399,F1,74.667,13/100,81,128.0
400,A4,74.667,271/1000,72,128.0
401,B1,75.0,479/500,96,128.0
402,F#2,75.0,21/500,67,128.0
403,C#2,75.0,21/500,67,128.0
404,D4,75.651,193/1000,76,128.0
405,B-4,75.651,193/1000,76,128.0
406,G4,75.651,193/1000,76,128.0
407,G4,75.667,333/1000,74,128.0
408,B-2,75.667,21/500,58,128.0
409,B-1,76.0,192/125,93,128.0
410,G4,76.0,0.125,74,128.0
411,F#2,76.0,21/500,67,128.0
412,C2,76.0,21/500,67,128.0
413,F#2,76.667,21/500,43,128.0
414,C#2,77.0,21/500,64,128.0
415,F#2,77.0,21/500,64,128.0
416,D4,77.594,177/500,82,128.0
417,D2,77.667,0.125,91,128.0
418,G1,78.0,323/200,84,128.0
419,C2,78.0,21/500,68,128.0
420,F#2,78.0,21/500,68,128.0
421,B-5,78.042,0.391,110,128.0
422,B5,78.677,49/200,70,128.0
423,F#2,79.0,21/500,67,128.0
424,C#2,79.0,21/500,67,128.0
425,D6,79.172,49/200,52,128.0
426,D2,79.656,151/500,92,128.0
427,F#2,79.667,21/500,38,128.0
428,C6,79.75,0.25,97,128.0
429,C2,80.0,31/50,87,128.0
430,C2,80.0,21/500,91,128.0
431,C6,80.0,89/1000,97,128.0
432,G1,80.667,13/100,84,128.0
433,F#2,80.667,21/500,43,128.0
434,D4,80.667,411/1000,82,128.0
435,G5,80.667,411/1000,82,128.0
436,B-3,80.693,0.156,54,128.0
437,E-4,80.693,0.156,54,128.0
438,G3,80.693,0.156,54,128.0
439,G1,81.0,0.656,96,128.0
440,C#2,81.0,21/500,64,128.0
441,F#2,81.0,21/500,64,128.0
442,F#5,81.141,0.266,83,128.0
443,F#1,81.667,0.172,84,128.0
444,D4,81.667,393/500,71,128.0
445,C2,81.667,21/500,65,128.0
446,F5,81.719,54/125,79,128.0
447,F1,82.0,667/1000,94,128.0
448,C2,82.0,21/500,72,128.0
449,F#2,82.0,21/500,72,128.0
450,E-5,82.078,0.453,77,128.0
451,C2,82.667,0.297,76,128.0
452,D4,82.667,0.297,76,128.0
453,C5,82.667,0.297,76,128.0
454,B1,83.0,849/1000,95,128.0
455,F4,83.0,0.453,79,128.0
456,B-2,83.0,21/500,69,128.0
457,C#2,83.0,21/500,69,128.0
458,C#5,83.073,0.328,59,128.0
459,D5,83.661,333/1000,90,128.0
460,F#2,83.667,21/500,38,128.0
461,B-1,84.0,1.484,97,128.0
462,G4,84.0,479/1000,78,128.0
463,C#3,84.0,21/500,78,128.0
464,C2,84.0,21/500,78,128.0
465,F#2,84.667,21/500,55,128.0
466,C#2,85.0,21/500,74,128.0
467,F#2,85.0,21/500,74,128.0
468,F1,85.667,13/125,73,128.0
469,G4,85.667,0.484,71,128.0
470,F1,86.0,163/100,96,128.0
471,C#4,86.0,73/500,49,128.0
472,D4,86.0,73/500,49,128.0
473,C2,86.0,21/500,70,128.0
474,F#2,86.0,21/500,70,128.0
475,F#2,87.0,21/500,70,128.0
476,C#2,87.0,21/500,70,128.0
477,B-6,87.667,161/1000,99,128.0
478,B-1,87.667,21/500,62,128.0
479,F#2,87.667,21/500,62,128.0
480,B-1,88.0,401/250,102,128.0
481,C2,88.0,21/500,91,128.0
482,F#2,88.667,21/500,43,128.0
483,B-3,88.677,27/200,54,128.0
484,D4,88.677,27/200,54,128.0
485,C#2,89.0,21/500,64,128.0
486,F#2,89.0,21/500,64,128.0
487,B-4,89.016,196/125,72,128.0
488,B-5,89.094,0.188,63,128.0
489,D2,89.667,17/250,69,128.0
490,E-6,89.693,159/500,108,128.0
491,D2,90.0,0.641,103,128.0
492,C2,90.0,21/500,68,128.0
493,F#2,90.0,21/500,68,128.0
494,D6,90.13,0.469,88,128.0
495,B-1,90.667,6/25,85,128.0
496,C#2,91.0,0.953,103,128.0
497,F#2,91.0,21/500,67,128.0
498,C#2,91.0,21/500,67,128.0
499,B-4,91.021,839/1000,73,128.0
500,C#6,91.099,49/200,69,128.0
501,F#2,91.667,21/500,65,128.0
502,C2,92.0,323/200,105,128.0
503,F#2,92.0,21/500,67,128.0
504,C2,92.0,21/500,67,128.0
505,G4,92.031,0.453,72,128.0
506,F#2,92.667,21/500,43,128.0
507,C#2,93.0,21/500,64,128.0
508,F#2,93.0,21/500,64,128.0
509,G4,93.625,0.484,79,128.0
510,C4,93.656,89/1000,57,128.0
511,E-4,93.656,89/1000,57,128.0
512,G2,93.656,89/1000,57,128.0
513,G2,94.0,0.641,101,128.0
514,C2,94.0,21/500,68,128.0
515,F#2,94.0,21/500,68,128.0
516,C2,94.667,307/1000,74,128.0
517,F#2,95.0,31/50,97,128.0
518,F#2,95.0,21/500,67,128.0
519,C#2,95.0,21/500,67,128.0
520,E6,95.026,229/500,103,128.0
521,C2,95.667,23/200,61,128.0
522,F#2,95.667,23/200,61,128.0
523,F6,95.667,23/200,61,128.0
524,F2,96.0,401/250,102,128.0
525,C2,96.0,21/500,91,128.0
526,E6,96.073,19/50,84,128.0
527,F#2,96.667,21/500,43,128.0
528,F6,96.667,159/500,97,128.0
529,C5,96.719,0.188,62,128.0
530,F5,96.719,0.188,62,128.0
531,C#2,97.0,21/500,64,128.0
532,F#2,97.0,21/500,64,128.0
533,F2,97.667,0.094,83,128.0
534,G4,97.667,31/25,72,128.0
535,C#5,97.703,161/1000,74,128.0
536,F5,97.703,161/1000,74,128.0
537,F#2,98.0,0.641,84,128.0
538,C2,98.0,21/500,68,128.0
539,F#2,98.0,21/500,68,128.0
540,E-2,98.667,0.141,77,128.0
541,G2,99.0,667/1000,85,128.0
542,G4,99.0,49/100,75,128.0
543,F#2,99.0,21/500,67,128.0
544,C#2,99.0,21/500,67,128.0
545,C2,99.667,0.156,74,128.0
546,B-2,99.667,21/500,52,128.0
547,C2,100.0,401/250,102,128.0
548,G4,100.0,583/1000,71,128.0
549,C2,100.0,21/500,91,128.0
550,G6,100.026,177/500,90,128.0
551,D6,100.286,0.359,70,128.0
552,G5,100.635,307/1000,51,128.0
553,G4,100.667,2333/1000,74,128.0
554,F#2,100.667,21/500,43,128.0
555,C#2,101.0,21/500,64,128.0
556,F#2,101.0,21/500,64,128.0
557,F1,101.667,0.094,83,128.0
558,G2,102.0,1599/1000,96,128.0
559,C2,102.0,21/500,68,128.0
560,F#2,102.0,21/500,68,128.0
561,G6,102.651,0.375,94,128.0
562,D6,102.651,0.375,94,128.0
563,F#2,103.0,21/500,67,128.0
564,C#2,103.0,21/500,67,128.0
565,C2,103.667,21/500,56,128.0
566,F#2,103.667,21/500,56,128.0
567,D6,103.693,307/1000,95,128.0
568,G6,103.693,307/1000,95,128.0
569,F2,104.0,401/250,102,128.0
570,C2,104.0,21/500,91,128.0
571,D6,104.0,21/1000,95,128.0
572,G6,104.0,21/1000,95,128.0
573,F#2,104.667,21/500,43,128.0
574,F5,104.672,1307/1000,96,128.0
575,F6,104.672,1307/1000,96,128.0
576,A4,105.0,323/200,72,128.0
577,C#2,105.0,21/500,64,128.0
578,F#2,105.0,21/500,64,128.0
579,F1,105.667,0.094,83,128.0
580,C2,106.0,0.625,92,128.0
581,C2,106.0,21/500,68,128.0
582,F#2,106.0,21/500,68,128.0
583,F1,106.667,229/1000,91,128.0
584,F4,106.667,51/100,72,128.0
585,B1,107.0,943/1000,91,128.0
586,F#2,107.0,21/500,67,128.0
587,C#2,107.0,21/500,67,128.0
588,G4,107.667,333/1000,73,128.0
589,B-2,107.667,21/500,61,128.0
590,B-1,108.0,323/200,97,128.0
591,G4,108.0,151/1000,73,128.0
592,F#2,108.0,21/500,67,128.0
593,C2,108.0,21/500,67,128.0
594,F#2,108.667,21/500,43,128.0
595,C#2,109.0,21/500,64,128.0
596,F#2,109.0,21/500,64,128.0
597,B-6,109.656,0.281,110,128.0
598,F1,109.667,21/500,59,128.0
599,F#2,109.667,21/500,59,128.0
600,F1,110.0,163/100,96,128.0
601,C2,110.0,21/500,75,128.0
602,B-2,110.0,21/500,75,128.0
603,F#6,110.651,0.188,93,128.0
604,G6,110.75,1021/1000,81,128.0
605,F#2,111.0,21/500,67,128.0
606,C#2,111.0,21/500,67,128.0
607,E6,111.62,69/250,95,128.0
608,B-1,111.667,21/500,63,128.0
609,F#2,111.667,21/500,63,128.0
610,F6,111.734,0.266,100,128.0
611,B-1,112.0,401/250,102,128.0
612,F6,112.0,323/1000,100,128.0
613,B-2,112.0,21/500,74,128.0
614,C2,112.0,21/500,74,128.0
615,C#6,112.656,91/500,84,128.0
616,D6,112.724,409/500,85,128.0
617,C#2,113.0,21/500,64,128.0
618,F#2,113.0,21/500,64,128.0
619,B-5,113.62,0.344,84,128.0
620,F#2,113.661,21/500,65,128.0
621,D2,113.661,21/500,65,128.0
622,C2,113.661,21/500,65,128.0
623,F2,114.0,0.641,103,128.0
624,C2,114.0,21/500,84,128.0
625,B-2,114.0,21/500,84,128.0
626,A5,114.667,323/1000,108,128.0
627,E-2,114.667,0.109,81,128.0
628,E-2,115.0,583/1000,90,128.0
629,C5,115.0,583/1000,90,128.0
630,B-2,115.0,21/500,74,128.0
631,C#2,115.0,21/500,74,128.0
632,F#5,115.594,91/500,75,128.0
633,D2,115.667,0.109,81,128.0
634,F#2,115.667,21/500,56,128.0
635,G5,115.693,307/1000,75,128.0
636,D2,116.0,323/200,105,128.0
637,C5,116.0,401/1000,77,128.0
638,G5,116.0,1323/1000,75,128.0
639,E-3,116.0,21/500,96,128.0
640,C2,116.0,21/500,96,128.0
641,C5,116.667,573/1000,73,128.0
642,F#2,116.667,21/500,43,128.0
643,C#2,117.0,21/500,64,128.0
644,F#2,117.0,21/500,64,128.0
645,F1,117.667,13/125,79,128.0
646,B-4,117.667,729/500,73,128.0
647,B-1,118.0,1.578,96,128.0
648,C2,118.0,21/500,68,128.0
649,F#2,118.0,21/500,68,128.0
650,F#2,119.0,21/500,67,128.0
651,C#2,119.0,21/500,67,128.0
652,F5,119.01,589/1000,103,128.0
653,C#5,119.63,37/100,81,128.0
654,E5,119.63,37/100,81,128.0
655,D2,119.667,271/1000,95,128.0
656,B-2,119.667,21/500,52,128.0
657,G5,119.786,107/500,77,128.0
658,C#2,120.0,401/250,102,128.0
659,C2,120.0,21/500,91,128.0
660,G5,120.0,377/200,77,128.0
661,C#5,120.0,377/200,81,128.0
662,E5,120.0,377/200,81,128.0
663,F#2,120.667,21/500,43,128.0
664,C#2,121.0,21/500,64,128.0
665,F#2,121.0,21/500,64,128.0
666,B-4,121.005,1151/500,78,128.0
667,B-1,121.667,0.094,83,128.0
668,G1,122.0,487/250,96,128.0
669,C2,122.0,21/500,68,128.0
670,F#2,122.0,21/500,68,128.0
671,F#2,123.0,21/500,67,128.0
672,C#2,123.0,21/500,67,128.0
673,F5,123.005,99/200,85,128.0
674,B-4,123.651,339/1000,72,128.0
675,E-5,123.661,339/1000,61,128.0
676,F#2,123.667,21/500,38,128.0
677,G3,123.693,307/1000,61,128.0
678,C4,123.693,307/1000,61,128.0
679,E-4,123.693,307/1000,60,128.0
680,C4,123.693,307/1000,60,128.0
