,note_name,start_time,duration,velocity,tempo
0,A3,2.0,229/500,108,88.0
1,A3,2.5,717/1000,88,88.0
2,E4,2.75,33/40,97,88.0
3,A3,3.25,217/1000,82,88.0
4,A3,3.5,467/1000,88,88.0
5,F4,3.75,0.25,102,88.0
6,A3,4.0,149/125,84,88.0
7,F4,4.0,267/1000,102,88.0
8,D4,4.242,123/250,97,88.0
9,E4,4.742,33/40,94,88.0
10,A3,5.242,1/5,81,88.0
11,A3,5.492,9/20,97,88.0
12,E4,5.742,127/250,94,88.0
13,A3,6.0,57/40,82,88.0
14,C4,6.25,127/250,91,88.0
15,D4,6.742,883/1000,97,88.0
16,C4,7.25,7/40,97,88.0
17,A3,7.492,9/20,97,88.0
18,D4,7.75,0.25,97,88.0
19,A3,7.992,1/125,97,88.0
20,D4,8.0,127/250,97,88.0
21,A3,8.0,421/500,97,88.0
22,C4,8.5,283/1000,79,88.0
23,D4,8.742,99/125,84,88.0
24,B3,8.992,717/1000,94,88.0
25,A3,9.492,123/250,76,88.0
26,D4,9.742,121/500,84,88.0
27,A3,10.0,229/500,108,88.0
28,A3,10.492,29/40,88,88.0
29,E4,10.75,817/1000,97,88.0
30,A3,11.242,217/1000,82,88.0
31,A3,11.5,229/500,88,88.0
32,F4,11.742,129/500,102,88.0
33,A3,11.992,1/125,84,88.0
34,F4,12.0,129/500,102,88.0
35,A3,12.0,149/125,84,88.0
36,D4,12.25,483/1000,97,88.0
37,E4,12.742,833/1000,94,88.0
38,A3,13.242,1/5,81,88.0
39,A3,13.492,9/20,97,88.0
40,E4,13.75,0.5,94,88.0
41,A3,13.992,57/40,82,88.0
42,C4,14.242,517/1000,91,88.0
43,D4,14.742,883/1000,97,88.0
44,C4,15.242,183/1000,97,88.0
45,A3,15.492,9/20,97,88.0
46,D4,15.742,129/500,97,88.0
47,A3,16.0,833/1000,97,88.0
48,D4,16.0,517/1000,97,88.0
49,C4,16.492,73/250,79,88.0
50,D4,16.75,99/125,84,88.0
51,B3,17.0,177/250,94,88.0
52,A3,17.5,19/40,76,88.0
53,D4,17.742,233/1000,84,88.0
54,A3,17.992,123/250,102,88.0
55,C2,17.992,133/1000,127,88.0
56,C2,18.25,217/1000,127,88.0
57,A3,18.492,7/10,88,88.0
58,E4,18.742,833/1000,97,88.0
59,D2,19.0,633/1000,127,88.0
60,A3,19.25,26/125,82,88.0
61,A3,19.5,229/500,97,88.0
62,F4,19.75,0.25,102,88.0
63,C2,19.75,217/1000,119,88.0
64,A3,19.992,1/125,82,88.0
65,A2,20.0,1021/500,99,88.0
66,F4,20.0,77/250,102,88.0
67,A3,20.0,6/5,82,88.0
68,F5,20.0,3/10,112,88.0
69,E4,20.0,474/125,77,88.0
70,A4,20.0,4.0,74,88.0
71,C5,20.0,4.0,74,88.0
72,C2,20.0,233/1000,119,88.0
73,F#2,20.0,0.125,72,88.0
74,D4,20.242,19/40,82,88.0
75,E5,20.25,11/40,112,88.0
76,E4,20.25,79/500,64,88.0
77,D5,20.5,9/40,104,88.0
78,F#2,20.5,117/1000,72,88.0
79,E4,20.742,421/500,79,88.0
80,F5,20.742,267/1000,115,88.0
81,E4,20.75,7/40,64,88.0
82,E5,20.992,2117/1000,109,88.0
83,F#2,21.0,71/500,72,88.0
84,C#2,21.0,567/1000,127,88.0
85,A3,21.242,1/5,73,88.0
86,E4,21.25,7/40,64,88.0
87,A3,21.492,229/500,88,88.0
88,A4,21.5,24/125,74,88.0
89,F#2,21.5,133/1000,72,88.0
90,F4,21.75,583/1000,94,88.0
91,C2,21.75,129/500,119,88.0
92,C3,22.0,2.0,96,88.0
93,A3,22.0,6/5,82,88.0
94,A4,22.0,7/40,77,88.0
95,F#2,22.0,79/500,72,88.0
96,D4,22.242,123/250,84,88.0
97,E4,22.25,3/20,64,88.0
98,C2,22.492,77/250,119,88.0
99,F#2,22.5,133/1000,72,88.0
100,E4,22.742,329/500,84,88.0
101,E4,22.75,3/20,64,88.0
102,A4,23.0,9/40,72,88.0
103,D2,23.0,271/500,99,88.0
104,F#2,23.0,0.125,72,88.0
105,A3,23.242,217/1000,76,88.0
106,E4,23.25,3/20,64,88.0
107,A3,23.492,19/40,91,88.0
108,F#2,23.492,133/1000,72,88.0
109,A4,23.5,233/1000,72,88.0
110,E4,23.742,129/500,91,88.0
111,E4,23.75,133/1000,64,88.0
112,A3,23.992,1/125,79,88.0
113,F4,23.992,1/125,74,88.0
114,F2,24.0,2983/1000,113,88.0
115,C3,24.0,1/125,96,88.0
116,E4,24.0,317/1000,91,88.0
117,A3,24.0,721/500,79,88.0
118,G5,24.0,771/500,118,88.0
119,F4,24.0,1429/500,74,88.0
120,A4,24.0,3.0,74,88.0
121,C5,24.0,117/40,74,88.0
122,C2,24.0,7/20,119,88.0
123,F#2,24.0,133/1000,72,88.0
124,C4,24.242,533/1000,82,88.0
125,E4,24.25,3/20,64,88.0
126,F#2,24.492,133/1000,72,88.0
127,A4,24.5,167/1000,86,88.0
128,D4,24.75,33/40,88,88.0
129,E4,24.75,7/40,64,88.0
130,C#2,24.992,383/1000,127,88.0
131,A4,25.0,7/40,72,88.0
132,F#2,25.0,133/1000,72,88.0
133,C4,25.25,167/1000,88,88.0
134,E4,25.25,7/40,64,88.0
135,A3,25.5,229/500,91,88.0
136,F#2,25.5,0.125,72,88.0
137,D4,25.742,217/1000,97,88.0
138,F5,25.75,0.25,112,88.0
139,C2,25.75,11/40,119,88.0
140,A3,25.992,1017/1000,108,88.0
141,E5,26.0,177/250,104,88.0
142,A4,26.0,133/1000,77,88.0
143,F#2,26.0,27/250,72,88.0
144,E4,26.242,167/1000,64,88.0
145,E5,26.25,167/1000,83,88.0
146,C4,26.492,77/250,84,88.0
147,A4,26.5,0.125,74,88.0
148,C2,26.5,283/1000,119,88.0
149,F#2,26.5,0.125,72,88.0
150,D4,26.742,817/1000,94,88.0
151,F5,26.742,121/500,107,88.0
152,D5,26.75,133/1000,97,88.0
153,E4,26.75,3/20,64,88.0
154,E2,27.0,1.0,107,88.0
155,B3,27.0,883/1000,102,88.0
156,E5,27.0,517/1000,112,88.0
157,C5,27.0,271/500,103,88.0
158,C2,27.0,233/1000,119,88.0
159,D2,27.0,0.5,99,88.0
160,F#2,27.0,23/250,72,88.0
161,E4,27.0,1.0,72,88.0
162,G#4,27.0,1.0,72,88.0
163,B4,27.0,1.0,72,88.0
164,E4,27.242,183/1000,64,88.0
165,C4,27.492,7/20,91,88.0
166,D5,27.5,467/1000,101,88.0
167,B4,27.5,0.25,92,88.0
168,F#2,27.5,67/1000,72,88.0
169,D4,27.75,24/125,97,88.0
170,D5,27.75,117/1000,92,88.0
171,F#2,27.75,21/500,72,88.0
172,E4,27.75,7/40,64,88.0
173,F#2,27.867,3/40,72,88.0
174,A3,27.992,1/125,108,88.0
175,E2,28.0,1/125,107,88.0
176,A3,28.0,229/500,108,88.0
177,F5,28.0,73/250,94,88.0
178,E4,28.0,3817/1000,83,88.0
179,A4,28.0,4.0,81,88.0
180,C5,28.0,4.0,89,88.0
181,F5,28.0,24/125,92,88.0
182,C2,28.0,19/40,119,88.0
183,F#2,28.0,133/1000,72,88.0
184,E4,28.0,17/1000,72,88.0
185,G#4,28.0,17/1000,72,88.0
186,B4,28.0,17/1000,72,88.0
187,A2,28.008,1967/1000,99,88.0
188,A4,28.008,79/500,86,88.0
189,E5,28.25,73/250,94,88.0
190,E5,28.25,26/125,86,88.0
191,E4,28.25,167/1000,64,88.0
192,A3,28.492,29/40,88,88.0
193,D5,28.5,26/125,94,88.0
194,A4,28.5,26/125,89,88.0
