,note_name,start_time,duration,velocity,tempo
0,C#2,0.0,0.25,87,148.0
1,C#2,2.0,0.25,86,148.0
2,C#2,4.0,0.25,85,148.0
3,C#2,6.0,0.25,85,148.0
4,E2,8.0,3.0,122,148.0
5,F#4,8.0,1.0,115,148.0
6,G4,8.0,1.0,114,148.0
7,E4,8.0,1.0,114,148.0
8,B3,8.0,1.0,114,148.0
9,E4,9.0,1.0,99,148.0
10,B3,9.0,1.0,75,148.0
11,G4,9.0,1.0,75,148.0
12,E4,9.0,1.0,75,148.0
13,G4,10.0,1.0,109,148.0
14,G4,10.0,1.0,114,148.0
15,E4,10.0,1.0,114,148.0
16,B3,10.0,1.0,114,148.0
17,E4,11.0,1.0,91,148.0
18,B3,11.0,0.5,66,148.0
19,G4,11.0,0.5,66,148.0
20,E4,11.0,0.5,66,148.0
21,E2,11.5,0.5,112,148.0
22,E4,11.5,0.5,111,148.0
23,G4,11.5,0.5,111,148.0
24,B3,11.5,0.5,111,148.0
25,B3,12.0,0.5,81,148.0
26,E2,12.0,1.0,112,148.0
27,F#4,12.0,1.0,111,148.0
28,B3,12.5,0.5,110,148.0
29,G4,12.5,0.5,110,148.0
30,E2,13.0,2.5,111,148.0
31,E4,13.0,1.0,90,148.0
32,B3,13.0,1.0,74,148.0
33,E4,13.0,1.0,74,148.0
34,G4,13.0,1.0,74,148.0
35,G4,14.0,1.0,109,148.0
36,E4,14.0,1.0,110,148.0
37,G4,14.0,1.0,110,148.0
38,B3,14.0,1.0,110,148.0
39,E4,15.0,0.5,92,148.0
40,G4,15.0,0.5,68,148.0
41,E4,15.0,0.5,68,148.0
42,B3,15.0,0.5,68,148.0
43,B3,15.5,0.5,109,148.0
44,G4,15.5,0.5,109,148.0
45,E4,15.5,0.5,109,148.0
46,E2,15.5,0.5,109,148.0
47,C4,16.0,1.0,113,148.0
48,C2,16.0,3.0,110,148.0
49,F#4,16.0,1.0,108,148.0
50,G4,17.0,0.5,82,148.0
51,C4,17.0,1.0,75,148.0
52,E4,17.0,1.0,90,148.0
53,E4,18.0,1.5,118,148.0
54,G4,18.0,0.5,115,148.0
55,C4,18.0,1.0,113,148.0
56,G4,18.0,1.0,107,148.0
57,E4,19.0,0.5,88,148.0
58,G4,19.0,0.5,68,148.0
59,C4,19.0,0.5,68,148.0
60,E4,19.5,0.5,111,148.0
61,C2,19.5,0.5,113,148.0
62,G4,19.5,0.5,111,148.0
63,C4,19.5,0.5,111,148.0
64,E4,20.0,0.5,111,148.0
65,C2,20.0,1.0,113,148.0
66,F#4,20.0,1.0,109,148.0
67,G4,20.0,0.5,68,148.0
68,C4,20.0,0.5,68,148.0
69,E4,20.5,1.0,100,148.0
70,G4,20.5,0.5,106,148.0
71,C4,20.5,0.5,106,148.0
72,C2,21.0,2.0,113,148.0
73,E4,21.0,1.0,90,148.0
74,C4,21.0,1.0,78,148.0
75,G4,21.0,1.0,78,148.0
76,E4,22.0,1.5,115,148.0
77,G4,22.0,1.0,110,148.0
78,C4,22.0,1.0,112,148.0
79,G4,22.0,1.0,112,148.0
80,E4,23.0,1.0,95,148.0
81,G4,23.0,0.5,77,148.0
82,C4,23.0,0.5,77,148.0
83,E4,23.5,0.5,108,148.0
84,G4,23.5,0.5,109,148.0
85,C4,23.5,0.5,109,148.0
86,C2,23.5,0.5,109,148.0
87,C4,24.0,1.5,107,148.0
88,A3,24.0,1/200,113,148.0
89,E4,24.0,1.0,108,148.0
90,F#4,24.0,1.0,108,148.0
91,E4,25.0,1.5,81,148.0
92,A3,25.0,1.0,73,148.0
93,E4,25.0,1.0,94,148.0
94,A3,26.0,1.0,113,148.0
95,A4,26.0,1.0,107,148.0
96,G4,26.0,1.5,118,148.0
97,C4,26.0,1.5,118,148.0
98,E4,27.0,1.0,81,148.0
99,A3,27.0,0.5,64,148.0
100,E4,27.0,1.0,96,148.0
101,A3,27.5,1/200,106,148.0
102,G4,27.5,0.5,114,148.0
103,C4,27.5,0.5,114,148.0
104,E4,28.0,0.5,74,148.0
105,F#4,28.0,1.0,108,148.0
106,G4,28.0,0.5,114,148.0
107,C4,28.0,0.5,114,148.0
108,A3,28.5,0.5,102,148.0
109,G4,28.5,1.0,110,148.0
110,C4,28.5,1.0,110,148.0
111,E4,29.0,1.5,82,148.0
112,A3,29.0,1/200,79,148.0
113,E4,29.0,1.0,95,148.0
114,A3,30.0,1.0,110,148.0
115,A4,30.0,1.0,109,148.0
116,G4,30.0,1.5,114,148.0
117,C4,30.0,1.5,114,148.0
118,E4,31.0,1.0,79,148.0
119,A3,31.0,0.5,79,148.0
120,E4,31.0,0.5,103,148.0
121,A3,31.5,1/200,114,148.0
122,E-4,32.0,1.0,100,148.0
123,F#4,32.0,1.0,100,148.0
124,B3,32.0,1.0,100,148.0
125,F#4,33.0,1.0,84,148.0
126,B3,33.0,2.0,82,148.0
127,E-4,33.0,1.0,91,148.0
128,F#4,34.0,1.0,124,148.0
129,A3,34.0,1.5,114,148.0
130,G4,34.0,1.0,113,148.0
131,F#4,35.0,1.0,77,148.0
132,B3,35.0,0.5,77,148.0
133,E-4,35.0,1.0,99,148.0
134,A3,35.5,0.5,108,148.0
135,B1,35.5,0.5,115,148.0
136,B3,36.0,0.5,81,148.0
137,F#4,36.0,1/200,77,148.0
138,B1,36.0,1.0,115,148.0
139,A4,36.0,1.0,109,148.0
140,A3,36.5,1.0,115,148.0
141,F#4,37.0,1.0,81,148.0
142,B3,37.0,1.5,82,148.0
143,B1,37.0,3.0,108,148.0
144,E-4,37.0,1.0,105,148.0
145,F#4,38.0,1.0,121,148.0
146,A3,38.0,1.5,121,148.0
147,G4,38.0,1.0,103,148.0
148,F#4,39.0,0.5,77,148.0
149,B3,39.0,1.0,70,148.0
150,F#4,39.0,1.0,113,148.0
151,A3,39.5,0.5,116,148.0
152,F#4,39.5,0.5,116,148.0
153,E2,40.0,3.0,122,148.0
154,E4,40.0,4.0,99,148.0
155,F#4,40.0,0.125,113,148.0
156,G4,40.0,1.0,114,148.0
157,E4,40.0,1.0,114,148.0
158,B3,40.0,1.0,114,148.0
159,B3,41.0,1.0,75,148.0
160,G4,41.0,1.0,75,148.0
161,E4,41.0,1.0,75,148.0
162,B4,41.969,112/125,109,148.0
163,G4,42.0,1.0,114,148.0
164,E4,42.0,1.0,114,148.0
165,B3,42.0,1.0,114,148.0
166,A4,42.917,1083/1000,91,148.0
167,B3,43.0,0.5,66,148.0
168,G4,43.0,0.5,66,148.0
169,E4,43.0,0.5,66,148.0
170,E2,43.5,0.5,112,148.0
171,E4,43.5,0.5,111,148.0
172,G4,43.5,0.5,111,148.0
173,B3,43.5,0.5,111,148.0
174,B4,43.974,13/500,110,148.0
175,B3,44.0,0.5,81,148.0
176,E2,44.0,1.0,112,148.0
177,B4,44.0,99/100,110,148.0
178,E4,44.0,4.0,99,148.0
179,B3,44.5,0.5,110,148.0
180,G4,44.5,0.5,110,148.0
181,A4,44.99,0.625,96,148.0
182,E2,45.0,2.5,111,148.0
183,B3,45.0,1.0,74,148.0
184,E4,45.0,1.0,74,148.0
185,G4,45.0,1.0,74,148.0
186,B4,45.516,901/1000,107,148.0
187,E4,46.0,1.0,110,148.0
188,G4,46.0,1.0,110,148.0
189,B3,46.0,1.0,110,148.0
190,D5,46.391,0.531,104,148.0
191,C5,46.964,259/250,104,148.0
192,G4,47.0,0.5,68,148.0
193,E4,47.0,0.5,68,148.0
194,B3,47.0,0.5,68,148.0
195,E2,47.5,0.5,109,148.0
196,B3,47.5,0.5,109,148.0
197,G4,47.5,0.5,109,148.0
198,E4,47.5,0.5,109,148.0
199,C5,48.0,1401/1000,104,148.0
200,C2,48.005,3.0,110,148.0
201,C4,48.005,1.0,113,148.0
202,E2,48.005,1/200,109,148.0
203,B3,48.005,1/200,109,148.0
204,G4,48.005,1/200,109,148.0
205,E4,48.005,1/200,109,148.0
206,G4,49.005,0.5,82,148.0
207,C4,49.005,1.0,75,148.0
208,C5,49.51,0.359,107,148.0
209,E4,50.005,1.5,118,148.0
210,G4,50.005,0.5,115,148.0
211,C4,50.005,1.0,113,148.0
212,C5,50.031,667/1000,104,148.0
213,G4,51.005,0.5,68,148.0
214,C4,51.005,0.5,68,148.0
215,C5,51.031,0.641,109,148.0
216,C2,51.505,0.5,113,148.0
217,E4,51.505,0.5,111,148.0
218,G4,51.505,0.5,111,148.0
219,C4,51.505,0.5,111,148.0
220,B4,51.599,401/1000,109,148.0
221,B4,52.0,0.156,109,148.0
222,C2,52.005,1.0,113,148.0
223,E4,52.005,0.5,111,148.0
224,G4,52.005,0.5,68,148.0
225,C4,52.005,0.5,68,148.0
226,C5,52.068,71/125,106,148.0
227,E4,52.505,1.0,100,148.0
228,G4,52.505,0.5,106,148.0
229,C4,52.505,0.5,106,148.0
230,D5,52.573,729/1000,112,148.0
231,C2,53.005,2.0,113,148.0
232,C4,53.005,1.0,78,148.0
233,G4,53.005,1.0,78,148.0
234,E4,54.005,1.5,115,148.0
235,B4,54.005,849/1000,112,148.0
236,C4,54.005,1.0,112,148.0
237,G4,54.005,1.0,112,148.0
238,B4,55.005,199/200,114,148.0
239,G4,55.005,0.5,77,148.0
240,C4,55.005,0.5,77,148.0
241,E4,55.505,0.5,108,148.0
242,C2,55.505,0.5,109,148.0
243,G4,55.505,0.5,109,148.0
244,C4,55.505,0.5,109,148.0
245,A4,55.964,9/250,95,148.0
246,A4,56.0,1099/500,95,148.0
247,A3,56.005,1/200,83,148.0
248,C4,56.005,1.5,107,148.0
249,E4,56.005,1.0,108,148.0
250,E4,57.005,1.5,81,148.0
251,A3,57.005,1.0,73,148.0
252,A3,58.005,1.0,113,148.0
253,G4,58.005,1.5,118,148.0
254,C4,58.005,1.5,118,148.0
255,A4,58.958,0.422,106,148.0
256,E4,59.005,1.0,81,148.0
257,A3,59.005,0.5,64,148.0
258,A3,59.505,1/200,79,148.0
259,A4,59.505,99/200,112,148.0
260,G4,59.505,0.5,114,148.0
261,C4,59.505,0.5,114,148.0
262,A4,60.0,73/250,112,148.0
263,E4,60.005,0.5,74,148.0
264,G4,60.005,0.5,114,148.0
265,C4,60.005,0.5,114,148.0
266,A4,60.469,37/100,104,148.0
267,A3,60.505,0.5,102,148.0
268,G4,60.505,1.0,110,148.0
269,C4,60.505,1.0,110,148.0
270,A4,60.964,443/1000,98,148.0
271,A3,61.005,1/200,81,148.0
272,E4,61.005,1.5,82,148.0
273,A4,61.495,823/1000,100,148.0
274,A3,62.005,1.0,110,148.0
275,G4,62.005,1.5,114,148.0
276,C4,62.005,1.5,114,148.0
277,E4,63.005,1.0,79,148.0
278,A3,63.005,0.5,79,148.0
279,C5,63.057,443/1000,109,148.0
280,A3,63.505,1/200,80,148.0
281,C5,63.599,401/1000,103,148.0
282,C5,64.0,199/200,103,148.0
283,B3,64.005,1.0,100,148.0
284,F#4,64.005,1.0,100,148.0
285,B4,65.0,411/1000,92,148.0
286,F#4,65.005,1.0,84,148.0
287,B3,65.005,2.0,82,148.0
288,B4,65.583,0.953,104,148.0
289,F#4,66.005,1.0,124,148.0
290,A3,66.005,1.5,114,148.0
291,B4,66.635,54/125,101,148.0
292,F#4,67.005,1.0,77,148.0
293,B3,67.005,0.5,77,148.0
294,B4,67.214,393/500,111,148.0
295,B1,67.505,0.5,115,148.0
296,A3,67.505,0.5,108,148.0
297,B4,68.0,99/100,111,148.0
298,B3,68.005,0.5,81,148.0
299,F#4,68.005,1/200,77,148.0
300,B1,68.005,1.0,115,148.0
301,A3,68.505,1.0,115,148.0
302,B1,69.005,3.0,108,148.0
303,F#4,69.005,1.0,81,148.0
304,B3,69.005,1.5,82,148.0
305,B4,69.453,63/100,109,148.0
306,F#4,70.005,1.0,121,148.0
307,A3,70.005,1.5,121,148.0
308,B5,70.109,87/100,105,148.0
309,A5,70.948,123/200,103,148.0
310,F#4,71.005,0.5,77,148.0
311,B3,71.005,1.0,70,148.0
312,B5,71.5,0.5,112,148.0
313,A3,71.505,0.5,116,148.0
314,F#4,71.505,0.5,116,148.0
315,B5,72.0,1177/1000,112,148.0
316,F#4,72.0,1.0,115,148.0
317,E2,72.005,3.0,122,148.0
318,G4,72.005,1.0,114,148.0
319,E4,72.005,1.0,114,148.0
320,B3,72.005,1.0,114,148.0
321,E4,73.0,1.0,99,148.0
322,B3,73.005,1.0,75,148.0
