,note_name,start_time,duration,velocity,tempo
0,C#2,0.0,1.0,84,120.0
1,C#2,0.0,1.0,84,120.0
2,C#2,2.0,1.0,84,120.0
3,C#2,2.0,1.0,84,120.0
4,C#2,4.0,1.0,64,120.0
5,C#2,4.0,1.0,64,120.0
6,C#2,5.0,1.0,84,120.0
7,C#2,5.0,1.0,84,120.0
8,C#2,6.0,1.0,64,120.0
9,C#2,6.0,1.0,64,120.0
10,C#2,7.0,1.0,84,120.0
11,C#2,7.0,1.0,84,120.0
12,F3,8.0,1.125,92,120.0
13,C2,8.0,0.5,64,120.0
14,F#2,8.0,0.5,70,120.0
15,F4,8.0,249/125,70,120.0
16,E-4,8.0,249/125,70,120.0
17,C4,8.0,249/125,70,120.0
18,G#4,8.0,249/125,70,120.0
19,C2,8.0,0.5,67,120.0
20,F#2,8.0,0.5,67,120.0
21,F#2,8.5,0.5,60,120.0
22,F#2,8.5,0.5,60,120.0
23,D2,9.0,0.5,79,120.0
24,F#2,9.0,0.5,70,120.0
25,D2,9.0,0.5,74,120.0
26,F#2,9.0,0.5,74,120.0
27,F3,9.5,0.375,86,120.0
28,C2,9.5,0.5,54,120.0
29,F#2,9.5,0.5,60,120.0
30,C2,9.5,0.5,57,120.0
31,F#2,9.5,0.5,57,120.0
32,F3,10.0,0.25,71,120.0
33,F3,10.0,1.125,90,120.0
34,C2,10.0,0.5,64,120.0
35,F#2,10.0,0.5,70,120.0
36,C2,10.0,0.5,67,120.0
37,F#2,10.0,0.5,67,120.0
38,F#2,10.5,0.5,60,120.0
39,F#2,10.5,0.5,60,120.0
40,F4,10.5,667/1000,70,120.0
41,E-4,10.5,667/1000,70,120.0
42,C4,10.5,667/1000,70,120.0
43,G#4,10.5,667/1000,70,120.0
44,D2,11.0,0.5,84,120.0
45,F#2,11.0,0.5,70,120.0
46,D2,11.0,0.5,77,120.0
47,F#2,11.0,0.5,77,120.0
48,F3,11.5,0.375,78,120.0
49,C2,11.5,0.5,64,120.0
50,F#2,11.5,0.5,60,120.0
51,C2,11.5,0.5,62,120.0
52,F#2,11.5,0.5,62,120.0
53,F3,12.0,1.125,89,120.0
54,C2,12.0,0.5,64,120.0
55,F#2,12.0,0.5,70,120.0
56,F4,12.0,249/125,70,120.0
57,E4,12.0,249/125,70,120.0
58,C4,12.0,249/125,70,120.0
59,G#4,12.0,249/125,70,120.0
60,C2,12.0,0.5,67,120.0
61,F#2,12.0,0.5,67,120.0
62,F#2,12.5,0.5,60,120.0
63,F#2,12.5,0.5,60,120.0
64,D2,13.0,0.5,79,120.0
