,note_name,start_time,duration,velocity,tempo
0,D2,0.115,73/1000,80,131.0
1,E2,0.115,73/1000,80,131.0
2,D2,0.24,73/1000,96,131.0
3,E2,0.24,73/1000,96,131.0
4,D2,0.365,73/1000,96,131.0
5,E2,0.365,73/1000,96,131.0
6,C2,0.99,0.5,127,131.0
7,F#2,1.99,0.5,112,131.0
8,F4,1.99,167/1000,127,131.0
9,F4,2.323,167/1000,64,131.0
10,F4,2.656,27/200,64,131.0
11,F#4,2.958,99/500,127,131.0
12,C2,2.958,0.531,122,131.0
13,F#2,2.958,0.531,122,131.0
14,C#3,2.958,0.531,122,131.0
15,F#4,3.323,167/1000,64,131.0
16,F#4,3.656,167/1000,64,131.0
17,C3,4.0,73/200,100,131.0
18,C4,4.0,0.25,113,131.0
19,F#2,4.0,0.156,127,131.0
20,C2,4.0,49/100,127,131.0
21,C3,4.0,73/200,100,131.0
22,F#2,4.656,167/1000,80,131.0
23,C4,4.667,13/50,72,131.0
24,C3,4.677,229/1000,100,131.0
25,C3,4.677,229/1000,100,131.0
26,C2,4.969,521/1000,112,131.0
27,F#2,4.969,0.156,80,131.0
28,G2,5.0,0.344,100,131.0
29,G2,5.0,0.344,100,131.0
30,E-5,5.0,323/1000,84,131.0
31,C5,5.0,323/1000,84,131.0
32,G4,5.0,323/1000,84,131.0
33,E-3,5.615,0.312,112,131.0
34,E-4,5.615,0.312,112,131.0
35,F#2,5.656,167/1000,80,131.0
36,G2,5.667,0.25,100,131.0
37,G2,5.667,0.25,100,131.0
38,E-5,5.667,99/500,96,131.0
39,G4,5.667,99/500,96,131.0
40,C5,5.667,99/500,96,131.0
41,E-6,5.938,151/100,102,131.0
42,G5,5.938,151/100,102,131.0
43,C6,5.938,151/100,102,131.0
44,C2,5.958,0.531,127,131.0
45,F#2,5.958,177/1000,80,131.0
46,E-2,6.0,77/200,100,131.0
47,E-2,6.0,77/200,100,131.0
48,G3,6.0,27/200,112,131.0
49,G4,6.0,27/200,112,131.0
50,F#2,6.656,167/1000,80,131.0
51,E-2,6.677,13/50,100,131.0
52,E-2,6.677,13/50,100,131.0
53,C4,6.698,0.25,117,131.0
54,C5,6.698,0.25,117,131.0
55,C2,6.99,49/100,112,131.0
56,F#2,6.99,167/1000,80,131.0
57,C2,7.0,229/500,100,131.0
58,C2,7.0,229/500,100,131.0
59,C5,7.0,0.219,77,131.0
60,E-5,7.0,0.219,77,131.0
61,G5,7.0,0.219,77,131.0
62,G4,7.0,0.219,77,131.0
63,E-4,7.083,0.25,124,131.0
64,E-5,7.083,0.25,124,131.0
65,F#2,7.656,167/1000,80,131.0
66,C5,7.667,0.188,82,131.0
67,G5,7.667,0.188,82,131.0
68,G4,7.667,0.188,82,131.0
69,E-5,7.667,0.188,82,131.0
70,C2,7.99,1/100,127,131.0
71,F#2,7.99,1/100,127,131.0
72,C2,8.0,49/100,127,131.0
73,F#2,8.0,73/1000,127,131.0
74,F#2,8.656,73/1000,80,131.0
75,C2,8.99,0.5,112,131.0
76,F#2,8.99,83/1000,80,131.0
77,C3,9.0,573/1000,100,131.0
78,G4,9.0,0.156,72,131.0
79,C3,9.0,573/1000,100,131.0
80,C5,9.0,26/125,72,131.0
81,E-5,9.0,26/125,72,131.0
82,G5,9.0,26/125,72,131.0
83,F#2,9.656,83/1000,80,131.0
84,G2,9.667,229/1000,100,131.0
85,G5,9.667,667/1000,74,131.0
86,G2,9.667,229/1000,100,131.0
87,G4,9.667,73/250,76,131.0
88,C5,9.667,73/250,76,131.0
89,E-5,9.667,73/250,76,131.0
90,C2,9.99,0.5,127,131.0
91,F#2,9.99,83/1000,80,131.0
92,B-3,10.0,0.188,96,131.0
93,B-2,10.01,177/500,100,131.0
94,B-2,10.01,177/500,100,131.0
95,F#2,10.656,83/1000,80,131.0
96,B-2,10.667,333/1000,100,131.0
97,B-3,10.667,0.25,98,131.0
98,B-2,10.667,333/1000,100,131.0
99,C2,10.99,49/100,112,131.0
100,F#2,10.99,0.062,80,131.0
101,F2,11.0,0.594,100,131.0
102,B-4,11.0,177/1000,60,131.0
103,F2,11.0,0.594,100,131.0
104,F5,11.0,26/125,78,131.0
105,D5,11.0,26/125,78,131.0
106,F#2,11.125,83/1000,48,131.0
107,F#2,11.292,23/200,80,131.0
108,B-3,11.333,0.219,85,131.0
109,D4,11.615,77/200,99,131.0
110,D5,11.615,77/200,99,131.0
111,F#2,11.656,83/1000,80,131.0
112,B-2,11.667,27/200,100,131.0
113,F5,11.667,333/1000,85,131.0
114,B-2,11.667,27/200,100,131.0
115,B-4,11.667,151/500,67,131.0
116,D5,11.667,151/500,67,131.0
117,C2,11.99,1/100,127,131.0
118,F#2,11.99,1/100,127,131.0
119,G#2,12.0,323/1000,100,131.0
120,G#3,12.0,0.219,100,131.0
121,F5,12.0,13/250,85,131.0
122,C2,12.0,49/100,127,131.0
123,F#2,12.0,0.062,127,131.0
124,G#2,12.0,323/1000,100,131.0
125,C4,12.0,99/500,119,131.0
126,C5,12.0,99/500,119,131.0
127,D4,12.0,73/1000,99,131.0
128,D5,12.0,73/1000,99,131.0
129,F#2,12.323,83/1000,48,131.0
130,F#2,12.656,83/1000,80,131.0
131,G#3,12.667,26/125,82,131.0
132,G#2,12.677,271/1000,100,131.0
133,G#2,12.677,271/1000,100,131.0
134,G#3,12.698,0.375,109,131.0
135,G#4,12.698,0.375,109,131.0
136,C2,12.99,0.5,112,131.0
137,F#2,12.99,83/1000,80,131.0
138,E-2,13.0,177/500,100,131.0
139,E-2,13.0,177/500,100,131.0
140,G#4,13.0,6/25,76,131.0
141,C5,13.0,6/25,76,131.0
142,E-5,13.0,6/25,76,131.0
143,E-3,13.062,0.25,101,131.0
144,E-4,13.062,0.25,101,131.0
145,C2,13.333,177/500,100,131.0
146,C2,13.333,177/500,100,131.0
147,F#2,13.49,83/1000,64,131.0
148,F#2,13.656,0.062,80,131.0
149,E-2,13.667,77/200,100,131.0
150,E-5,13.667,0.219,70,131.0
151,E-2,13.667,77/200,100,131.0
152,G#4,13.667,27/200,76,131.0
153,C5,13.667,27/200,76,131.0
154,C2,13.958,0.531,127,131.0
155,F#2,13.958,23/200,80,131.0
156,C2,14.0,177/500,100,131.0
157,C2,14.0,177/500,100,131.0
158,E-6,14.0,263/250,96,131.0
159,C6,14.0,263/250,96,131.0
160,G#5,14.0,263/250,96,131.0
161,F#2,14.323,83/1000,32,131.0
162,E-2,14.344,323/1000,100,131.0
163,E-2,14.344,323/1000,100,131.0
164,F#2,14.49,83/1000,32,131.0
165,F#2,14.625,83/1000,80,131.0
166,C2,14.677,323/1000,100,131.0
167,C2,14.677,323/1000,100,131.0
168,C2,14.99,0.5,112,131.0
169,F#2,14.99,83/1000,80,131.0
170,G#1,15.0,0.562,100,131.0
171,G#4,15.0,0.188,82,131.0
172,G#1,15.0,0.562,100,131.0
173,E-5,15.0,13/50,82,131.0
174,C5,15.0,13/50,82,131.0
175,F#2,15.323,83/1000,32,131.0
176,F#2,15.49,83/1000,32,131.0
177,F#2,15.656,83/1000,80,131.0
178,E-5,15.667,271/1000,75,131.0
179,G#4,15.667,271/1000,75,131.0
180,C5,15.667,271/1000,75,131.0
181,F#2,15.823,83/1000,96,131.0
182,C2,15.99,1/100,127,131.0
183,F#2,15.99,1/100,127,131.0
184,C2,16.0,49/100,127,131.0
185,F#2,16.0,73/1000,127,131.0
186,F#2,16.656,83/1000,80,131.0
187,C2,16.99,0.5,112,131.0
188,F#2,16.99,83/1000,80,131.0
189,G#2,17.0,521/1000,100,131.0
190,G#2,17.0,521/1000,100,131.0
191,G#4,17.0,13/50,82,131.0
192,E-5,17.0,13/50,82,131.0
193,C5,17.0,13/50,82,131.0
194,F#2,17.656,83/1000,80,131.0
195,E-2,17.667,0.219,100,131.0
196,E-2,17.667,0.219,100,131.0
197,G#4,17.667,0.156,68,131.0
198,E-5,17.667,0.156,68,131.0
199,C5,17.667,0.156,68,131.0
200,C2,17.99,0.5,127,131.0
201,F#2,17.99,83/1000,80,131.0
202,G2,18.0,99/250,100,131.0
203,G3,18.0,26/125,94,131.0
204,G2,18.0,99/250,100,131.0
205,F#2,18.656,83/1000,80,131.0
206,G2,18.667,323/1000,100,131.0
207,G3,18.667,0.219,81,131.0
208,G2,18.667,323/1000,100,131.0
209,D2,18.99,151/500,100,131.0
210,C2,18.99,0.469,112,131.0
211,F#2,18.99,83/1000,80,131.0
212,D2,18.99,151/500,100,131.0
213,B-4,18.99,26/125,78,131.0
214,G4,18.99,26/125,78,131.0
215,E-5,18.99,26/125,78,131.0
216,F#2,19.146,0.094,48,131.0
217,F#2,19.302,73/1000,80,131.0
218,B1,19.323,0.375,100,131.0
219,B1,19.323,0.375,100,131.0
220,G3,19.333,99/500,89,131.0
221,G3,19.604,73/200,121,131.0
222,G4,19.604,73/200,121,131.0
223,F#2,19.656,83/1000,80,131.0
224,D2,19.667,333/1000,100,131.0
225,D2,19.667,333/1000,100,131.0
226,B-4,19.667,0.312,80,131.0
227,G4,19.667,0.312,80,131.0
228,E-5,19.667,0.312,80,131.0
229,C2,19.99,1/100,127,131.0
230,F#2,19.99,1/100,127,131.0
231,F2,20.0,73/250,100,131.0
232,D2,20.0,1/100,100,131.0
233,F3,20.0,229/1000,90,131.0
234,C2,20.0,49/100,127,131.0
235,F#2,20.0,0.125,127,131.0
236,F2,20.0,73/250,100,131.0
237,D2,20.0,1/100,100,131.0
238,F3,20.0,167/1000,114,131.0
239,F4,20.0,167/1000,114,131.0
240,C4,20.615,0.375,95,131.0
241,C5,20.615,0.375,95,131.0
242,F#2,20.656,167/1000,80,131.0
243,F2,20.667,323/1000,100,131.0
244,F3,20.667,13/50,94,131.0
245,F2,20.667,323/1000,100,131.0
246,C2,20.99,73/200,100,131.0
247,C2,20.99,479/1000,112,131.0
248,F#2,20.99,167/1000,80,131.0
249,C2,20.99,73/200,100,131.0
250,F4,20.99,73/250,108,131.0
251,F5,20.99,73/250,108,131.0
252,C5,20.99,0.25,89,131.0
253,A5,20.99,0.25,89,131.0
254,F5,20.99,0.25,89,131.0
255,A1,21.344,0.281,100,131.0
256,A1,21.344,0.281,100,131.0
257,F#2,21.635,0.188,80,131.0
258,C2,21.646,333/1000,100,131.0
259,C2,21.646,333/1000,100,131.0
260,C5,21.667,73/500,83,131.0
261,A5,21.667,73/500,83,131.0
262,F5,21.667,73/500,83,131.0
263,C2,21.99,0.5,127,131.0
264,F#2,21.99,167/1000,80,131.0
265,F2,22.0,49/100,100,131.0
266,F2,22.0,49/100,100,131.0
267,C6,22.021,1.125,102,131.0
268,A5,22.021,1.125,102,131.0
269,F5,22.021,1.125,102,131.0
270,F#2,22.656,167/1000,80,131.0
271,F3,22.667,229/1000,90,131.0
272,C2,22.677,0.312,100,131.0
273,C2,22.677,0.312,100,131.0
274,F2,22.99,0.375,100,131.0
275,C2,22.99,0.5,112,131.0
276,F#2,22.99,167/1000,80,131.0
277,F2,22.99,0.375,100,131.0
278,G5,22.99,229/1000,60,131.0
279,E-5,22.99,229/1000,60,131.0
280,F#2,23.656,167/1000,80,131.0
281,B-4,23.667,0.188,82,131.0
282,E-5,23.667,0.188,82,131.0
283,G5,23.667,0.188,82,131.0
284,C2,23.99,1/100,127,131.0
285,F#2,23.99,1/100,127,131.0
286,F3,24.0,229/1000,92,131.0
287,C2,24.0,49/100,127,131.0
288,F#2,24.0,73/1000,127,131.0
289,F#2,24.656,83/1000,80,131.0
290,F3,24.667,13/50,82,131.0
291,C2,24.99,0.5,112,131.0
292,F#2,24.99,83/1000,80,131.0
293,F2,25.0,49/100,100,131.0
294,F2,25.0,49/100,100,131.0
295,C5,25.0,0.219,87,131.0
296,F5,25.0,0.219,87,131.0
297,A5,25.0,0.219,87,131.0
298,F#2,25.625,83/1000,80,131.0
299,E-2,25.667,271/1000,100,131.0
300,F3,25.667,73/500,75,131.0
301,E-2,25.667,271/1000,100,131.0
302,C2,25.99,0.5,127,131.0
303,F#2,25.99,83/1000,80,131.0
304,F2,26.0,0.562,100,131.0
305,F2,26.0,0.562,100,131.0
306,C5,26.0,0.188,88,131.0
307,A5,26.0,0.188,88,131.0
308,F5,26.0,0.188,83,131.0
309,A5,26.0,0.188,83,131.0
310,F#2,26.656,83/1000,80,131.0
311,E-2,26.667,77/200,100,131.0
312,F3,26.667,27/200,75,131.0
313,E-2,26.667,77/200,100,131.0
314,C2,26.99,0.5,112,131.0
315,F#2,26.99,83/1000,80,131.0
316,C2,27.0,0.656,100,131.0
317,C2,27.0,0.656,100,131.0
318,G5,27.0,73/500,87,131.0
319,B-4,27.0,73/500,87,131.0
320,E-5,27.0,73/500,87,131.0
321,F#2,27.156,83/1000,48,131.0
322,F#2,27.323,83/1000,80,131.0
323,B-1,27.656,0.281,100,131.0
324,F#2,27.656,83/1000,80,131.0
325,B-1,27.656,0.281,100,131.0
326,B-4,27.656,26/125,78,131.0
327,E-5,27.656,26/125,78,131.0
328,G5,27.656,26/125,78,131.0
329,C2,27.99,1/100,127,131.0
330,F#2,27.99,1/100,127,131.0
331,C2,28.0,0.469,100,131.0
332,C4,28.0,0.188,96,131.0
333,C2,28.0,49/100,127,131.0
334,F#2,28.0,73/1000,127,131.0
335,C2,28.0,0.469,100,131.0
336,F#2,28.323,83/1000,48,131.0
337,F#2,28.656,83/1000,80,131.0
338,C4,28.667,271/1000,86,131.0
339,C2,28.677,0.188,100,131.0
340,C2,28.677,0.188,100,131.0
341,C2,28.99,0.469,112,131.0
342,F#2,28.99,83/1000,80,131.0
343,G2,29.0,417/1000,100,131.0
344,G5,29.0,13/125,46,131.0
345,G2,29.0,417/1000,100,131.0
346,E-5,29.0,0.125,79,131.0
347,A4,29.0,0.125,79,131.0
348,B4,29.0,0.125,79,131.0
349,F#2,29.469,73/1000,64,131.0
350,G4,29.583,479/1000,112,131.0
351,G5,29.583,479/1000,112,131.0
352,F#2,29.635,13/125,80,131.0
353,G2,29.667,26/125,100,131.0
354,E-5,29.667,73/500,62,131.0
355,G2,29.667,26/125,100,131.0
356,C2,29.958,0.531,127,131.0
357,F#2,29.958,23/200,80,131.0
358,E-4,29.958,6/25,93,131.0
359,E-5,29.958,6/25,93,131.0
360,C2,30.0,112/125,100,131.0
361,C4,30.0,99/500,98,131.0
362,C2,30.0,112/125,100,131.0
363,E-6,30.042,1.031,105,131.0
364,C6,30.042,1.031,105,131.0
365,G5,30.042,1.031,105,131.0
366,F#2,30.323,73/1000,32,131.0
367,F#2,30.49,83/1000,32,131.0
368,C4,30.646,151/500,103,131.0
369,C5,30.646,151/500,103,131.0
370,F#2,30.656,83/1000,80,131.0
371,C4,30.667,0.219,85,131.0
372,C2,30.99,0.5,112,131.0
373,F#2,30.99,83/1000,80,131.0
374,E-5,31.0,73/250,79,131.0
375,G5,31.0,73/250,79,131.0
376,B-4,31.0,73/250,79,131.0
377,G3,31.031,333/1000,103,131.0
378,G4,31.031,333/1000,103,131.0
379,F#2,31.323,83/1000,32,131.0
380,F#2,31.49,83/1000,32,131.0
381,F#2,31.656,83/1000,80,131.0
382,B-4,31.667,73/250,81,131.0
383,F#2,31.823,83/1000,96,131.0
384,C2,31.99,1/100,127,131.0
385,F#2,31.99,1/100,127,131.0
386,B-1,32.0,56/125,100,131.0
387,B-3,32.0,229/1000,89,131.0
388,C2,32.0,49/100,127,131.0
389,F#2,32.0,0.156,127,131.0
390,B-1,32.0,56/125,100,131.0
391,F4,32.635,56/125,105,131.0
392,F5,32.635,56/125,105,131.0
393,F#2,32.656,73/500,80,131.0
394,B-3,32.667,13/50,88,131.0
395,B-1,32.677,99/500,100,131.0
396,B-1,32.677,99/500,100,131.0
397,C2,32.958,0.531,112,131.0
398,F#2,32.958,99/500,80,131.0
399,F2,33.0,73/200,100,131.0
400,F2,33.0,73/200,100,131.0
401,D4,33.0,0.281,99,131.0
402,D5,33.0,0.281,99,131.0
403,F5,33.0,6/25,74,131.0
404,B-4,33.0,6/25,74,131.0
405,D5,33.0,6/25,74,131.0
406,F#2,33.656,167/1000,80,131.0
407,F2,33.667,0.281,100,131.0
408,F2,33.667,0.281,100,131.0
409,B-4,33.667,49/100,85,131.0
410,D5,33.667,49/100,85,131.0
411,F5,33.667,49/100,81,131.0
412,D5,33.667,49/100,81,131.0
413,B-3,33.688,151/500,112,131.0
414,B-4,33.688,151/500,112,131.0
415,B-1,34.0,0.656,100,131.0
416,B-3,34.0,229/1000,86,131.0
417,F#2,34.0,0.156,80,131.0
418,B-1,34.0,0.656,100,131.0
419,B-5,34.0,31/25,97,131.0
420,D6,34.0,31/25,97,131.0
421,F5,34.0,31/25,97,131.0
422,C2,34.0,49/100,127,131.0
423,F4,34.0,49/100,127,131.0
424,F3,34.042,73/250,114,131.0
425,F4,34.042,73/250,114,131.0
426,B-3,34.667,771/1000,81,131.0
427,F#2,34.667,0.156,80,131.0
428,F5,34.99,729/1000,74,131.0
429,D5,34.99,521/1000,71,131.0
430,B-4,34.99,0.375,51,131.0
431,F#2,34.99,167/1000,80,131.0
432,C2,34.99,0.5,120,131.0
433,F#4,34.99,0.5,120,131.0
434,E2,35.5,6/25,127,131.0
435,C#3,35.5,6/25,127,131.0
436,D2,35.5,6/25,127,131.0
437,F#2,35.656,167/1000,80,131.0
438,C2,35.958,21/500,127,131.0
439,F#2,35.958,21/500,127,131.0
440,C3,36.0,0.438,100,131.0
441,C4,36.0,26/125,94,131.0
442,C2,36.0,49/100,127,131.0
443,F#2,36.0,21/500,127,131.0
444,C3,36.0,0.438,100,131.0
445,F#2,36.323,83/1000,48,131.0
446,F#2,36.656,83/1000,80,131.0
447,C3,36.667,0.188,100,131.0
448,C4,36.667,99/500,86,131.0
449,C3,36.667,0.188,100,131.0
450,C2,36.99,0.5,112,131.0
451,F#2,36.99,83/1000,80,131.0
452,G2,37.0,0.406,100,131.0
453,G2,37.0,0.406,100,131.0
454,G5,37.0,99/500,88,131.0
455,C5,37.0,99/500,88,131.0
456,E-5,37.0,99/500,88,131.0
457,F#2,37.49,83/1000,64,131.0
458,F#2,37.656,83/1000,80,131.0
459,G2,37.667,0.281,100,131.0
460,G2,37.667,0.281,100,131.0
461,C5,37.667,229/1000,86,131.0
462,G5,37.667,229/1000,86,131.0
463,E-5,37.667,229/1000,83,131.0
464,G5,37.667,229/1000,83,131.0
465,C2,37.99,0.469,127,131.0
466,F#2,37.99,83/1000,80,131.0
467,E-2,38.01,323/1000,100,131.0
468,E-2,38.01,323/1000,100,131.0
469,F#2,38.292,83/1000,32,131.0
470,C2,38.323,0.344,100,131.0
471,C2,38.323,0.344,100,131.0
472,F#2,38.458,13/125,32,131.0
473,F#2,38.625,83/1000,80,131.0
474,E-2,38.656,333/1000,100,131.0
475,E-2,38.656,333/1000,100,131.0
476,C4,38.667,0.906,98,131.0
477,C2,38.99,417/1000,100,131.0
478,C2,38.99,0.5,112,131.0
479,F#2,38.99,83/1000,80,131.0
480,C2,38.99,417/1000,100,131.0
481,E-5,38.99,333/1000,81,131.0
482,C5,38.99,333/1000,81,131.0
483,G5,38.99,333/1000,81,131.0
484,F#2,39.323,83/1000,32,131.0
485,F#2,39.49,83/1000,32,131.0
486,F#2,39.656,83/1000,80,131.0
487,C5,39.667,333/1000,57,131.0
