,note_name,start_time,duration,velocity,tempo
0,B-2,4.0,1979/1000,80,53.0
1,F3,4.333,979/1000,80,53.0
2,D4,4.667,979/1000,80,53.0
3,F3,5.333,979/1000,80,53.0
4,D4,5.667,979/1000,80,53.0
5,B-2,6.0,1979/1000,80,53.0
6,F3,6.333,979/1000,80,53.0
7,D4,6.667,979/1000,80,53.0
8,F3,7.333,323/500,80,53.0
9,D4,7.667,0.312,80,53.0
10,B-2,8.0,1979/1000,80,53.0
11,F3,8.333,979/1000,80,53.0
12,D4,8.667,979/1000,80,53.0
13,D4,8.667,0.5,74,53.0
14,F3,9.333,979/1000,80,53.0
15,D4,9.667,979/1000,80,53.0
16,D4,9.667,0.5,68,53.0
17,B-2,10.0,1979/1000,80,53.0
18,F3,10.333,979/1000,80,53.0
19,D4,10.667,979/1000,80,53.0
20,D4,10.667,0.5,60,53.0
21,F3,11.333,323/500,80,53.0
22,D4,11.667,333/1000,66,53.0
23,D4,11.667,333/1000,66,53.0
24,B-2,12.0,1979/1000,80,53.0
25,F3,12.333,979/1000,78,53.0
26,D4,12.667,979/1000,74,53.0
27,F3,13.333,979/1000,70,53.0
28,D4,13.667,979/1000,68,53.0
29,B-2,14.0,1979/1000,64,53.0
30,F3,14.333,979/1000,62,53.0
31,D4,14.667,979/1000,60,53.0
32,F3,15.333,323/500,54,53.0
33,D4,15.667,0.312,52,53.0
34,G2,16.0,1979/1000,80,53.0
35,D3,16.333,979/1000,78,53.0
36,B-3,16.667,979/1000,74,53.0
37,D3,17.333,979/1000,70,53.0
38,B-3,17.667,979/1000,68,53.0
39,G2,18.0,1979/1000,64,53.0
40,D3,18.333,979/1000,62,53.0
41,B-3,18.667,979/1000,60,53.0
42,D3,19.333,323/500,54,53.0
43,B-3,19.667,0.312,52,53.0
44,E-2,20.0,1979/1000,80,53.0
45,B-2,20.333,979/1000,78,53.0
46,G3,20.667,979/1000,74,53.0
47,B-2,21.333,979/1000,70,53.0
48,B-3,21.667,979/1000,68,53.0
49,E-2,22.0,1979/1000,64,53.0
50,B-2,22.333,979/1000,62,53.0
51,G3,22.667,979/1000,60,53.0
52,B-2,23.333,323/500,54,53.0
53,G3,23.667,0.312,52,53.0
54,D2,24.0,1823/500,70,53.0
55,A2,24.333,2979/1000,70,53.0
56,D3,24.667,0.312,74,53.0
57,D3,25.0,1979/1000,78,53.0
58,F3,25.333,979/1000,82,53.0
59,A3,25.667,323/500,86,53.0
60,D4,26.0,1979/1000,90,53.0
61,A3,26.333,823/500,86,53.0
62,F3,26.667,1.312,82,53.0
63,D3,27.0,979/1000,78,53.0
64,A2,27.333,323/500,74,53.0
65,D2,27.667,0.312,70,53.0
