,note_name,start_time,duration,velocity,tempo
0,F6,6.0,6/25,103,114.0
1,F#5,6.01,651/125,70,114.0
2,C#6,6.01,651/125,70,114.0
3,G#5,6.021,5.344,72,114.0
4,E-6,6.5,73/250,63,114.0
5,F6,7.0,167/1000,70,114.0
6,B-6,7.5,0.281,97,114.0
7,F6,8.0,323/1000,82,114.0
8,E-6,8.5,6/25,65,114.0
9,F6,9.0,271/1000,99,114.0
10,E-6,9.5,26/125,60,114.0
11,F6,10.0,73/500,84,114.0
12,B-6,10.5,13/50,95,114.0
13,F6,11.0,73/250,87,114.0
14,E-6,11.5,333/1000,70,114.0
15,F#5,11.958,21/500,65,114.0
16,G#5,11.969,0.031,66,114.0
17,C6,11.969,0.031,66,114.0
18,F6,12.0,0.469,103,114.0
19,F#5,12.0,5.281,65,114.0
20,G#5,12.0,5.344,66,114.0
21,C6,12.0,5.344,66,114.0
22,E-6,12.5,151/500,62,114.0
23,F6,13.0,167/1000,95,114.0
24,G#6,13.5,0.281,89,114.0
25,F6,14.0,6/25,94,114.0
26,E-6,14.5,26/125,62,114.0
27,F6,15.0,26/125,99,114.0
28,E-6,15.5,271/1000,64,114.0
29,F6,16.0,167/1000,82,114.0
30,G#6,16.5,26/125,92,114.0
31,F6,17.0,99/500,82,114.0
32,E-6,17.5,167/1000,69,114.0
33,G#5,17.896,13/125,74,114.0
34,F5,17.896,13/125,74,114.0
35,E-6,18.0,177/500,87,114.0
36,C6,18.0,4.781,70,114.0
37,G#5,18.0,612/125,74,114.0
38,F5,18.0,612/125,74,114.0
39,C#6,18.5,73/250,64,114.0
40,E-6,19.0,73/500,79,114.0
41,G#6,19.5,6/25,85,114.0
42,E-6,20.0,167/1000,65,114.0
43,C#6,20.5,26/125,73,114.0
44,E-6,21.0,167/1000,87,114.0
45,C#6,21.5,229/1000,69,114.0
46,E-6,22.0,13/125,64,114.0
47,G#6,22.5,0.219,92,114.0
48,E-6,23.0,0.125,77,114.0
49,C#6,23.5,27/200,85,114.0
50,B-4,23.812,0.188,61,114.0
51,F5,23.958,21/500,77,114.0
52,G#5,23.958,21/500,77,114.0
53,C6,23.958,21/500,77,114.0
54,E-6,24.0,13/50,72,114.0
55,B-4,24.0,149/100,61,114.0
56,F5,24.0,1.469,77,114.0
57,G#5,24.0,1.469,77,114.0
58,C6,24.0,1.469,77,114.0
59,C#6,24.5,0.219,77,114.0
60,E-6,25.0,27/200,72,114.0
61,G#6,25.5,0.188,87,114.0
62,E-6,26.0,167/1000,66,114.0
63,C#6,26.5,427/1000,64,114.0
64,C6,27.0,229/500,75,114.0
65,F5,27.0,1927/1000,68,114.0
66,C#5,27.0,1927/1000,68,114.0
67,G#4,27.0,1927/1000,68,114.0
68,B-5,27.5,0.375,60,114.0
69,C6,28.0,99/500,68,114.0
70,F6,28.5,0.25,92,114.0
71,C6,29.0,0.375,66,114.0
72,B-5,29.5,73/500,73,114.0
73,G#5,30.0,651/125,66,114.0
74,F6,30.0,417/1000,92,114.0
75,C#6,30.0,1323/250,64,114.0
76,F#5,30.0,1323/250,64,114.0
77,E-6,30.5,73/250,56,114.0
78,F6,31.0,27/200,83,114.0
79,B-6,31.5,427/1000,97,114.0
80,F6,32.0,0.469,68,114.0
81,E-6,32.5,99/500,60,114.0
82,F6,33.0,77/200,96,114.0
83,E-6,33.5,323/1000,64,114.0
84,F6,34.0,167/1000,94,114.0
85,B-6,34.5,13/50,92,114.0
86,F6,35.0,333/1000,82,114.0
87,E-6,35.5,73/250,68,114.0
88,F#5,35.969,0.031,70,114.0
89,G#5,35.969,0.031,62,114.0
90,C6,35.99,1/100,67,114.0
91,F6,36.0,0.312,97,114.0
92,F#5,36.0,1323/250,70,114.0
93,G#5,36.0,5.688,62,114.0
94,C6,36.0,1349/250,67,114.0
95,E-6,36.5,177/500,56,114.0
96,F6,37.0,0.156,92,114.0
97,G#6,37.5,0.281,92,114.0
98,F6,38.0,177/500,83,114.0
99,E-6,38.5,271/1000,59,114.0
100,F6,39.0,73/200,99,114.0
101,E-6,39.5,0.281,56,114.0
102,F6,40.0,73/500,92,114.0
103,G#6,40.5,0.281,95,114.0
104,F6,41.0,73/250,94,114.0
105,E-6,41.5,26/125,75,114.0
106,F5,41.896,13/125,52,114.0
107,C6,41.99,1/100,64,114.0
108,E-6,42.0,0.312,95,114.0
109,G#5,42.0,4979/1000,47,114.0
110,F5,42.0,612/125,52,114.0
111,C6,42.0,2401/500,64,114.0
112,C#6,42.5,13/50,68,114.0
113,E-6,43.0,73/500,72,114.0
114,C7,43.5,13/50,94,114.0
115,E-6,44.0,26/125,77,114.0
116,C#6,44.5,177/1000,77,114.0
117,G#6,45.0,99/500,95,114.0
118,E-6,45.5,23/200,63,114.0
119,C#6,46.0,73/500,81,114.0
120,C7,46.5,0.188,106,114.0
121,E-6,47.0,167/1000,62,114.0
122,C#6,47.5,323/1000,73,114.0
123,B-4,47.792,26/125,57,114.0
124,F5,47.958,21/500,64,114.0
125,G#5,47.958,21/500,64,114.0
126,C6,47.958,21/500,64,114.0
127,E-6,48.0,271/1000,86,114.0
128,B-4,48.0,501/100,57,114.0
129,F5,48.0,4927/1000,64,114.0
130,G#5,48.0,4927/1000,64,114.0
131,C6,48.0,4927/1000,64,114.0
132,C#6,48.5,13/50,72,114.0
133,E-6,49.0,0.125,58,114.0
134,C7,49.5,99/500,91,114.0
135,E-6,50.0,73/1000,58,114.0
136,C#6,50.5,26/125,54,114.0
137,G#6,51.0,0.188,87,114.0
138,E-6,51.5,73/1000,43,114.0
139,C#6,52.0,177/1000,72,114.0
140,C7,52.5,229/1000,101,114.0
141,E-6,53.0,73/500,66,114.0
142,C#6,53.5,6/25,66,114.0
143,G#4,53.969,0.031,66,114.0
144,F#4,53.969,0.031,58,114.0
145,C#5,53.969,0.031,58,114.0
146,F5,53.979,21/1000,60,114.0
147,F6,54.0,177/500,70,114.0
148,G#4,54.0,5583/1000,66,114.0
149,F5,54.0,5.406,60,114.0
150,F#4,54.0,5271/1000,58,114.0
151,C#5,54.0,5271/1000,58,114.0
152,E-6,54.5,271/1000,50,114.0
153,F6,55.0,167/1000,63,114.0
154,B-5,55.5,99/500,92,114.0
155,B-6,55.5,177/500,95,114.0
156,F6,56.0,0.219,74,114.0
157,E-6,56.5,6/25,63,114.0
158,F6,57.0,177/1000,97,114.0
159,E-6,57.5,13/50,66,114.0
160,F6,58.0,27/200,88,114.0
161,B-5,58.5,177/1000,89,114.0
162,B-6,58.51,333/1000,97,114.0
163,F6,59.0,6/25,66,114.0
164,E-6,59.5,151/500,72,114.0
165,F#4,59.948,13/250,65,114.0
166,F5,59.969,0.031,66,114.0
167,C5,59.979,21/1000,91,114.0
168,F6,60.0,0.312,101,114.0
169,F#4,60.0,5.0,65,114.0
170,F5,60.0,5073/1000,66,114.0
171,C5,60.0,5.188,91,114.0
172,E-6,60.5,99/250,54,114.0
173,F6,61.0,27/200,83,114.0
174,G#5,61.5,177/1000,85,114.0
175,G#6,61.51,333/1000,85,114.0
176,F6,62.0,13/50,83,114.0
177,E-6,62.5,229/1000,59,114.0
178,F6,63.0,0.219,86,114.0
179,E-6,63.5,6/25,57,114.0
180,F6,64.0,27/200,75,114.0
181,G#5,64.5,0.219,83,114.0
182,G#6,64.51,0.281,89,114.0
183,F6,65.0,0.375,72,114.0
184,E-6,65.5,177/1000,73,114.0
185,G#4,65.812,0.188,64,114.0
186,F4,65.812,0.188,64,114.0
187,C5,65.885,23/200,72,114.0
188,E-6,66.0,151/500,69,114.0
189,E-5,66.0,1263/250,62,114.0
190,C5,66.0,4.781,72,114.0
191,G#4,66.0,612/125,64,114.0
192,F4,66.0,612/125,64,114.0
193,C#6,66.5,0.219,69,114.0
194,E-6,67.0,27/200,73,114.0
195,G#5,67.5,177/1000,92,114.0
196,G#6,67.5,177/1000,92,114.0
197,E-6,68.0,0.188,75,114.0
198,C#6,68.5,167/1000,65,114.0
199,E-6,69.0,0.156,83,114.0
200,C#6,69.5,0.125,61,114.0
201,E-6,70.0,167/1000,62,114.0
202,G#5,70.5,73/500,85,114.0
203,G#6,70.5,0.219,89,114.0
204,E-6,71.0,0.188,74,114.0
205,C#6,71.5,99/500,66,114.0
206,B-4,71.885,23/200,55,114.0
207,C#5,71.938,0.062,77,114.0
208,F5,71.938,0.062,77,114.0
209,C6,71.958,21/500,61,114.0
210,E-6,72.0,13/50,77,114.0
211,B-4,72.0,901/500,55,114.0
212,C6,72.0,99/100,61,114.0
213,C#5,72.0,1.719,77,114.0
214,F5,72.0,1.719,77,114.0
215,C#6,72.5,177/1000,62,114.0
216,E-6,73.0,27/200,60,114.0
217,G#5,73.5,167/1000,97,114.0
218,G#6,73.51,0.312,97,114.0
219,E-6,74.0,56/125,75,114.0
220,C#6,74.5,56/125,69,114.0
221,C6,75.0,56/125,84,114.0
222,F5,75.021,677/500,51,114.0
223,C#5,75.021,113/50,66,114.0
224,G#4,75.021,1073/500,66,114.0
225,B-5,75.5,0.406,61,114.0
226,C6,76.0,73/500,67,114.0
227,F5,76.5,0.281,72,114.0
228,F6,76.5,0.281,72,114.0
229,C6,77.0,26/125,51,114.0
230,B-5,77.5,0.281,57,114.0
231,F#4,77.958,21/500,62,114.0
232,C#5,77.958,21/500,62,114.0
233,G#4,77.958,21/500,62,114.0
234,F6,78.0,0.281,91,114.0
235,F5,78.0,5479/1000,60,114.0
236,F#4,78.0,5.344,62,114.0
237,C#5,78.0,5.344,62,114.0
238,G#4,78.0,5.344,62,114.0
239,E-6,78.5,323/1000,66,114.0
240,F6,79.0,229/1000,70,114.0
241,B-5,79.5,0.25,92,114.0
242,B-6,79.5,0.375,100,114.0
243,F6,80.0,6/25,69,114.0
244,E-6,80.5,13/50,56,114.0
245,F6,81.0,26/125,91,114.0
246,E-6,81.5,427/1000,62,114.0
247,F6,82.0,27/200,75,114.0
248,B-5,82.5,0.375,91,114.0
249,B-6,82.5,0.375,91,114.0
250,F6,83.0,271/1000,75,114.0
251,E-6,83.5,333/1000,74,114.0
252,F#4,83.958,21/500,55,114.0
253,C5,83.99,1/100,83,114.0
254,F5,83.99,1/100,66,114.0
255,F6,84.0,0.375,99,114.0
256,F#4,84.0,263/50,55,114.0
257,C5,84.0,5.531,83,114.0
258,F5,84.0,2677/500,66,114.0
259,E-6,84.5,333/1000,74,114.0
260,F6,85.0,13/50,78,114.0
261,G#5,85.5,0.25,89,114.0
262,G#6,85.51,333/1000,83,114.0
263,F6,86.0,229/1000,76,114.0
264,E-6,86.5,0.219,73,114.0
265,F6,87.0,13/50,81,114.0
266,E-6,87.5,99/500,68,114.0
267,F6,88.0,99/500,75,114.0
268,G#5,88.5,0.156,97,114.0
269,G#6,88.5,13/50,92,114.0
270,F6,89.0,26/125,76,114.0
271,E-6,89.5,177/1000,73,114.0
272,F4,89.896,13/125,66,114.0
273,G#4,89.896,13/125,66,114.0
274,E-6,90.0,177/500,70,114.0
275,F4,90.0,612/125,66,114.0
276,G#4,90.0,612/125,66,114.0
277,C5,90.01,4.875,66,114.0
278,E-5,90.042,499/100,66,114.0
279,C#6,90.5,229/1000,69,114.0
280,E-6,91.0,167/1000,72,114.0
281,C7,91.5,0.219,105,114.0
282,E-6,92.0,167/1000,69,114.0
283,C#6,92.5,177/1000,69,114.0
284,G#6,93.0,99/500,95,114.0
285,E-6,93.5,27/200,63,114.0
286,C#6,94.0,27/200,79,114.0
287,C7,94.5,99/500,99,114.0
288,E-6,95.0,177/1000,63,114.0
289,C#6,95.5,0.344,77,114.0
290,B-4,95.771,229/1000,68,114.0
291,F5,95.948,13/250,63,114.0
292,C6,95.948,13/250,63,114.0
293,E-6,96.0,427/1000,84,114.0
294,B-4,96.0,263/125,68,114.0
295,F5,96.0,2.0,63,114.0
296,C6,96.0,2.0,63,114.0
297,C#6,96.5,99/500,73,114.0
298,E-6,97.0,177/1000,69,114.0
299,C7,97.5,229/1000,101,114.0
300,E-6,98.0,0.219,65,114.0
301,C#6,98.5,0.5,68,114.0
302,C4,98.99,177/1000,83,114.0
303,G#6,99.0,229/500,81,114.0
304,B-3,99.479,73/500,62,114.0
305,E-6,99.5,0.5,69,114.0
306,G#3,99.969,23/200,60,114.0
307,C#6,100.0,49/100,54,114.0
308,F3,100.458,73/500,80,114.0
309,C7,100.5,0.469,83,114.0
310,E-3,100.958,0.094,65,114.0
311,E-6,101.0,27/200,66,114.0
312,C#6,101.5,23/200,62,114.0
313,C#3,101.5,23/200,62,114.0
314,E-4,102.0,51/100,60,114.0
315,F#2,102.01,2771/1000,73,114.0
316,F4,102.5,271/500,84,114.0
317,E-4,103.0,417/1000,77,114.0
318,C#3,103.021,0.812,60,114.0
319,B-3,103.469,0.562,68,114.0
320,E-4,104.0,427/500,65,114.0
321,F#3,104.0,427/500,65,114.0
322,G#2,106.0,251/100,77,114.0
323,E-3,107.0,51/100,68,114.0
324,E-4,107.0,51/100,68,114.0
325,B-3,107.021,0.375,62,114.0
326,C#4,107.51,0.5,95,114.0
327,F4,107.521,99/250,87,114.0
328,G#3,108.0,0.531,78,114.0
329,E-4,108.0,0.531,78,114.0
330,B-3,108.021,0.438,70,114.0
331,F4,108.49,0.438,92,114.0
332,C#4,108.49,0.438,92,114.0
333,G#4,109.0,49/100,87,114.0
334,E-4,109.0,49/100,87,114.0
335,G#2,109.0,49/100,87,114.0
336,C#4,109.479,521/1000,86,114.0
337,F4,109.479,521/1000,86,114.0
338,B-2,110.0,651/250,65,114.0
339,C#4,110.0,21/1000,86,114.0
340,F4,110.0,21/1000,86,114.0
341,B-3,110.01,56/125,75,114.0
342,E-4,110.031,51/100,97,114.0
343,F4,110.479,69/125,92,114.0
344,C4,110.5,229/500,75,114.0
345,E-4,111.0,51/100,83,114.0
346,F3,111.01,1979/1000,80,114.0
347,B-3,111.01,0.312,65,114.0
348,B-3,111.479,0.312,75,114.0
349,G#3,112.0,227/200,69,114.0
350,C#4,112.01,1.281,73,114.0
351,B-2,114.0,521/1000,81,114.0
352,F3,114.479,0.531,85,114.0
353,C#5,115.0,177/500,83,114.0
354,C#4,115.0,177/500,83,114.0
355,F4,115.0,177/500,83,114.0
356,B-3,115.0,177/500,81,114.0
357,F4,115.0,177/500,81,114.0
358,C5,116.0,123/200,88,114.0
359,F4,116.0,49/100,89,114.0
360,G#3,116.0,49/100,89,114.0
361,C4,116.0,49/100,89,114.0
362,F3,116.469,123/200,92,114.0
363,G#4,116.469,123/200,92,114.0
364,G#2,117.0,6/25,85,114.0
365,C4,117.0,6/25,85,114.0
366,F4,117.0,6/25,85,114.0
367,E-4,118.0,51/100,73,114.0
368,F#2,118.021,1073/500,69,114.0
369,F4,118.5,49/100,89,114.0
370,C#3,119.0,0.906,68,114.0
371,E-4,119.0,0.438,85,114.0
372,B-3,119.469,0.312,69,114.0
373,E-4,120.0,69/125,75,114.0
374,F#3,120.01,427/1000,50,114.0
375,G#2,122.0,137/50,87,114.0
376,E-4,123.0,0.438,74,114.0
377,E-3,123.0,0.438,74,114.0
378,B-3,123.021,0.312,69,114.0
379,C#4,123.5,229/500,89,114.0
380,F4,123.5,77/200,92,114.0
381,F#3,124.0,573/1000,86,114.0
382,E-4,124.0,573/1000,86,114.0
383,B-3,124.031,229/500,85,114.0
384,F4,124.479,49/100,82,114.0
385,C#4,124.479,49/100,82,114.0
386,G#4,125.0,323/1000,94,114.0
387,E-4,125.0,323/1000,94,114.0
388,G#2,125.01,56/125,87,114.0
389,C#4,125.479,521/1000,84,114.0
390,F4,125.479,521/1000,84,114.0
391,B-2,126.0,1599/500,62,114.0
392,B-3,126.0,51/100,86,114.0
393,E-4,126.0,51/100,86,114.0
394,F4,126.5,77/200,95,114.0
395,C4,126.521,0.438,68,114.0
396,E-4,127.0,427/1000,81,114.0
397,F3,127.0,427/1000,81,114.0
398,B-3,127.01,0.312,75,114.0
399,C#4,127.438,229/1000,85,114.0
400,G#3,127.448,73/250,68,114.0
401,B-3,128.0,1229/1000,69,114.0
402,F3,128.01,1073/1000,73,114.0
403,C4,132.0,979/1000,45,114.0
404,G#3,132.0,979/1000,45,114.0
