,note_name,start_time,duration,velocity,tempo
0,C#2,5.26,13/125,83,120.0
1,C#2,6.573,521/500,83,120.0
2,C#2,7.885,23/200,83,120.0
3,C#2,8.0,927/1000,83,120.0
4,C#2,9.198,521/500,83,120.0
5,B1,10.49,599/500,87,120.0
6,C4,10.51,149/100,123,120.0
7,C2,10.521,1479/1000,83,120.0
8,F#2,10.521,13/50,83,120.0
9,F#2,11.167,0.219,83,120.0
10,C#2,11.823,177/1000,83,120.0
11,F#2,11.823,177/1000,83,120.0
12,C4,12.0,0.969,123,120.0
13,C2,12.0,0.531,83,120.0
14,C#2,12.0,13/50,83,120.0
15,F#2,12.0,21/500,83,120.0
16,G3,12.479,0.656,123,120.0
17,F#2,12.49,26/125,83,120.0
18,B1,13.115,0.156,87,120.0
19,B-3,13.135,0.656,123,120.0
20,B-1,13.146,0.594,83,120.0
21,F#2,13.146,13/50,83,120.0
22,B1,13.771,479/1000,87,120.0
23,C4,13.802,177/250,123,120.0
24,C2,13.802,19/25,83,120.0
25,F#2,13.802,26/125,83,120.0
26,E-4,14.448,63/50,123,120.0
27,E-2,14.458,1.25,83,120.0
28,C#2,14.458,49/100,83,120.0
29,F#2,14.458,271/1000,83,120.0
30,F#2,15.104,0.281,83,120.0
31,B1,15.74,13/50,87,120.0
32,C4,15.771,229/1000,123,120.0
33,C2,15.771,229/1000,83,120.0
34,F#2,15.771,229/1000,83,120.0
35,C4,16.0,201/100,123,120.0
36,C2,16.0,237/125,83,120.0
37,B1,16.0,99/100,87,120.0
38,F#2,16.0,21/500,83,120.0
39,F#2,16.417,0.219,83,120.0
40,F#2,17.073,323/1000,83,120.0
41,C#2,17.073,323/1000,83,120.0
42,E3,17.188,2521/1000,27,120.0
43,G3,17.729,0.719,123,120.0
44,G1,17.74,177/250,83,120.0
45,F#2,17.74,0.219,83,120.0
46,B1,18.365,0.219,85,120.0
47,F#2,18.365,0.219,85,120.0
48,B-3,18.396,0.594,123,120.0
49,B-1,18.396,0.656,83,120.0
50,B1,19.031,0.531,87,120.0
51,C4,19.052,237/250,123,120.0
52,C2,19.052,237/250,83,120.0
53,F#2,19.052,0.219,83,120.0
54,C#2,19.708,73/250,83,120.0
55,F#2,19.708,0.219,83,120.0
56,F3,19.812,0.188,19,120.0
57,C4,20.0,0.688,123,120.0
58,C2,20.0,37/50,83,120.0
59,C#2,20.0,73/500,83,120.0
60,F3,20.0,0.75,19,120.0
61,F#2,20.365,0.219,83,120.0
62,F3,20.958,1.812,49,120.0
63,B1,21.0,651/500,87,120.0
64,C4,21.021,1.969,123,120.0
65,C2,21.021,2021/1000,83,120.0
66,F#2,21.021,0.219,83,120.0
67,F#2,21.677,0.219,83,120.0
68,C#2,22.333,323/1000,83,120.0
69,F#2,22.333,323/1000,83,120.0
70,G3,22.99,0.656,123,120.0
71,G1,22.99,177/250,83,120.0
72,F#2,23.0,13/50,56,120.0
73,F3,23.0,13/50,56,120.0
74,B1,23.625,26/125,85,120.0
75,F#2,23.625,26/125,85,120.0
76,B-3,23.646,177/500,123,120.0
77,B-1,23.646,177/500,83,120.0
78,F3,23.656,0.344,60,120.0
79,B-3,24.0,151/500,123,120.0
80,B-1,24.0,0.25,83,120.0
81,F3,24.0,181/125,60,120.0
82,B1,24.281,479/1000,87,120.0
83,C4,24.302,823/1000,123,120.0
84,C2,24.302,177/250,83,120.0
85,F#2,24.312,26/125,83,120.0
86,E-4,24.958,273/200,123,120.0
87,E-2,24.958,1.312,83,120.0
88,F#2,24.958,271/1000,83,120.0
89,C#2,24.969,0.531,83,120.0
90,F#2,25.615,0.219,60,120.0
91,F3,25.615,0.219,60,120.0
92,B1,26.25,677/500,87,120.0
93,C4,26.271,1729/1000,123,120.0
94,C2,26.281,1.719,83,120.0
95,F#2,26.281,13/50,83,120.0
96,F3,26.281,1.719,68,120.0
97,F#2,26.927,271/1000,83,120.0
98,C#2,27.583,77/200,83,120.0
99,F#2,27.583,0.219,83,120.0
100,C4,28.0,73/250,123,120.0
101,C2,28.0,151/500,83,120.0
102,F3,28.0,1771/1000,68,120.0
103,G3,28.24,177/250,123,120.0
104,G1,28.24,0.656,83,120.0
105,F#2,28.25,13/50,83,120.0
106,B1,28.875,0.156,87,120.0
107,B-3,28.896,0.656,123,120.0
108,B-1,28.906,0.594,83,120.0
109,F#2,28.906,26/125,83,120.0
110,B1,29.531,0.594,87,120.0
111,C4,29.552,1.75,123,120.0
112,C2,29.562,1521/1000,83,120.0
113,F#2,29.562,0.156,86,120.0
114,A2,29.562,0.156,86,120.0
115,A2,29.99,23/200,69,120.0
116,C#2,30.208,49/100,83,120.0
