,note_name,start_time,duration,velocity,tempo
0,A5,4.019,79/1000,85,120
1,F#4,4.019,749/250,77,120
2,G4,4.154,121/1000,80,120
3,G4,4.404,121/1000,83,120
4,G4,4.654,121/1000,83,120
5,B-5,4.681,79/500,103,120
6,C#5,4.681,79/500,103,120
7,G4,4.904,121/1000,80,120
8,G#2,5.015,79/1000,73,120
9,G4,5.154,121/1000,83,120
10,G4,5.404,121/1000,82,120
11,G4,5.654,121/1000,80,120
12,G#5,5.681,33/200,86,120
13,B4,5.681,33/200,86,120
14,G4,5.904,121/1000,83,120
15,B-5,6.015,24/125,104,120
16,C#5,6.015,24/125,104,120
17,G4,6.154,121/1000,83,120
18,G4,6.404,121/1000,80,120
19,G4,6.654,121/1000,82,120
20,G4,6.904,121/1000,83,120
21,G#2,7.015,79/1000,82,120
22,A5,7.015,79/1000,82,120
23,F4,7.019,981/1000,82,120
24,G#4,7.019,981/1000,82,120
25,F#4,7.144,121/1000,92,120
26,F#4,7.394,121/1000,95,120
27,F#4,7.644,121/1000,94,120
28,B-5,7.679,173/1000,104,120
29,C#5,7.679,173/1000,104,120
30,F#4,7.894,53/500,93,120
31,F#4,8.0,3/200,93,120
32,F4,8.0,503/500,82,120
33,G#4,8.0,503/500,82,120
34,F#4,8.144,121/1000,95,120
35,F#4,8.394,121/1000,94,120
36,F#4,8.644,121/1000,93,120
37,G#5,8.679,169/1000,88,120
38,B4,8.679,169/1000,88,120
39,G#2,9.01,79/1000,75,120
40,B-5,9.012,1/5,106,120
41,C#5,9.012,1/5,106,120
42,F4,9.019,112/125,84,120
43,A4,9.019,247/500,70,120
44,F#4,9.144,121/1000,93,120
45,F#4,9.394,121/1000,95,120
46,B-4,9.519,247/500,86,120
47,F#4,9.644,121/1000,94,120
48,F#4,9.894,121/1000,93,120
49,F4,10.019,877/1000,85,120
50,B4,10.019,247/500,78,120
51,F#4,10.144,121/1000,94,120
52,F#4,10.394,121/1000,95,120
53,C5,10.519,247/500,76,120
54,F#4,10.644,121/1000,93,120
55,B-5,10.685,151/500,75,120
56,B-4,10.685,151/500,75,120
57,C#5,10.69,151/500,112,120
58,F#4,10.894,121/1000,95,120
59,G#2,11.017,79/1000,79,120
60,B-5,11.019,631/1000,82,120
61,F4,11.019,631/1000,82,120
62,C#5,11.019,123/250,69,120
63,C#5,11.019,123/250,69,120
64,F#4,11.144,121/1000,94,120
65,F#4,11.394,121/1000,92,120
66,D5,11.519,481/1000,87,120
67,G#5,11.685,63/200,84,120
68,E4,11.685,63/200,84,120
69,B4,11.688,0.312,73,120
