,note_name,start_time,duration,velocity,tempo
0,C2,0.0,323/1000,115,120.0
1,B-2,0.0,0.25,115,120.0
2,B-2,1.0,0.25,115,120.0
3,B-2,1.75,0.25,67,120.0
4,B-2,2.0,0.25,115,120.0
5,C2,2.75,0.25,60,120.0
6,C2,3.0,0.25,115,120.0
7,B-2,3.0,0.25,115,120.0
8,B-2,4.0,0.25,115,120.0
9,B-2,4.75,0.25,67,120.0
10,B-2,5.0,0.25,115,120.0
11,C2,5.75,0.25,60,120.0
12,C2,6.0,0.25,115,120.0
13,B-2,6.0,0.25,115,120.0
14,B-2,7.0,0.25,115,120.0
15,B-2,7.75,0.25,67,120.0
16,B-2,8.0,0.25,115,120.0
17,C2,8.75,0.25,60,120.0
18,B2,8.75,11/125,77,120.0
19,E2,8.75,11/125,77,120.0
20,E3,8.75,11/125,77,120.0
21,E3,8.785,0.125,77,120.0
22,E2,8.785,0.125,77,120.0
23,B2,8.785,0.125,77,120.0
24,C2,9.0,0.25,115,120.0
25,B-2,9.0,0.25,115,120.0
26,E2,9.0,0.125,77,120.0
27,E3,9.0,0.125,77,120.0
28,B2,9.0,0.125,77,120.0
29,E2,9.035,0.125,77,120.0
30,E3,9.035,0.125,77,120.0
31,B2,9.035,0.125,77,120.0
32,B-2,10.0,0.25,115,120.0
33,B-2,10.75,0.25,67,120.0
34,B-2,11.0,0.25,115,120.0
35,C2,11.75,0.25,60,120.0
36,E2,12.0,3.0,115,120.0
37,C2,12.0,0.25,115,120.0
38,C#3,12.0,0.25,115,120.0
39,E2,12.0,4.0,115,120.0
40,E3,12.0,4.0,115,120.0
41,E2,12.035,793/200,115,120.0
42,E3,12.035,793/200,115,120.0
43,B-2,13.0,0.25,115,120.0
44,B-2,13.75,0.25,67,120.0
45,B-2,14.0,0.25,115,120.0
46,E2,15.0,1.0,115,120.0
47,B-2,15.0,0.25,115,120.0
48,E2,15.0,0.25,115,120.0
49,B-2,16.0,0.25,115,120.0
50,D2,16.0,1.0,115,120.0
51,E2,16.0,4.0,115,120.0
52,E3,16.0,4.0,115,120.0
53,B-2,17.0,0.25,115,120.0
54,D2,17.0,729/1000,115,120.0
55,B1,17.75,271/1000,115,120.0
56,D2,18.0,0.5,115,120.0
57,B-2,18.0,0.25,115,120.0
58,C2,18.0,0.25,115,120.0
59,E2,18.5,1.5,115,120.0
60,B-2,19.0,0.25,115,120.0
61,B-2,20.0,0.25,115,120.0
62,E2,20.0,203/200,115,120.0
63,E2,21.0,0.25,115,120.0
64,E1,21.0,1.0,115,120.0
65,E2,21.5,0.25,115,120.0
66,E2,22.0,0.25,115,120.0
67,E2,22.0,2.0,115,120.0
68,E2,22.0,4.0,115,120.0
69,E3,22.0,4.0,115,120.0
70,E2,22.035,407/200,115,120.0
71,E3,22.035,407/200,115,120.0
72,E2,22.5,0.25,115,120.0
73,E2,23.0,0.25,115,120.0
74,E2,23.25,0.25,115,120.0
75,E2,23.5,0.25,115,120.0
76,E2,24.0,61/125,115,120.0
77,C#3,24.0,0.25,115,120.0
78,C2,24.0,0.25,115,120.0
79,E2,24.071,393/200,115,120.0
80,E3,24.071,393/200,115,120.0
81,D2,24.5,2.5,115,120.0
82,B-2,25.0,0.25,115,120.0
83,B-2,25.75,0.25,67,120.0
84,B-2,26.0,0.25,115,120.0
85,E2,26.071,7/200,115,120.0
86,E3,26.071,7/200,115,120.0
87,E3,26.106,0.5,115,120.0
88,D3,26.606,693/200,115,120.0
89,D2,27.0,1.0,115,120.0
90,B-2,27.0,0.25,115,120.0
91,E2,27.0,0.25,115,120.0
92,B-2,28.0,0.25,115,120.0
93,D2,28.0,729/1000,115,120.0
94,E2,28.0,2.0,115,120.0
95,E3,28.0,2.0,115,120.0
96,E1,28.729,0.25,115,120.0
97,D2,28.979,379/500,115,120.0
98,B-2,29.0,0.25,115,120.0
99,E1,29.729,0.25,115,120.0
100,C2,29.75,0.25,115,120.0
101,G3,29.75,0.25,115,120.0
102,D2,29.979,2021/1000,115,120.0
103,C2,30.0,0.25,115,120.0
104,C#3,30.0,0.25,115,120.0
105,E2,30.0,2.0,115,120.0
106,E3,30.0,2.0,115,120.0
107,D3,30.071,4.0,115,120.0
108,B-2,31.0,0.25,115,120.0
109,B-2,32.0,0.25,115,120.0
110,E3,32.0,0.5,115,120.0
111,D2,32.0,503/500,115,120.0
112,D3,32.5,3.5,115,120.0
113,E1,33.0,1.0,115,120.0
114,E2,33.0,0.25,115,120.0
115,B-2,33.0,0.25,115,120.0
116,C2,33.5,0.25,115,120.0
117,C2,33.75,0.25,115,120.0
118,G#1,34.0,1.0,115,120.0
119,E2,34.0,0.25,115,120.0
120,C#3,34.0,0.25,115,120.0
121,D3,34.071,41/20,115,120.0
122,B2,34.5,0.25,115,120.0
123,B2,34.75,0.25,115,120.0
124,A2,35.0,0.25,115,120.0
125,A1,35.0,1.0,115,120.0
126,A2,35.25,0.25,115,120.0
127,F2,35.5,0.25,115,120.0
128,D3,36.0,4.0,115,120.0
129,E2,36.0,3.0,115,120.0
130,C2,36.0,0.25,115,120.0
131,C#3,36.0,0.25,115,120.0
132,E2,36.106,1.0,115,120.0
133,G#3,36.106,1.0,115,120.0
134,B-2,37.0,0.25,115,120.0
135,E2,37.106,193/200,115,120.0
136,G#3,37.106,97/200,115,120.0
137,A3,37.315,189/250,115,120.0
138,B-2,37.75,0.25,67,120.0
139,B-2,38.0,0.25,115,120.0
140,E2,38.071,7/200,115,120.0
141,A3,38.071,7/125,115,120.0
142,E2,38.106,793/200,115,120.0
143,G#3,38.106,793/200,115,120.0
144,E2,39.0,1.0,115,120.0
145,B-2,39.0,0.25,115,120.0
146,E2,39.0,0.25,115,120.0
147,B-2,40.0,0.25,115,120.0
148,D3,40.0,403/200,115,120.0
149,D2,40.0,729/1000,115,120.0
150,B1,40.75,0.25,115,120.0
151,B-2,41.0,0.25,115,120.0
152,G2,41.0,1.0,115,120.0
153,E2,42.0,2.0,115,120.0
154,B-2,42.0,0.25,115,120.0
155,C2,42.0,0.25,115,120.0
156,E2,42.0,1.0,115,120.0
157,G#3,42.0,1.0,115,120.0
158,E2,42.071,4.0,115,120.0
159,G#3,42.071,4.0,115,120.0
160,B-2,43.0,0.25,115,120.0
161,E2,43.0,1.0,115,120.0
162,G#3,43.0,97/200,115,120.0
163,A3,43.208,99/125,115,120.0
164,B-2,44.0,0.25,115,120.0
165,A3,44.0,21/1000,115,120.0
166,E2,44.0,1.0,115,120.0
167,E2,44.0,4.0,115,120.0
