,note_name,start_time,duration,velocity,tempo
0,B2,0.104,487/125,127,127.97
1,B2,0.115,777/200,127,127.97
2,D3,0.271,3729/1000,127,127.97
3,D3,0.281,3.719,127,127.97
4,G3,0.438,2.938,127,127.97
5,G3,0.448,444/125,127,127.97
6,G4,2.344,0.75,127,127.97
7,D4,2.906,823/1000,127,127.97
8,G3,3.385,123/200,127,127.97
9,D4,3.875,0.125,127,127.97
10,B2,4.0,99/125,127,127.97
11,D3,4.0,1/100,127,127.97
12,G3,4.0,0.125,127,127.97
13,D4,4.0,0.75,127,127.97
14,B2,4.0,0.781,127,127.97
15,G3,4.0,0.625,127,127.97
16,D3,4.219,3729/1000,127,127.97
17,D3,4.229,3729/1000,127,127.97
18,F#3,4.406,3.594,127,127.97
19,F#3,4.417,3583/1000,127,127.97
20,A3,4.812,1.125,127,127.97
21,D4,5.354,37/50,127,127.97
22,F#4,5.854,823/1000,127,127.97
23,E4,6.365,0.75,127,127.97
24,D4,6.854,177/250,127,127.97
25,A3,7.375,123/200,127,127.97
26,D4,7.854,73/500,127,127.97
27,F#3,8.0,0.219,127,127.97
28,D4,8.0,677/1000,127,127.97
29,F#3,8.0,0.188,127,127.97
30,D3,8.365,1.656,127,127.97
31,D3,8.375,323/200,127,127.97
32,E4,8.396,473/200,127,127.97
33,G3,8.406,276/125,127,127.97
34,E3,8.896,2.469,127,127.97
35,E3,8.906,3.094,127,127.97
36,C3,9.385,523/200,127,127.97
37,C3,9.396,651/250,127,127.97
38,G4,10.354,823/500,127,127.97
39,C4,10.385,37/50,127,127.97
40,E3,11.375,0.625,127,127.97
41,E4,11.854,73/500,127,127.97
42,E3,12.0,0.156,127,127.97
43,E4,12.0,101/100,127,127.97
44,C3,12.0,1349/500,127,127.97
45,E3,12.0,651/250,127,127.97
46,C3,12.0,2.688,127,127.97
47,G4,12.0,4.0,127,127.97
48,G3,12.396,479/500,127,127.97
49,E3,12.875,1.031,127,127.97
50,C4,13.396,583/1000,127,127.97
51,G3,13.875,1.406,127,127.97
52,D3,14.354,833/1000,127,127.97
53,D3,14.365,0.812,127,127.97
54,E3,14.385,229/1000,127,127.97
55,C3,14.844,0.5,127,127.97
56,E3,14.885,19/25,127,127.97
57,E3,14.896,37/50,127,127.97
58,C3,15.354,323/500,127,127.97
59,C3,15.365,127/200,127,127.97
