,note_name,start_time,duration,velocity,tempo
0,A2,4.0,499/125,86,168.0
1,A3,4.5,374/125,90,168.0
2,C#4,5.0,249/125,82,168.0
3,E-4,5.5,124/125,82,168.0
4,E4,6.0,73/40,86,168.0
5,E-4,6.5,373/250,89,168.0
6,C#4,7.0,124/125,97,168.0
7,A3,7.5,123/250,106,168.0
8,A2,8.0,499/125,86,168.0
9,G3,8.5,374/125,90,168.0
10,C#4,9.0,249/125,82,168.0
11,E-4,9.5,124/125,82,168.0
12,E4,10.0,73/40,86,168.0
13,E-4,10.5,373/250,89,168.0
14,C#4,11.0,124/125,97,168.0
15,G3,11.5,123/250,86,168.0
16,A2,12.0,499/125,86,168.0
17,F#3,12.5,374/125,90,168.0
18,C4,13.0,249/125,82,168.0
19,E-4,13.5,124/125,82,168.0
20,A4,14.0,73/40,96,168.0
21,E-4,14.5,373/250,89,168.0
22,C4,15.0,124/125,97,168.0
23,F#3,15.5,123/250,96,168.0
24,A2,16.0,499/125,86,168.0
25,F3,16.5,374/125,90,168.0
26,B3,17.0,249/125,82,168.0
27,D4,17.5,124/125,82,168.0
28,A4,18.0,73/40,106,168.0
29,D4,18.5,373/250,89,168.0
30,B3,19.0,124/125,97,168.0
31,F3,19.5,123/250,86,168.0
32,A2,20.0,499/125,76,168.0
33,E3,20.5,374/125,80,168.0
34,B3,21.0,249/125,82,168.0
35,C#4,21.5,124/125,82,168.0
36,E4,22.0,73/40,86,168.0
37,C#4,22.5,373/250,89,168.0
38,B3,23.0,124/125,97,168.0
39,E3,23.5,123/250,96,168.0
40,A2,24.0,499/125,86,168.0
41,E3,24.5,374/125,90,168.0
42,B3,25.0,249/125,82,168.0
43,C4,25.5,124/125,102,168.0
44,E4,26.0,73/40,86,168.0
45,C4,26.5,373/250,89,168.0
46,B3,27.0,124/125,97,168.0
47,E3,27.5,123/250,106,168.0
48,G2,28.0,499/125,96,168.0
49,B3,28.5,249/125,90,168.0
50,C4,29.0,249/125,82,168.0
51,B3,29.5,249/125,82,168.0
52,E4,30.0,73/40,96,168.0
53,C4,30.5,373/250,89,168.0
54,B3,31.0,124/125,97,168.0
55,E3,31.5,123/250,96,168.0
56,F2,32.0,499/125,106,168.0
57,F3,32.5,374/125,90,168.0
58,D4,33.0,249/125,82,168.0
59,A3,33.5,124/125,82,168.0
60,E4,34.0,73/40,86,168.0
61,D4,34.5,373/250,89,168.0
62,A3,35.0,124/125,97,168.0
63,F3,35.5,123/250,106,168.0
64,E2,36.0,499/125,106,168.0
65,B2,36.5,124/125,90,168.0
66,F#3,37.0,124/125,82,168.0
67,B2,37.5,124/125,82,168.0
68,F#3,38.0,124/125,86,168.0
69,G#3,38.5,124/125,89,168.0
70,F#3,39.0,124/125,97,168.0
