,note_name,start_time,duration,velocity,tempo
0,G2,0.0,0.5,95,155.0
1,F#2,0.5,0.5,86,155.0
2,F#2,1.0,0.5,95,155.0
3,C#2,1.5,0.5,95,155.0
4,C#2,2.0,0.5,95,155.0
5,C2,2.5,0.5,86,155.0
6,G2,3.0,0.5,95,155.0
7,C3,3.5,0.5,86,155.0
8,C3,4.0,0.5,95,155.0
9,B1,4.5,0.5,95,155.0
10,B1,5.0,0.5,95,155.0
11,G2,5.5,0.5,95,155.0
12,C#2,6.0,0.5,95,155.0
13,C2,6.5,0.5,95,155.0
14,C2,7.0,0.5,95,155.0
15,F2,7.5,0.5,86,155.0
16,F2,8.0,0.5,95,155.0
17,B1,8.5,0.5,95,155.0
18,B1,9.0,0.5,95,155.0
19,G2,9.5,0.5,95,155.0
20,G2,10.0,0.5,95,155.0
21,B1,10.5,0.5,95,155.0
22,G2,11.0,0.5,95,155.0
23,C3,11.5,0.5,86,155.0
24,C3,12.0,0.5,95,155.0
25,B1,12.5,0.5,95,155.0
26,B1,13.0,0.5,95,155.0
27,G2,13.5,0.5,95,155.0
28,C#2,14.0,0.5,95,155.0
29,C#2,14.0,0.5,95,155.0
30,C2,14.5,0.5,95,155.0
31,C2,14.5,0.5,95,155.0
32,C2,15.0,0.5,95,155.0
33,C2,15.0,0.5,95,155.0
34,F2,15.5,0.5,86,155.0
35,F2,15.5,0.5,86,155.0
36,F2,16.0,0.5,95,155.0
37,F2,16.0,0.5,95,155.0
38,B1,16.5,0.5,95,155.0
39,B1,16.5,0.5,95,155.0
40,B1,17.0,0.5,95,155.0
41,B1,17.0,0.5,95,155.0
42,G2,17.5,0.5,95,155.0
43,G2,17.5,0.5,95,155.0
44,G2,18.0,0.5,95,155.0
45,G2,18.0,0.5,95,155.0
46,B1,18.5,0.5,95,155.0
47,B1,18.5,0.5,95,155.0
48,G2,19.0,0.5,95,155.0
49,G2,19.0,0.5,95,155.0
50,C3,19.5,0.5,86,155.0
51,C3,19.5,0.5,86,155.0
52,C3,20.0,0.5,95,155.0
53,C3,20.0,0.5,95,155.0
54,B1,20.5,0.5,95,155.0
55,B1,20.5,0.5,95,155.0
56,B1,21.0,0.5,95,155.0
57,B1,21.0,0.5,95,155.0
58,G2,21.5,0.5,95,155.0
59,G2,21.5,0.5,95,155.0
60,C#2,22.0,0.5,95,155.0
61,C#2,22.0,0.5,95,155.0
62,C2,22.5,0.5,95,155.0
63,C2,22.5,0.5,95,155.0
64,C2,23.0,0.5,95,155.0
65,C2,23.0,0.5,95,155.0
66,F2,23.5,0.5,86,155.0
67,F2,23.5,0.5,86,155.0
68,F2,24.0,0.5,95,155.0
69,F2,24.0,0.5,95,155.0
70,B1,24.5,0.5,95,155.0
71,B1,24.5,0.5,95,155.0
72,B1,25.0,0.5,95,155.0
73,B1,25.0,0.5,95,155.0
74,G2,25.5,0.5,95,155.0
75,G2,25.5,0.5,95,155.0
76,G2,26.0,0.5,95,155.0
77,G2,26.0,0.5,95,155.0
78,B1,26.5,0.5,95,155.0
79,B1,26.5,0.5,95,155.0
80,G2,27.0,0.5,95,155.0
81,G2,27.0,0.5,95,155.0
82,C3,27.5,0.5,86,155.0
83,C3,27.5,0.5,86,155.0
84,C3,28.0,0.5,95,155.0
85,C3,28.0,0.5,95,155.0
86,B1,28.5,0.5,95,155.0
87,B1,28.5,0.5,95,155.0
88,B1,29.0,0.5,95,155.0
89,B1,29.0,0.5,95,155.0
90,G2,29.5,0.5,95,155.0
91,G2,29.5,0.5,95,155.0
92,C#2,30.0,0.5,95,155.0
93,C#2,30.0,0.5,95,155.0
94,C2,30.5,0.5,95,155.0
95,C2,30.5,0.5,95,155.0
96,C2,31.0,0.5,95,155.0
