,note_name,start_time,duration,velocity,tempo
0,D3,0.0,0.5,95,130.0
1,D3,0.0,0.5,95,130.0
2,A3,0.5,0.5,95,130.0
3,A3,0.5,0.5,95,130.0
4,D4,1.0,0.5,95,130.0
5,D4,1.0,0.5,95,130.0
6,E4,1.5,167/1000,95,130.0
7,E4,1.5,167/1000,95,130.0
8,F4,1.667,167/1000,76,130.0
9,F4,1.667,167/1000,76,130.0
10,E4,1.833,167/1000,76,130.0
11,E4,1.833,167/1000,76,130.0
12,D4,2.0,0.5,95,130.0
13,F4,2.0,167/1000,76,130.0
14,E4,2.167,167/1000,76,130.0
15,F4,2.333,167/1000,76,130.0
16,A3,2.5,0.5,95,130.0
17,D4,2.5,0.5,95,130.0
18,G2,3.0,0.5,95,130.0
19,G2,3.0,0.5,95,130.0
20,D3,3.5,0.5,95,130.0
21,D3,3.5,0.5,95,130.0
22,A3,4.0,1.0,95,130.0
23,A3,4.0,1.0,95,130.0
24,G2,4.5,0.5,95,130.0
25,G2,4.5,0.5,95,130.0
26,D3,5.0,0.5,95,130.0
27,D3,5.0,0.5,95,130.0
28,A3,5.5,1.0,95,130.0
29,A3,5.5,1.0,95,130.0
30,D3,6.0,0.5,95,130.0
31,D3,6.0,0.5,95,130.0
32,A3,6.5,0.5,95,130.0
33,A3,6.5,0.5,95,130.0
34,D4,7.0,0.5,95,130.0
35,D4,7.0,0.5,95,130.0
36,E4,7.5,167/1000,76,130.0
37,E4,7.5,167/1000,95,130.0
38,F4,7.667,167/1000,76,130.0
39,F4,7.667,167/1000,76,130.0
40,E4,7.833,167/1000,76,130.0
41,E4,7.833,167/1000,76,130.0
42,D4,8.0,0.5,95,130.0
43,F4,8.0,167/1000,76,130.0
44,E4,8.167,167/1000,76,130.0
45,F4,8.333,167/1000,76,130.0
46,A3,8.5,0.5,95,130.0
47,D4,8.5,0.5,76,130.0
48,G2,9.0,0.5,95,130.0
49,G2,9.0,0.5,95,130.0
50,D3,9.5,0.5,95,130.0
51,D3,9.5,0.5,95,130.0
52,A3,10.0,1.0,95,130.0
53,A3,10.0,1.0,95,130.0
54,G2,10.5,0.5,95,130.0
55,G2,10.5,0.5,95,130.0
56,D3,11.0,0.5,95,130.0
57,D3,11.0,0.5,95,130.0
58,A3,11.5,0.5,95,130.0
59,A3,11.5,0.5,95,130.0
60,D3,12.0,0.5,95,130.0
61,A3,12.0,0.5,95,130.0
62,D3,12.0,0.5,95,130.0
63,A3,12.5,0.5,95,130.0
64,A3,12.5,0.5,95,130.0
65,D4,13.0,0.5,95,130.0
66,D4,13.0,0.5,95,130.0
67,E4,13.5,167/1000,76,130.0
68,E4,13.5,167/1000,95,130.0
69,F4,13.667,167/1000,76,130.0
70,F4,13.667,167/1000,76,130.0
71,E4,13.833,167/1000,76,130.0
72,E4,13.833,167/1000,76,130.0
73,D4,14.0,0.5,95,130.0
74,F4,14.0,167/1000,76,130.0
75,E4,14.167,167/1000,76,130.0
76,F4,14.333,167/1000,76,130.0
77,A3,14.5,0.5,95,130.0
78,D4,14.5,0.5,95,130.0
79,C3,15.0,0.5,95,130.0
80,C3,15.0,0.5,95,130.0
