,note_name,start_time,duration,velocity,tempo
0,C3,0.0,1.0,95,122.0
1,C4,0.0,4.0,95,122.0
2,G4,0.0,4.0,95,122.0
3,E-4,0.0,4.0,95,122.0
4,C3,1.0,1.0,95,122.0
5,C3,2.0,0.5,95,122.0
6,C3,2.5,0.5,95,122.0
7,C3,3.0,0.5,95,122.0
8,E-3,3.5,0.5,95,122.0
9,G3,4.0,1.0,95,122.0
10,G3,5.0,0.5,95,122.0
11,G3,5.5,1.5,95,122.0
12,G3,7.5,0.5,95,122.0
13,F3,8.0,1.0,95,122.0
14,C4,8.0,4.0,95,122.0
15,G4,8.0,4.0,95,122.0
16,E-4,8.0,4.0,95,122.0
17,F3,9.0,0.5,95,122.0
18,F3,9.5,1.0,95,122.0
19,G3,11.5,0.5,95,122.0
20,D3,12.0,1.0,95,122.0
21,C4,12.0,4.0,95,122.0
22,G4,12.0,4.0,95,122.0
23,D4,12.0,4.0,95,122.0
24,D3,13.0,0.5,95,122.0
25,D3,13.5,1.0,95,122.0
26,C3,16.0,1.0,95,122.0
27,C4,16.0,4.0,95,122.0
28,D4,16.0,4.0,95,122.0
29,F4,16.0,4.0,95,122.0
30,C3,17.0,1.0,95,122.0
31,C3,18.0,0.5,95,122.0
32,C3,18.5,0.5,95,122.0
33,C3,19.0,0.5,95,122.0
34,E-3,19.5,0.5,95,122.0
35,G3,20.0,1.0,95,122.0
36,C4,20.0,4.0,95,122.0
37,G4,20.0,4.0,95,122.0
38,E-4,20.0,4.0,95,122.0
39,G3,21.0,0.5,95,122.0
40,G3,21.5,1.5,95,122.0
41,B-3,23.5,0.5,95,122.0
42,B-3,24.0,1.0,95,122.0
43,C4,24.0,4.0,95,122.0
44,G4,24.0,4.0,95,122.0
45,D4,24.0,4.0,95,122.0
46,B-2,24.0,0.5,95,122.0
47,F2,24.0,0.5,95,122.0
48,C2,24.0,0.5,95,122.0
49,F2,24.5,0.5,95,122.0
50,C2,24.5,0.5,95,122.0
51,D3,25.0,0.5,95,122.0
52,B-2,25.0,0.5,90,122.0
53,F2,25.0,0.5,90,122.0
54,C2,25.0,0.5,90,122.0
55,D3,25.5,1.0,95,122.0
56,B-2,25.5,0.5,90,122.0
57,F2,25.5,0.5,90,122.0
58,C2,25.5,0.5,90,122.0
59,B-2,26.0,0.5,90,122.0
60,F2,26.0,0.5,90,122.0
61,C2,26.0,0.5,90,122.0
62,B-2,26.5,0.5,90,122.0
63,F2,26.5,0.5,90,122.0
64,C2,26.5,0.5,90,122.0
65,B-2,27.0,0.5,90,122.0
66,F2,27.0,0.5,90,122.0
67,C2,27.0,0.5,90,122.0
68,B-3,27.5,0.5,95,122.0
69,B-2,27.5,0.5,90,122.0
70,F2,27.5,0.5,90,122.0
71,C2,27.5,0.5,90,122.0
72,B-3,28.0,1.0,95,122.0
73,C4,28.0,4.0,95,122.0
74,D4,28.0,4.0,95,122.0
75,F4,28.0,4.0,95,122.0
76,B-2,28.0,0.5,95,122.0
77,F2,28.0,0.5,95,122.0
78,C2,28.0,0.5,95,122.0
79,B-2,28.5,0.5,95,122.0
80,F2,28.5,0.5,95,122.0
81,C2,28.5,0.5,95,122.0
82,D3,29.0,0.5,95,122.0
83,B-2,29.0,0.5,95,122.0
84,F2,29.0,0.5,95,122.0
85,C2,29.0,0.5,95,122.0
86,D3,29.5,1.0,95,122.0
87,B-2,29.5,0.5,95,122.0
88,F2,29.5,0.5,95,122.0
89,C2,29.5,0.5,95,122.0
90,B-2,30.0,0.5,95,122.0
91,F2,30.0,0.5,95,122.0
92,C2,30.0,0.5,95,122.0
93,B-2,30.5,0.5,95,122.0
94,F2,30.5,0.5,95,122.0
95,C2,30.5,0.5,95,122.0
96,A3,31.0,1.0,95,122.0
97,D2,31.0,1.0,95,122.0
98,C1,32.0,0.5,95,122.0
99,C3,32.0,1.0,95,122.0
100,C4,32.0,4.0,95,122.0
101,G2,32.0,0.5,95,122.0
102,C2,32.0,0.5,95,122.0
103,G2,32.0,0.5,95,122.0
104,C2,32.0,0.5,95,122.0
105,D4,32.0,4.0,95,122.0
106,F4,32.0,4.0,95,122.0
107,B-2,32.0,0.5,95,122.0
108,C2,32.0,0.5,95,122.0
109,C1,32.5,0.5,95,122.0
110,B-2,32.5,0.5,95,122.0
111,G2,32.5,0.5,95,122.0
112,C2,32.5,0.5,95,122.0
113,G2,32.5,0.5,95,122.0
114,C2,32.5,0.5,95,122.0
115,C1,33.0,0.5,95,122.0
116,C3,33.0,1.0,95,122.0
117,G2,33.0,0.5,95,122.0
118,C2,33.0,0.5,95,122.0
119,G2,33.0,0.5,95,122.0
120,C2,33.0,0.5,95,122.0
121,B-2,33.0,0.5,95,122.0
122,D2,33.0,0.5,95,122.0
123,C1,33.5,0.5,95,122.0
124,B-2,33.5,0.5,95,122.0
125,G2,33.5,0.5,95,122.0
126,C2,33.5,0.5,95,122.0
127,G2,33.5,0.5,95,122.0
128,C2,33.5,0.5,95,122.0
129,C1,34.0,0.5,95,122.0
130,C3,34.0,0.5,95,122.0
131,G2,34.0,0.5,95,122.0
132,C2,34.0,0.5,95,122.0
133,G2,34.0,0.5,95,122.0
134,C2,34.0,0.5,95,122.0
135,B-2,34.0,0.5,95,122.0
136,C2,34.0,0.5,95,122.0
137,C1,34.5,0.5,95,122.0
138,C3,34.5,0.5,95,122.0
139,B-2,34.5,0.5,95,122.0
140,G2,34.5,0.5,95,122.0
141,C2,34.5,0.5,95,122.0
142,G2,34.5,0.5,95,122.0
143,C2,34.5,0.5,95,122.0
144,C1,35.0,0.5,95,122.0
145,C3,35.0,0.5,95,122.0
146,G2,35.0,0.5,95,122.0
147,C2,35.0,0.5,95,122.0
148,G2,35.0,0.5,95,122.0
149,C2,35.0,0.5,95,122.0
150,B-2,35.0,0.5,95,122.0
151,D2,35.0,0.5,95,122.0
152,C1,35.5,0.5,95,122.0
153,E-3,35.5,0.5,95,122.0
154,B-2,35.5,0.5,95,122.0
155,G2,35.5,0.5,95,122.0
156,C2,35.5,0.5,95,122.0
157,G2,35.5,0.5,95,122.0
158,C2,35.5,0.5,95,122.0
159,C1,36.0,0.5,95,122.0
160,G3,36.0,1.0,95,122.0
161,G2,36.0,0.5,95,122.0
162,C2,36.0,0.5,95,122.0
163,G2,36.0,0.5,95,122.0
164,C2,36.0,0.5,95,122.0
165,B-2,36.0,0.5,95,122.0
166,C2,36.0,0.5,95,122.0
167,C1,36.5,0.5,95,122.0
168,B-2,36.5,0.5,95,122.0
169,G2,36.5,0.5,95,122.0
170,C2,36.5,0.5,95,122.0
171,G2,36.5,0.5,95,122.0
172,C2,36.5,0.5,95,122.0
173,C1,37.0,0.5,95,122.0
174,G3,37.0,0.5,95,122.0
175,G2,37.0,0.5,95,122.0
176,C2,37.0,0.5,95,122.0
177,G2,37.0,0.5,95,122.0
178,C2,37.0,0.5,95,122.0
179,B-2,37.0,0.5,95,122.0
180,D2,37.0,0.5,95,122.0
181,C1,37.5,0.5,95,122.0
182,G3,37.5,1.5,95,122.0
183,B-2,37.5,0.5,95,122.0
184,G2,37.5,0.5,95,122.0
185,C2,37.5,0.5,95,122.0
186,G2,37.5,0.5,95,122.0
187,C2,37.5,0.5,95,122.0
188,C1,38.0,0.5,95,122.0
189,G2,38.0,0.5,95,122.0
190,C2,38.0,0.5,95,122.0
191,G2,38.0,0.5,95,122.0
192,C2,38.0,0.5,95,122.0
193,B-2,38.0,0.5,95,122.0
194,C2,38.0,0.5,95,122.0
