,note_name,start_time,duration,velocity,tempo
0,D3,4.0,4.0,100,83.0
1,D4,6.925,1.0,100,83.0
2,D2,8.0,0.25,100,83.0
3,D2,8.25,0.25,100,83.0
4,G#2,8.5,0.25,100,83.0
5,D2,8.75,0.25,100,83.0
6,D2,9.0,0.25,100,83.0
7,D2,9.25,0.25,100,83.0
8,G2,9.5,0.25,100,83.0
9,D2,9.75,0.25,100,83.0
10,D2,10.0,0.25,100,83.0
11,D2,10.25,0.25,100,83.0
12,G#2,10.5,0.25,100,83.0
13,D2,10.75,0.25,100,83.0
14,D2,11.0,0.25,100,83.0
15,D2,11.25,0.25,100,83.0
16,G2,11.5,0.25,100,83.0
17,D2,11.75,0.25,100,83.0
18,D2,12.0,0.25,100,83.0
19,D2,12.25,0.25,100,83.0
20,G#2,12.5,0.25,100,83.0
21,D2,12.75,0.25,100,83.0
22,D2,13.0,0.25,100,83.0
23,D2,13.25,0.25,100,83.0
24,G2,13.5,0.25,100,83.0
25,D2,13.75,0.25,100,83.0
26,D2,14.0,0.25,100,83.0
27,D2,14.25,0.25,100,83.0
28,G#2,14.5,0.25,100,83.0
29,D2,14.75,0.25,100,83.0
30,D2,15.0,0.25,100,83.0
31,D2,15.25,0.25,100,83.0
32,G2,15.5,0.25,100,83.0
33,D2,15.75,0.25,100,83.0
34,D2,16.0,0.25,100,83.0
35,D3,16.0,2.0,100,83.0
36,D3,16.0,2.0,100,83.0
37,D2,16.25,0.25,100,83.0
38,G#2,16.5,0.25,100,83.0
39,D2,16.75,0.25,100,83.0
40,D2,17.0,0.25,100,83.0
41,D2,17.25,0.25,100,83.0
42,G2,17.5,0.25,100,83.0
43,D2,17.75,0.25,100,83.0
44,D2,18.0,0.25,100,83.0
45,D2,18.25,0.25,100,83.0
46,G#2,18.5,0.25,100,83.0
47,D2,18.75,0.25,100,83.0
48,D2,19.0,0.25,100,83.0
49,D2,19.25,0.25,100,83.0
50,G2,19.5,0.25,100,83.0
51,D2,19.75,0.25,100,83.0
52,D2,20.0,0.25,100,83.0
53,D2,20.25,0.25,100,83.0
54,G#2,20.5,0.25,100,83.0
55,D2,20.75,0.25,100,83.0
56,D2,21.0,0.25,100,83.0
57,D2,21.25,0.25,100,83.0
58,G2,21.5,0.25,100,83.0
59,D2,21.75,0.25,100,83.0
60,D2,22.0,0.25,100,83.0
61,D2,22.25,0.25,100,83.0
62,G#2,22.5,0.25,100,83.0
63,D2,22.75,0.25,100,83.0
64,D2,23.0,0.25,100,83.0
65,D2,23.25,0.25,100,83.0
66,G2,23.5,0.25,100,83.0
67,D2,23.75,0.25,100,83.0
68,D2,24.0,0.25,100,83.0
69,D3,24.0,2.0,100,83.0
70,D3,24.0,2.0,100,83.0
71,D2,24.25,0.25,100,83.0
72,G#2,24.5,0.25,100,83.0
73,D2,24.75,0.25,100,83.0
74,D2,25.0,0.25,100,83.0
75,D2,25.25,0.25,100,83.0
76,G2,25.5,0.25,100,83.0
77,D2,25.75,0.25,100,83.0
78,D2,26.0,0.25,100,83.0
79,D2,26.25,0.25,100,83.0
80,G#2,26.5,0.25,100,83.0
81,D2,26.75,0.25,100,83.0
82,E-5,26.85,23/20,100,83.0
83,E-4,26.925,43/40,100,83.0
84,D2,27.0,0.25,100,83.0
85,D2,27.25,0.25,100,83.0
86,G2,27.5,0.25,100,83.0
87,D2,27.75,0.25,100,83.0
88,E-5,28.0,7/20,100,83.0
89,E-4,28.0,17/40,100,83.0
90,D2,28.0,0.25,100,83.0
91,A2,28.0,0.25,100,83.0
92,D2,28.0,0.25,100,83.0
93,A2,28.0,0.25,100,83.0
94,D2,28.0,0.25,100,83.0
95,A2,28.0,0.25,100,83.0
96,D2,28.0,0.25,100,83.0
97,C#3,28.0,0.5,100,83.0
98,D2,28.0,0.5,100,83.0
99,B-2,28.0,0.5,100,83.0
100,C2,28.0,0.5,100,83.0
101,D2,28.25,0.25,100,83.0
102,A2,28.25,0.25,100,83.0
103,D2,28.25,0.25,100,83.0
104,A2,28.25,0.25,100,83.0
105,D2,28.25,0.25,100,83.0
106,A2,28.25,0.25,100,83.0
107,D2,28.25,0.25,100,83.0
108,B-2,28.5,0.5,100,83.0
109,G#2,28.5,0.25,100,83.0
110,E-3,28.5,0.25,100,83.0
111,G#2,28.5,0.25,100,83.0
112,E-3,28.5,0.25,100,83.0
113,G#2,28.5,0.25,100,83.0
114,E-3,28.5,0.25,100,83.0
115,G#2,28.5,0.25,100,83.0
116,C2,28.75,0.25,100,83.0
117,D2,28.75,0.25,100,83.0
118,A2,28.75,0.25,100,83.0
119,D2,28.75,0.25,100,83.0
120,A2,28.75,0.25,100,83.0
121,D2,28.75,0.25,100,83.0
122,A2,28.75,0.25,100,83.0
123,D2,28.75,0.25,100,83.0
124,E2,29.0,0.5,100,83.0
125,B-2,29.0,0.375,100,83.0
126,D2,29.0,0.25,100,83.0
127,D2,29.0,0.25,100,83.0
128,E-3,29.0,0.25,100,83.0
129,G#2,29.0,0.25,100,83.0
130,E-3,29.0,0.25,100,83.0
131,G#2,29.0,0.25,100,83.0
132,E-3,29.0,0.25,100,83.0
133,G#2,29.0,0.25,100,83.0
134,C2,29.25,0.25,100,83.0
135,D2,29.25,0.25,100,83.0
136,D3,29.25,0.25,100,83.0
137,G2,29.25,0.25,100,83.0
138,D3,29.25,0.25,100,83.0
139,G2,29.25,0.25,100,83.0
140,D3,29.25,0.25,100,83.0
141,G2,29.25,0.25,100,83.0
142,B-2,29.5,0.5,100,83.0
143,G2,29.5,0.25,100,83.0
144,A2,29.5,0.5,100,83.0
145,D2,29.5,0.5,100,83.0
146,A2,29.5,0.5,100,83.0
147,D2,29.5,0.5,100,83.0
148,A2,29.5,0.5,100,83.0
149,D2,29.5,0.5,100,83.0
150,D2,29.75,0.25,100,83.0
151,D2,30.0,0.25,100,83.0
152,A2,30.0,0.25,100,83.0
153,D2,30.0,0.25,100,83.0
154,A2,30.0,0.25,100,83.0
155,D2,30.0,0.25,100,83.0
156,A2,30.0,0.25,100,83.0
157,D2,30.0,0.25,100,83.0
158,D2,30.0,0.5,100,83.0
159,B-2,30.0,0.5,100,83.0
160,C2,30.0,0.5,100,83.0
161,D2,30.25,0.25,100,83.0
162,A2,30.25,0.25,100,83.0
163,D2,30.25,0.25,100,83.0
164,A2,30.25,0.25,100,83.0
165,D2,30.25,0.25,100,83.0
166,A2,30.25,0.25,100,83.0
167,D2,30.25,0.25,100,83.0
168,B-2,30.5,0.5,100,83.0
169,G#2,30.5,0.25,100,83.0
170,E-3,30.5,0.25,100,83.0
171,G#2,30.5,0.25,100,83.0
172,E-3,30.5,0.25,100,83.0
173,G#2,30.5,0.25,100,83.0
174,E-3,30.5,0.25,100,83.0
175,G#2,30.5,0.25,100,83.0
176,C2,30.75,0.25,100,83.0
177,D2,30.75,0.25,100,83.0
178,A2,30.75,0.25,100,83.0
179,D2,30.75,0.25,100,83.0
180,A2,30.75,0.25,100,83.0
181,D2,30.75,0.25,100,83.0
182,A2,30.75,0.25,100,83.0
183,D2,30.75,0.25,100,83.0
184,E2,31.0,0.5,100,83.0
185,B-2,31.0,0.375,100,83.0
186,D2,31.0,0.25,100,83.0
187,D2,31.0,0.25,100,83.0
188,E-3,31.0,0.25,100,83.0
189,G#2,31.0,0.25,100,83.0
190,E-3,31.0,0.25,100,83.0
191,G#2,31.0,0.25,100,83.0
192,E-3,31.0,0.25,100,83.0
193,G#2,31.0,0.25,100,83.0
194,C2,31.25,0.25,100,83.0
195,D2,31.25,0.25,100,83.0
196,A2,31.25,0.75,100,83.0
197,D2,31.25,0.75,100,83.0
198,A2,31.25,0.75,100,83.0
199,D2,31.25,0.75,100,83.0
200,A2,31.25,0.75,100,83.0
201,D2,31.25,0.75,100,83.0
202,B-2,31.5,0.5,100,83.0
203,G2,31.5,0.25,100,83.0
204,D2,31.75,0.25,100,83.0
205,D2,32.0,0.25,100,83.0
206,A2,32.0,0.25,100,83.0
207,D2,32.0,0.25,100,83.0
208,A2,32.0,0.25,100,83.0
209,D2,32.0,0.25,100,83.0
