,note_name,start_time,duration,velocity,tempo
0,F#4,0.0,0.5,100,90.0
1,E-3,0.0,4.0,100,90.0
2,F#4,1.0,0.5,100,90.0
3,F#4,2.0,0.5,100,90.0
4,B-4,3.0,0.5,100,90.0
5,E-5,4.0,0.5,100,90.0
6,B2,4.0,4.0,100,90.0
7,E-5,5.0,0.5,100,90.0
8,E-5,6.0,0.5,100,90.0
9,C#5,7.0,0.5,100,90.0
10,B-4,8.0,0.5,100,90.0
11,F#3,8.0,4.0,100,90.0
12,B-4,9.0,0.5,100,90.0
13,B-4,10.0,0.5,100,90.0
14,B-4,11.0,0.5,100,90.0
15,F4,12.0,0.5,100,90.0
16,C#3,12.0,4.0,100,90.0
17,F4,13.0,0.5,100,90.0
18,F4,14.0,0.5,100,90.0
19,E-4,15.0,0.5,100,90.0
20,F#4,16.0,0.5,100,90.0
21,E-3,16.0,4.0,100,90.0
22,F#4,17.0,0.5,100,90.0
23,F#4,18.0,0.5,100,90.0
24,B-4,19.0,0.5,100,90.0
25,E-5,20.0,0.5,100,90.0
26,B2,20.0,4.0,100,90.0
27,E-5,21.0,0.5,100,90.0
28,E-5,22.0,0.5,100,90.0
29,C#5,23.0,0.5,100,90.0
30,B-4,24.0,0.5,100,90.0
31,F#3,24.0,4.0,100,90.0
32,B-4,25.0,0.5,100,90.0
33,B-4,26.0,0.5,100,90.0
34,B-4,27.0,0.5,100,90.0
35,F4,28.0,0.5,100,90.0
36,C#3,28.0,4.0,100,90.0
37,F4,29.0,0.5,100,90.0
38,F4,30.0,0.5,100,90.0
39,E-4,31.0,0.5,100,90.0
40,F#4,32.0,0.5,100,90.0
41,E-3,32.0,4.0,100,90.0
42,F#4,33.0,0.5,100,90.0
43,F#4,34.0,0.5,100,90.0
44,B-4,35.0,0.5,100,90.0
45,E-5,36.0,0.5,100,90.0
46,B2,36.0,4.0,100,90.0
47,E-5,37.0,0.5,100,90.0
48,E-5,38.0,0.5,100,90.0
49,C#5,39.0,0.5,100,90.0
50,B-4,40.0,0.5,100,90.0
51,F#3,40.0,4.0,100,90.0
52,B-4,41.0,0.5,100,90.0
53,B-4,42.0,0.5,100,90.0
54,B-4,43.0,0.5,100,90.0
55,F4,44.0,0.5,100,90.0
56,C#3,44.0,4.0,100,90.0
57,F4,45.0,0.5,100,90.0
58,F4,46.0,0.5,100,90.0
59,E-4,47.0,0.5,100,90.0
60,F#4,48.0,417/1000,100,90.0
61,E-3,48.0,4.0,100,90.0
62,F#4,48.5,417/1000,100,90.0
63,F#4,49.0,417/1000,100,90.0
64,F#4,49.5,417/1000,100,90.0
65,F#4,50.0,417/1000,100,90.0
66,F#4,50.5,417/1000,100,90.0
67,F#4,51.0,0.5,100,90.0
68,B-4,51.5,0.5,100,90.0
69,E-5,52.0,417/1000,100,90.0
