,note_name,start_time,duration,velocity,tempo
0,C6,0.01,0.493,54,70.0
1,D6,0.533,0.466,49,70.0
2,F4,0.863,2.147,42,70.0
3,G5,0.904,1.115,42,70.0
4,C5,0.946,2.064,42,70.0
5,E6,1.029,0.99,56,70.0
6,F5,1.029,1.981,56,70.0
7,G6,2.021,0.99,52,70.0
8,G5,3.012,0.988,48,70.0
9,D6,3.012,0.988,48,70.0
10,G4,3.012,0.988,48,70.0
11,D5,3.012,0.988,48,70.0
12,G5,4.0,1.028,48,70.0
13,D6,4.0,1.028,48,70.0
14,G4,4.0,1.028,48,70.0
15,D5,4.0,1.028,48,70.0
16,C6,5.029,0.99,50,70.0
17,C4,5.029,0.463,50,70.0
18,G4,5.522,0.468,49,70.0
19,G5,6.021,0.468,51,70.0
20,C6,6.021,0.468,51,70.0
21,D5,6.021,0.468,51,70.0
22,D6,6.519,0.492,49,70.0
23,E5,6.519,1.481,49,70.0
24,D6,7.012,0.987,50,70.0
25,E5,8.0,1.028,49,70.0
26,C6,8.004,0.499,54,70.0
27,D6,8.533,0.466,49,70.0
28,F3,9.029,0.463,50,70.0
29,C6,9.029,0.99,49,70.0
30,E6,9.029,0.99,49,70.0
31,C4,9.522,0.468,49,70.0
32,G6,10.021,0.468,52,70.0
33,A4,10.021,0.99,52,70.0
34,A6,10.519,0.463,49,70.0
35,G3,11.012,0.463,50,70.0
36,D6,11.012,0.987,49,70.0
37,G6,11.012,0.987,49,70.0
38,D4,11.505,0.465,49,70.0
39,G5,12.004,1.024,53,70.0
40,D6,12.004,1.024,53,70.0
41,B4,12.004,1.024,53,70.0
42,C3,13.029,0.463,50,70.0
43,G5,13.029,0.99,50,70.0
44,D6,13.029,0.99,50,70.0
45,G3,13.522,0.468,49,70.0
46,B5,14.021,0.468,52,70.0
47,D6,14.021,0.468,52,70.0
48,D4,14.021,0.468,52,70.0
49,E6,14.519,0.463,49,70.0
50,E4,14.519,0.463,49,70.0
51,G4,15.012,0.988,50,70.0
52,C6,15.012,0.987,49,70.0
53,E6,15.012,0.987,49,70.0
54,G4,16.0,1.028,50,70.0
55,C6,16.004,0.499,67,70.0
56,D6,16.533,0.466,62,70.0
57,F3,17.029,0.463,63,70.0
58,C6,17.029,0.99,62,70.0
59,E6,17.029,0.99,62,70.0
60,C4,17.522,0.468,62,70.0
61,A4,18.021,0.99,65,70.0
62,C6,18.021,0.497,64,70.0
63,G6,18.021,0.497,64,70.0
64,A6,18.519,0.463,62,70.0
65,G3,19.012,0.463,63,70.0
66,B5,19.012,0.988,60,70.0
67,D6,19.012,0.988,60,70.0
68,D4,19.505,0.465,62,70.0
69,B5,20.0,1.028,60,70.0
70,D6,20.0,1.028,60,70.0
71,B4,20.004,1.024,67,70.0
72,A3,21.029,0.463,63,70.0
73,G5,21.029,0.99,62,70.0
74,C6,21.029,0.99,62,70.0
75,E4,21.522,0.468,62,70.0
76,G5,22.021,0.468,63,70.0
77,C6,22.021,0.468,63,70.0
78,B4,22.021,0.468,63,70.0
79,D6,22.519,0.463,62,70.0
80,E4,22.519,0.463,62,70.0
81,E6,23.012,0.463,63,70.0
82,C5,23.012,0.463,63,70.0
83,D6,23.505,0.465,62,70.0
84,E4,23.505,0.465,62,70.0
85,G5,24.004,0.499,66,70.0
86,C6,24.004,0.499,66,70.0
87,B4,24.004,0.499,66,70.0
88,B5,24.533,0.466,62,70.0
89,E4,24.533,0.466,62,70.0
90,F3,25.029,0.463,63,70.0
91,F5,25.029,0.99,62,70.0
92,A5,25.029,0.99,62,70.0
93,C4,25.522,0.468,62,70.0
94,B5,26.021,0.468,65,70.0
95,A4,26.021,0.99,65,70.0
96,C6,26.519,0.463,62,70.0
97,D5,26.846,0.987,55,70.0
98,G3,26.846,1.153,55,70.0
99,G5,26.929,1.07,55,70.0
100,D4,26.929,1.07,55,70.0
101,D6,27.012,0.821,69,70.0
102,G4,27.012,0.821,69,70.0
103,B5,28.004,0.858,67,70.0
104,D4,28.004,1.024,67,70.0
105,G5,29.029,2.971,59,70.0
106,B5,29.029,2.971,59,70.0
107,E3,29.029,0.99,62,70.0
108,B3,29.029,0.99,62,70.0
109,B3,30.021,0.468,65,70.0
110,E3,30.519,0.463,62,70.0
111,C4,31.012,0.463,63,70.0
112,E3,31.505,0.465,62,70.0
113,G5,32.0,1.028,59,70.0
114,B5,32.0,1.028,59,70.0
115,B3,32.004,0.499,67,70.0
116,E3,32.533,0.466,62,70.0
117,A2,33.029,0.463,63,70.0
118,E3,33.522,0.468,62,70.0
119,B3,34.021,0.468,65,70.0
120,E3,34.519,0.363,62,70.0
121,C4,35.012,0.821,63,70.0
122,C5,36.004,0.499,67,70.0
123,D5,36.533,0.466,62,70.0
124,G4,37.029,0.99,62,70.0
125,E5,37.029,0.99,62,70.0
126,C2,37.029,0.99,62,70.0
127,E3,37.029,0.99,62,70.0
128,G4,38.021,0.99,64,70.0
129,G5,38.021,0.99,64,70.0
130,C4,38.021,0.99,64,70.0
131,E4,38.021,0.99,64,70.0
132,G4,39.012,0.988,62,70.0
133,D5,39.012,0.988,62,70.0
134,G2,39.012,0.987,62,70.0
135,B3,39.012,0.987,62,70.0
136,G4,40.0,1.028,62,70.0
137,D5,40.0,1.028,62,70.0
138,G3,40.004,1.024,64,70.0
139,B3,40.004,1.024,64,70.0
140,D4,40.004,1.024,64,70.0
141,G4,41.029,0.99,62,70.0
142,C5,41.029,0.99,62,70.0
143,C3,41.029,0.99,62,70.0
144,G4,42.021,0.497,62,70.0
145,C5,42.021,0.497,62,70.0
146,C4,42.021,0.99,64,70.0
147,D4,42.021,0.99,64,70.0
148,D5,42.519,0.492,62,70.0
149,G4,43.012,0.987,62,70.0
150,D5,43.012,0.987,62,70.0
151,C4,43.012,0.987,62,70.0
152,E4,43.012,0.987,62,70.0
153,C5,44.004,0.499,67,70.0
154,B2,44.004,1.024,67,70.0
155,D5,44.533,0.466,62,70.0
156,G4,45.029,0.99,60,70.0
157,C5,45.029,0.99,60,70.0
158,E5,45.029,0.99,60,70.0
159,C2,45.029,0.99,60,70.0
160,G4,46.021,0.497,62,70.0
161,C5,46.021,0.497,62,70.0
162,G5,46.021,0.497,62,70.0
163,G3,46.021,0.99,64,70.0
164,C4,46.021,0.99,64,70.0
165,A5,46.519,0.463,62,70.0
166,G4,47.012,0.987,61,70.0
167,B4,47.012,0.987,61,70.0
168,G5,47.012,0.987,61,70.0
169,G2,47.012,0.987,61,70.0
170,B3,47.012,0.987,61,70.0
171,G4,48.004,1.024,65,70.0
172,D5,48.004,1.024,65,70.0
173,G3,48.004,1.024,65,70.0
174,B3,48.004,1.024,65,70.0
175,D4,48.004,1.024,65,70.0
176,G4,49.029,0.99,60,70.0
177,D5,49.029,0.99,60,70.0
178,C2,49.029,0.99,60,70.0
179,G4,50.021,0.497,62,70.0
180,D5,50.021,0.497,62,70.0
181,G3,50.021,0.99,62,70.0
