,note_name,start_time,duration,velocity,tempo
0,G#1,4.0,0.0,60,143.0
1,B1,4.0,0.0,60,143.0
2,C3,4.0,49/200,80,143.0
3,C4,4.0,49/200,80,143.0
4,C3,4.5,49/200,80,143.0
5,C4,4.5,49/200,80,143.0
6,E1,5.0,0.0,74,143.0
7,E-2,5.0,0.0,74,143.0
8,E-3,5.0,49/200,81,143.0
9,E-4,5.0,49/200,81,143.0
10,D3,5.25,49/200,80,143.0
11,D4,5.25,49/200,80,143.0
12,G#1,5.5,0.0,58,143.0
13,B1,5.5,0.0,58,143.0
14,C3,5.5,49/200,80,143.0
15,C4,5.5,49/200,80,143.0
16,D3,5.75,49/200,80,143.0
17,D4,5.75,49/200,80,143.0
18,E-3,6.0,49/200,80,143.0
19,E-4,6.0,49/200,80,143.0
20,C4,6.875,3/25,80,143.0
21,C5,6.875,3/25,80,143.0
22,E1,7.0,0.0,76,143.0
23,E-2,7.0,0.0,76,143.0
24,E-4,7.0,49/200,80,143.0
25,E-5,7.0,49/200,80,143.0
26,D4,7.25,49/200,80,143.0
27,D5,7.25,49/200,80,143.0
28,C4,7.5,49/200,79,143.0
29,C5,7.5,49/200,79,143.0
30,G6,7.849,151/1000,84,143.0
31,G#1,8.0,0.0,60,143.0
32,B1,8.0,0.0,60,143.0
33,C4,8.0,49/200,55,143.0
34,G6,8.0,1/100,84,143.0
35,F#6,8.0,839/1000,84,143.0
36,E-4,8.25,49/200,53,143.0
37,F#4,8.5,49/200,55,143.0
38,A4,8.75,49/200,53,143.0
39,E-6,8.828,167/1000,84,143.0
40,E1,9.0,0.0,76,143.0
41,E-2,9.0,0.0,76,143.0
42,C4,9.0,49/200,55,143.0
43,D6,9.0,199/200,84,143.0
44,E-4,9.25,49/200,53,143.0
45,G#1,9.5,0.0,60,143.0
46,B1,9.5,0.0,60,143.0
47,F#4,9.5,49/200,53,143.0
48,A4,9.75,49/200,55,143.0
49,C4,10.0,49/200,55,143.0
50,E-6,10.021,97/125,84,143.0
51,E-4,10.25,49/200,55,143.0
52,F#4,10.5,49/200,55,143.0
