,note_name,start_time,duration,velocity,tempo
0,B-3,0.0,0.5,80,145.0
1,C4,0.5,0.5,80,145.0
2,E-4,1.0,0.5,80,145.0
3,F4,1.5,0.5,80,145.0
4,B-4,2.0,0.5,80,145.0
5,G#4,2.5,0.5,80,145.0
6,G4,3.0,0.5,80,145.0
7,F4,3.5,0.5,80,145.0
8,G4,4.0,0.25,80,145.0
9,G#4,4.25,0.25,80,145.0
10,G4,4.5,0.5,80,145.0
11,F4,5.0,0.5,80,145.0
12,E-4,5.5,0.5,80,145.0
13,G4,6.0,0.5,80,145.0
14,F4,6.5,0.5,80,145.0
15,E-4,7.0,0.5,80,145.0
16,C4,7.5,0.5,80,145.0
17,B-3,8.0,0.5,80,145.0
18,C4,8.5,0.5,80,145.0
19,E-4,9.0,0.5,80,145.0
20,F4,9.5,0.5,80,145.0
21,B-4,10.0,0.5,80,145.0
22,G#4,10.5,0.5,80,145.0
23,G4,11.0,0.5,80,145.0
24,F4,11.5,0.5,80,145.0
25,G4,12.0,0.25,80,145.0
26,G#4,12.25,0.25,80,145.0
27,G4,12.5,0.5,80,145.0
28,F4,13.0,0.5,80,145.0
29,E-4,13.5,0.5,80,145.0
30,G4,14.0,0.5,80,145.0
31,F4,14.5,0.5,80,145.0
32,E-4,15.0,0.5,80,145.0
33,C4,15.5,0.5,80,145.0
34,B-3,16.0,0.5,80,145.0
35,C4,16.5,0.5,80,145.0
36,E-4,17.0,0.5,80,145.0
37,F4,17.5,0.5,80,145.0
38,B-4,18.0,0.5,80,145.0
39,G#4,18.5,0.5,80,145.0
40,G4,19.0,0.5,80,145.0
41,F4,19.5,0.5,80,145.0
42,G4,20.0,0.25,80,145.0
43,G#4,20.25,0.25,80,145.0
44,G4,20.5,0.5,80,145.0
45,F4,21.0,0.5,80,145.0
46,E-4,21.5,0.5,80,145.0
47,G4,22.0,0.5,80,145.0
48,F4,22.5,0.5,80,145.0
49,E-4,23.0,0.5,80,145.0
50,C4,23.5,0.5,80,145.0
51,B-3,24.0,0.5,80,145.0
52,C4,24.5,0.5,80,145.0
53,E-4,25.0,0.5,80,145.0
54,F4,25.5,0.5,80,145.0
55,B-4,26.0,0.5,80,145.0
56,G#4,26.5,0.5,80,145.0
57,G4,27.0,0.5,80,145.0
58,F4,27.5,0.5,80,145.0
59,G4,28.0,0.25,80,145.0
60,G#4,28.25,0.25,80,145.0
61,G4,28.5,0.5,80,145.0
62,F4,29.0,0.5,80,145.0
63,E-4,29.5,0.5,80,145.0
64,G4,30.0,0.5,80,145.0
65,F4,30.5,0.5,80,145.0
66,E-4,31.0,0.5,80,145.0
67,C4,31.5,0.5,80,145.0
68,B-3,32.0,0.5,80,145.0
69,C4,32.5,0.5,80,145.0
70,E-4,33.0,0.5,80,145.0
71,F4,33.5,0.5,80,145.0
72,B-4,34.0,0.5,80,145.0
73,G#4,34.5,0.5,80,145.0
74,G4,35.0,0.5,80,145.0
75,F4,35.5,0.5,80,145.0
76,G4,36.0,0.25,80,145.0
77,G#4,36.25,0.25,80,145.0
78,G4,36.5,0.5,80,145.0
79,F4,37.0,0.5,80,145.0
80,E-4,37.5,0.5,80,145.0
81,G4,38.0,0.5,80,145.0
82,F4,38.5,0.5,80,145.0
83,E-4,39.0,0.5,80,145.0
84,C4,39.5,0.5,80,145.0
85,B-3,40.0,0.5,80,145.0
86,C4,40.5,0.5,80,145.0
87,E-4,41.0,0.5,80,145.0
88,F4,41.5,0.5,80,145.0
89,B-4,42.0,0.5,80,145.0
90,G#4,42.5,0.5,80,145.0
91,G4,43.0,0.5,80,145.0
92,F4,43.5,0.5,80,145.0
93,G4,44.0,0.25,80,145.0
94,G#4,44.25,0.25,80,145.0
95,G4,44.5,0.5,80,145.0
96,F4,45.0,0.5,80,145.0
97,E-4,45.5,0.5,80,145.0
98,G4,46.0,0.5,80,145.0
99,F4,46.5,0.5,80,145.0
100,E-4,47.0,0.5,80,145.0
101,C4,47.5,0.5,80,145.0
102,B-3,48.0,0.5,80,145.0
103,C4,48.5,0.5,80,145.0
104,E-4,49.0,0.5,80,145.0
105,F4,49.5,0.5,80,145.0
106,B-4,50.0,0.5,80,145.0
107,G#4,50.5,0.5,80,145.0
108,G4,51.0,0.5,80,145.0
109,F4,51.5,0.5,80,145.0
110,G4,52.0,0.25,80,145.0
111,G#4,52.25,0.25,80,145.0
112,G4,52.5,0.5,80,145.0
113,F4,53.0,0.5,80,145.0
114,E-4,53.5,0.5,80,145.0
115,G4,54.0,0.5,80,145.0
116,F4,54.5,0.5,80,145.0
117,E-4,55.0,0.5,80,145.0
118,C4,55.5,0.5,80,145.0
119,B-3,56.0,0.5,80,145.0
120,C4,56.5,0.5,80,145.0
121,E-4,57.0,0.5,80,145.0
122,F4,57.5,0.5,80,145.0
123,B-4,58.0,0.5,80,145.0
124,G#4,58.5,0.5,80,145.0
125,G4,59.0,0.5,80,145.0
126,F4,59.5,0.5,80,145.0
127,G4,60.0,0.25,80,145.0
128,G#4,60.25,0.25,80,145.0
129,G4,60.5,0.5,80,145.0
130,F4,61.0,0.5,80,145.0
131,E-4,61.5,0.5,80,145.0
132,G4,62.0,0.5,80,145.0
133,F4,62.5,0.5,80,145.0
134,E-4,63.0,0.5,80,145.0
135,C4,63.5,0.5,80,145.0
