,note_name,start_time,duration,velocity,tempo
0,F#1,0.0,13/20,127,198.0
1,F#2,0.0,79/500,127,198.0
2,C2,0.0,21/40,127,198.0
3,G#2,0.667,133/1000,127,198.0
4,F#1,1.0,76/125,127,198.0
5,F#2,1.0,133/1000,127,198.0
6,E-2,1.0,0.25,127,198.0
7,G#2,1.667,133/1000,127,198.0
8,F#1,2.0,76/125,127,198.0
9,F#2,2.0,7/40,127,198.0
10,C2,2.0,21/40,127,198.0
11,G#2,2.667,133/1000,127,198.0
12,F#1,3.0,76/125,127,198.0
13,F#2,3.0,79/500,127,198.0
14,E-2,3.0,2/5,127,198.0
15,G#2,3.667,133/1000,127,198.0
16,F#1,4.0,13/20,127,198.0
17,F#2,4.0,7/40,127,198.0
18,C2,4.0,0.25,127,198.0
19,G#2,4.667,133/1000,127,198.0
20,F#1,5.0,233/1000,127,198.0
21,F#2,5.0,7/40,127,198.0
22,E-2,5.0,317/1000,127,198.0
23,F#1,5.667,13/20,127,198.0
24,G#2,5.667,79/500,127,198.0
25,C2,5.667,0.25,127,198.0
26,F#2,6.0,7/40,127,198.0
27,F#1,6.667,233/1000,127,198.0
28,G#2,6.667,167/1000,127,198.0
29,E2,6.667,167/1000,127,198.0
30,F#1,7.0,13/20,127,198.0
31,E-2,7.0,167/1000,127,198.0
32,C2,7.0,317/1000,127,198.0
33,G#2,7.667,133/1000,127,198.0
34,F#1,8.0,13/20,127,198.0
35,F#2,8.0,79/500,127,198.0
36,C2,8.0,21/40,127,198.0
37,G#2,8.667,133/1000,127,198.0
38,F#1,9.0,13/20,127,198.0
39,F#2,9.0,133/1000,127,198.0
40,E-2,9.0,0.25,127,198.0
41,G#2,9.667,133/1000,127,198.0
42,F#1,10.0,3/5,127,198.0
43,F#2,10.0,7/40,127,198.0
44,C2,10.0,0.25,127,198.0
45,G#2,10.667,133/1000,127,198.0
46,F#1,11.0,13/20,127,198.0
47,F#2,11.0,79/500,127,198.0
48,E-2,11.0,0.25,127,198.0
49,G#2,11.667,133/1000,127,198.0
50,F#1,12.0,13/20,127,198.0
51,F#2,12.0,7/40,127,198.0
52,C2,12.0,0.25,127,198.0
53,G#2,12.667,133/1000,127,198.0
54,F#1,13.0,233/1000,127,198.0
55,F#2,13.0,7/40,127,198.0
56,E-2,13.0,0.25,127,198.0
57,F#1,13.667,31/40,127,198.0
58,G#2,13.667,79/500,127,198.0
59,C2,13.667,0.25,127,198.0
60,F#2,14.0,7/40,127,198.0
61,F#1,14.667,233/1000,127,198.0
62,G#2,14.667,167/1000,127,198.0
63,E2,14.667,167/1000,127,198.0
64,F#1,15.0,76/125,127,198.0
65,E-2,15.0,167/1000,127,198.0
66,C2,15.0,317/1000,127,198.0
67,G#2,15.667,133/1000,127,198.0
68,F#1,16.0,13/20,127,198.0
69,F#2,16.0,79/500,127,198.0
70,C2,16.0,21/40,127,198.0
71,G#2,16.667,133/1000,127,198.0
