,note_name,start_time,duration,velocity,tempo
0,E-4,0.0,0.5,99,120
1,F#4,0.0,0.5,99,120
2,B-4,0.0,0.5,99,120
3,E-4,0.75,0.5,99,120
4,F#4,0.75,0.5,99,120
5,B-4,0.75,0.5,99,120
6,E-4,1.5,0.5,99,120
7,F#4,1.5,0.5,99,120
8,B-4,1.5,0.5,99,120
9,E-4,2.25,0.5,99,120
10,F#4,2.25,0.5,99,120
11,C#5,2.25,0.5,99,120
12,E-4,3.0,0.5,99,120
13,F#4,3.0,0.5,99,120
14,C#5,3.0,0.5,99,120
15,E-4,3.5,0.5,99,120
16,F#4,3.5,0.5,99,120
17,C#5,3.5,0.5,99,120
18,C#4,4.0,0.5,99,120
19,F#4,4.0,0.5,99,120
20,B-4,4.0,0.5,99,120
21,C#4,4.75,0.5,99,120
22,F#4,4.75,0.5,99,120
23,B-4,4.75,0.5,99,120
24,C#4,5.5,0.5,99,120
25,F#4,5.5,0.5,99,120
26,B-4,5.5,0.5,99,120
27,C#4,6.25,0.5,99,120
28,F4,6.25,0.5,99,120
29,G#4,6.25,0.5,99,120
30,C#4,7.0,0.5,99,120
31,F4,7.0,0.5,99,120
32,G#4,7.0,0.5,99,120
33,C#4,7.5,0.5,99,120
34,F4,7.5,0.5,99,120
35,G#4,7.5,0.5,99,120
