,note_name,start_time,duration,velocity,tempo
0,C4,4.0,4.0,127,120.0
1,A3,4.0,4.0,127,120.0
2,C4,8.0,4.0,127,120.0
3,A3,8.0,4.0,127,120.0
4,C4,12.0,4.0,127,120.0
5,A3,12.0,4.0,127,120.0
6,C4,16.0,4.0,127,120.0
7,A3,16.0,4.0,127,120.0
8,G#5,16.0,0.312,127,120.0
9,A3,16.219,143/500,127,120.0
10,E4,16.245,751/200,127,120.0
11,G#5,16.312,1.031,127,120.0
12,F5,17.516,307/1000,127,120.0
13,E-6,17.714,99/125,127,120.0
14,D5,18.094,333/1000,127,120.0
15,B-5,18.422,77/200,127,120.0
16,E-6,18.505,0.297,127,120.0
17,D5,19.052,0.578,127,120.0
18,E5,19.516,56/125,127,120.0
19,C0,20.0,4.0,127,120.0
20,C4,20.0,4.0,127,120.0
21,A3,20.0,4.0,127,120.0
22,C0,24.0,1.0,127,120.0
23,C4,24.0,4.0,127,120.0
24,A3,24.0,4.0,127,120.0
25,B-1,25.25,0.25,127,120.0
26,B-1,25.75,2.25,127,120.0
27,F#2,28.0,0.5,59,120.0
28,B-1,28.0,2.0,127,120.0
29,C4,28.0,4.0,127,120.0
30,A3,28.0,4.0,127,120.0
31,G3,28.0,417/1000,118,120.0
32,D4,28.0,417/1000,118,120.0
33,G4,28.0,417/1000,118,120.0
34,G2,28.0,417/1000,108,120.0
35,D3,28.0,417/1000,108,120.0
36,G3,28.0,417/1000,108,120.0
37,G2,28.0,417/1000,108,120.0
38,D3,28.0,417/1000,108,120.0
39,G3,28.0,417/1000,108,120.0
40,F#2,29.0,0.5,59,120.0
41,B-3,29.0,417/1000,118,120.0
42,F4,29.0,417/1000,118,120.0
43,B-4,29.0,417/1000,118,120.0
44,B-2,29.0,417/1000,108,120.0
45,F3,29.0,417/1000,108,120.0
46,B-3,29.0,417/1000,108,120.0
47,B-2,29.0,417/1000,108,120.0
48,F3,29.0,417/1000,108,120.0
49,B-3,29.0,417/1000,108,120.0
50,F#2,30.0,0.5,59,120.0
51,B--1,30.0,0.25,127,120.0
52,C4,30.0,1.0,118,120.0
53,G4,30.0,1.0,118,120.0
54,C5,30.0,1.0,118,120.0
55,C3,30.0,1.0,108,120.0
56,G3,30.0,1.0,108,120.0
57,C4,30.0,1.0,108,120.0
58,C3,30.0,1.0,108,120.0
59,G3,30.0,1.0,108,120.0
60,C4,30.0,1.0,108,120.0
61,D0,30.5,1.5,127,120.0
62,F#2,31.0,0.5,59,120.0
63,G3,31.5,417/1000,118,120.0
64,D4,31.5,417/1000,118,120.0
65,G4,31.5,417/1000,118,120.0
66,G2,31.5,417/1000,108,120.0
67,D3,31.5,417/1000,108,120.0
68,G3,31.5,417/1000,108,120.0
69,G2,31.5,417/1000,108,120.0
70,D3,31.5,417/1000,108,120.0
71,G3,31.5,417/1000,108,120.0
72,F#2,32.0,0.5,59,120.0
73,B-1,32.0,4.0,127,120.0
74,C4,32.0,4.0,127,120.0
75,A3,32.0,4.0,127,120.0
76,B-3,32.5,417/1000,118,120.0
77,F4,32.5,417/1000,118,120.0
