,note_name,start_time,duration,velocity,tempo
0,E5,1.0,0.5,80,126.0
1,E4,1.0,0.5,80,126.0
2,E5,1.0,0.5,80,126.0
3,E4,1.0,0.5,80,126.0
4,E4,1.0,0.5,80,126.0
5,E5,1.0,0.5,80,126.0
6,F5,1.5,0.5,80,126.0
7,F4,1.5,0.5,80,126.0
8,F5,1.5,0.5,80,126.0
9,F4,1.5,0.5,80,126.0
10,F4,1.5,0.5,80,126.0
11,F5,1.5,0.5,80,126.0
12,G5,2.0,0.5,80,126.0
13,G4,2.0,0.5,80,126.0
14,G5,2.0,0.5,80,126.0
15,G4,2.0,0.5,80,126.0
16,G4,2.0,0.5,80,126.0
17,G5,2.0,0.5,80,126.0
18,C6,2.5,0.5,80,126.0
19,C5,2.5,0.5,80,126.0
20,C6,2.5,0.5,80,126.0
21,C5,2.5,0.5,80,126.0
22,C5,2.5,0.5,80,126.0
23,C6,2.5,0.5,80,126.0
24,B5,3.5,0.5,80,126.0
25,B4,3.5,0.5,80,126.0
26,B5,3.5,0.5,80,126.0
27,B4,3.5,0.5,80,126.0
28,B4,3.5,0.5,80,126.0
29,B5,3.5,0.5,80,126.0
30,G5,4.5,0.5,80,126.0
31,G4,4.5,0.5,80,126.0
32,G5,4.5,0.5,80,126.0
33,G4,4.5,0.5,80,126.0
34,G4,4.5,0.5,80,126.0
35,G5,4.5,0.5,80,126.0
36,G5,5.5,1.0,80,126.0
37,G4,5.5,1.0,80,126.0
38,G5,5.5,1.0,80,126.0
39,G4,5.5,1.0,80,126.0
40,G4,5.5,1.0,80,126.0
41,G5,5.5,1.0,80,126.0
42,A5,6.5,0.25,80,126.0
43,A4,6.5,0.25,80,126.0
44,A5,6.5,0.25,80,126.0
45,A4,6.5,0.25,80,126.0
46,A4,6.5,0.25,80,126.0
47,A5,6.5,0.25,80,126.0
48,G5,6.75,0.25,80,126.0
49,G4,6.75,0.25,80,126.0
50,G5,6.75,0.25,80,126.0
51,G4,6.75,0.25,80,126.0
52,G4,6.75,0.25,80,126.0
53,G5,6.75,0.25,80,126.0
54,F5,7.0,1.0,80,126.0
55,F4,7.0,1.0,80,126.0
56,F5,7.0,1.0,80,126.0
57,F4,7.0,1.0,80,126.0
58,F4,7.0,1.0,80,126.0
59,F5,7.0,1.0,80,126.0
60,E5,9.0,0.5,80,126.0
61,E4,9.0,0.5,80,126.0
62,E5,9.0,0.5,80,126.0
63,E4,9.0,0.5,80,126.0
64,E4,9.0,0.5,80,126.0
65,E5,9.0,0.5,80,126.0
66,F5,9.5,0.5,80,126.0
67,F4,9.5,0.5,80,126.0
68,F5,9.5,0.5,80,126.0
69,F4,9.5,0.5,80,126.0
70,F4,9.5,0.5,80,126.0
71,F5,9.5,0.5,80,126.0
72,G5,10.0,0.5,80,126.0
73,G4,10.0,0.5,80,126.0
74,G5,10.0,0.5,80,126.0
75,G4,10.0,0.5,80,126.0
76,G4,10.0,0.5,80,126.0
77,G5,10.0,0.5,80,126.0
78,C6,10.5,0.5,80,126.0
79,C5,10.5,0.5,80,126.0
80,C6,10.5,0.5,80,126.0
81,C5,10.5,0.5,80,126.0
82,C5,10.5,0.5,80,126.0
83,C6,10.5,0.5,80,126.0
84,B5,11.5,0.5,80,126.0
85,B4,11.5,0.5,80,126.0
86,B5,11.5,0.5,80,126.0
87,B4,11.5,0.5,80,126.0
88,B4,11.5,0.5,80,126.0
89,B5,11.5,0.5,80,126.0
90,G5,12.5,0.5,80,126.0
91,G4,12.5,0.5,80,126.0
92,G5,12.5,0.5,80,126.0
93,G4,12.5,0.5,80,126.0
94,G4,12.5,0.5,80,126.0
95,G5,12.5,0.5,80,126.0
96,E5,13.5,0.5,80,126.0
97,E4,13.5,0.5,80,126.0
98,E5,13.5,0.5,80,126.0
99,E4,13.5,0.5,80,126.0
100,E4,13.5,0.5,80,126.0
101,E5,13.5,0.5,80,126.0
102,D5,14.0,1.0,80,126.0
103,D4,14.0,1.0,80,126.0
104,D5,14.0,1.0,80,126.0
105,D4,14.0,1.0,80,126.0
106,D4,14.0,1.0,80,126.0
107,D5,14.0,1.0,80,126.0
108,E5,17.0,0.5,80,126.0
109,E4,17.0,0.5,80,126.0
110,E5,17.0,0.5,80,126.0
111,E4,17.0,0.5,80,126.0
112,E4,17.0,0.5,80,126.0
113,E5,17.0,0.5,80,126.0
114,F5,17.5,0.5,80,126.0
115,F4,17.5,0.5,80,126.0
116,F5,17.5,0.5,80,126.0
117,F4,17.5,0.5,80,126.0
118,F4,17.5,0.5,80,126.0
119,F5,17.5,0.5,80,126.0
120,G5,18.0,0.5,80,126.0
121,G4,18.0,0.5,80,126.0
122,G5,18.0,0.5,80,126.0
123,G4,18.0,0.5,80,126.0
124,G4,18.0,0.5,80,126.0
125,G5,18.0,0.5,80,126.0
126,C6,18.5,0.5,80,126.0
127,C5,18.5,0.5,80,126.0
128,C6,18.5,0.5,80,126.0
129,C5,18.5,0.5,80,126.0
130,C5,18.5,0.5,80,126.0
131,C6,18.5,0.5,80,126.0
132,B5,19.5,0.5,80,126.0
133,B4,19.5,0.5,80,126.0
134,B5,19.5,0.5,80,126.0
135,B4,19.5,0.5,80,126.0
136,B4,19.5,0.5,80,126.0
137,B5,19.5,0.5,80,126.0
138,G5,20.5,0.5,80,126.0
139,G4,20.5,0.5,80,126.0
140,G5,20.5,0.5,80,126.0
141,G4,20.5,0.5,80,126.0
142,G4,20.5,0.5,80,126.0
143,G5,20.5,0.5,80,126.0
144,G5,21.5,1.0,80,126.0
145,G4,21.5,1.0,80,126.0
146,G5,21.5,1.0,80,126.0
147,G4,21.5,1.0,80,126.0
148,G4,21.5,1.0,80,126.0
149,G5,21.5,1.0,80,126.0
150,A5,22.5,0.25,80,126.0
151,A4,22.5,0.25,80,126.0
152,A5,22.5,0.25,80,126.0
153,A4,22.5,0.25,80,126.0
154,A4,22.5,0.25,80,126.0
155,A5,22.5,0.25,80,126.0
156,G5,22.75,0.25,80,126.0
157,G4,22.75,0.25,80,126.0
158,G5,22.75,0.25,80,126.0
159,G4,22.75,0.25,80,126.0
160,G4,22.75,0.25,80,126.0
161,G5,22.75,0.25,80,126.0
162,F5,23.0,1.0,80,126.0
163,F4,23.0,1.0,80,126.0
164,F5,23.0,1.0,80,126.0
165,F4,23.0,1.0,80,126.0
166,F4,23.0,1.0,80,126.0
167,F5,23.0,1.0,80,126.0
168,E5,25.0,0.5,80,126.0
169,E4,25.0,0.5,80,126.0
170,E5,25.0,0.5,80,126.0
171,E4,25.0,0.5,80,126.0
172,E4,25.0,0.5,80,126.0
173,E5,25.0,0.5,80,126.0
174,D5,25.5,0.5,80,126.0
175,D4,25.5,0.5,80,126.0
176,D5,25.5,0.5,80,126.0
177,D4,25.5,0.5,80,126.0
178,D4,25.5,0.5,80,126.0
179,D5,25.5,0.5,80,126.0
180,E5,26.0,1.0,80,126.0
181,E4,26.0,1.0,80,126.0
182,E5,26.0,1.0,80,126.0
183,E4,26.0,1.0,80,126.0
184,E4,26.0,1.0,80,126.0
185,E5,26.0,1.0,80,126.0
186,D5,27.0,0.5,80,126.0
187,D4,27.0,0.5,80,126.0
188,D5,27.0,0.5,80,126.0
189,D4,27.0,0.5,80,126.0
190,D4,27.0,0.5,80,126.0
191,D5,27.0,0.5,80,126.0
192,C5,27.5,0.5,80,126.0
193,C4,27.5,0.5,80,126.0
194,C5,27.5,0.5,80,126.0
195,C4,27.5,0.5,80,126.0
196,C4,27.5,0.5,80,126.0
197,C5,27.5,0.5,80,126.0
198,C5,28.0,3.0,80,126.0
199,C4,28.0,3.0,80,126.0
200,C5,28.0,3.0,80,126.0
