,note_name,start_time,duration,velocity,tempo
0,F#2,4.005,21/500,87,95.0
1,F#2,4.995,21/500,68,95.0
2,F#2,5.995,21/500,68,95.0
3,F#2,7.0,21/500,68,95.0
4,D3,7.99,1/100,75,95.0
5,D3,8.0,13/125,75,95.0
6,F#2,8.005,21/500,95,95.0
7,D3,8.01,23/200,78,95.0
8,D3,8.495,1083/1000,75,95.0
9,D3,8.516,1083/1000,78,95.0
10,D4,8.99,1.078,75,95.0
11,D4,9.01,1.078,78,95.0
12,A3,9.24,807/1000,75,95.0
13,A3,9.26,807/1000,78,95.0
14,D3,9.745,0.234,75,95.0
15,D3,9.766,0.234,78,95.0
16,C3,9.99,177/1000,75,95.0
17,F#2,10.005,21/500,103,95.0
18,C3,10.01,177/1000,78,95.0
19,C3,10.495,1307/1000,75,95.0
20,C3,10.516,1307/1000,78,95.0
21,G3,10.995,201/200,75,95.0
22,D4,10.995,201/200,75,95.0
23,D4,11.016,0.984,78,95.0
24,G3,11.016,0.984,78,95.0
25,D3,11.755,0.125,75,95.0
26,D3,11.776,0.125,78,95.0
27,G2,11.995,1/200,75,95.0
28,G2,12.0,161/1000,75,95.0
29,G3,12.0,0.594,75,95.0
30,D4,12.0,0.594,75,95.0
31,D4,12.0,31/50,78,95.0
32,G3,12.0,31/50,78,95.0
33,F#2,12.005,21/500,95,95.0
34,G2,12.016,167/1000,78,95.0
35,G2,12.495,1.328,77,95.0
36,G2,12.516,1.328,80,95.0
37,G3,13.005,196/125,75,95.0
38,D4,13.005,196/125,75,95.0
39,D4,13.026,1.625,78,95.0
40,G3,13.026,1.625,78,95.0
41,A2,13.995,151/500,75,95.0
42,F#2,13.995,21/500,103,95.0
43,A2,14.016,151/500,78,95.0
44,B-2,14.245,0.219,75,95.0
45,B-2,14.266,0.219,78,95.0
46,B2,14.495,0.375,75,95.0
47,B2,14.516,0.375,78,95.0
48,D3,14.755,13/50,75,95.0
49,D3,14.776,13/50,78,95.0
50,E3,15.005,0.266,75,95.0
51,E3,15.026,0.266,78,95.0
52,D3,15.245,13/50,75,95.0
53,D3,15.266,13/50,78,95.0
54,F3,15.469,333/1000,99,95.0
55,B-2,15.495,333/1000,75,95.0
56,B-2,15.516,333/1000,78,95.0
57,F#3,15.719,0.281,102,95.0
58,B2,15.75,0.219,75,95.0
59,B2,15.771,0.219,78,95.0
60,D4,15.969,0.031,104,95.0
61,D4,16.0,4.0,104,95.0
62,F#3,16.0,0.078,102,95.0
63,C2,16.005,21/500,102,95.0
64,F#2,16.005,21/500,102,95.0
65,D3,16.01,26/125,75,95.0
66,D3,16.031,26/125,78,95.0
67,C2,16.495,21/500,108,95.0
68,D3,16.505,1073/1000,75,95.0
69,D3,16.526,1073/1000,78,95.0
70,D4,16.995,1083/1000,77,95.0
71,D2,16.995,21/500,108,95.0
72,D4,17.016,1083/1000,80,95.0
73,A3,17.245,409/500,75,95.0
74,A3,17.266,409/500,78,95.0
75,D3,17.755,167/1000,75,95.0
76,D3,17.776,167/1000,78,95.0
77,C2,17.995,21/500,104,95.0
78,F#2,17.995,21/500,104,95.0
79,C3,18.0,177/1000,75,95.0
80,C3,18.021,177/1000,78,95.0
81,C3,18.495,323/250,75,95.0
82,C2,18.505,21/500,108,95.0
83,C3,18.516,323/250,78,95.0
84,G3,18.995,201/200,75,95.0
85,D4,18.995,201/200,75,95.0
86,D2,19.005,21/500,108,95.0
87,D4,19.016,0.984,78,95.0
88,G3,19.016,0.984,78,95.0
89,D3,19.755,73/500,75,95.0
90,D3,19.776,73/500,78,95.0
91,D4,20.0,1271/1000,104,95.0
92,G3,20.0,73/250,75,95.0
93,D4,20.0,73/250,75,95.0
94,D4,20.0,143/500,78,95.0
95,G3,20.0,143/500,78,95.0
96,G2,20.005,0.141,75,95.0
97,C2,20.01,21/500,102,95.0
98,F#2,20.01,21/500,102,95.0
99,G2,20.026,0.141,78,95.0
100,C2,20.495,21/500,108,95.0
101,G2,20.505,1.422,75,95.0
102,G2,20.526,1.422,78,95.0
103,D2,20.995,21/500,108,95.0
104,G3,21.005,349/500,77,95.0
105,D4,21.005,0.625,75,95.0
106,D4,21.026,0.625,78,95.0
107,G3,21.026,349/500,80,95.0
108,B2,21.995,443/1000,75,95.0
109,F#2,21.995,21/500,104,95.0
110,C2,21.995,21/500,104,95.0
111,B2,22.016,443/1000,78,95.0
112,G2,22.245,73/500,75,95.0
113,G2,22.266,73/500,78,95.0
114,G2,22.495,271/1000,75,95.0
115,C2,22.5,21/500,108,95.0
116,G2,22.516,271/1000,78,95.0
117,C3,22.745,0.484,79,95.0
118,C3,22.766,0.484,82,95.0
119,G2,22.995,0.141,75,95.0
120,D2,23.0,21/500,108,95.0
121,G2,23.016,0.141,78,95.0
122,G2,23.25,0.281,75,95.0
123,G2,23.271,0.281,78,95.0
124,C#3,23.505,0.344,77,95.0
125,C#3,23.526,0.344,80,95.0
126,G2,23.745,0.125,75,95.0
127,G2,23.766,0.125,78,95.0
128,D3,24.0,0.141,95,95.0
129,D2,24.005,73/500,105,95.0
130,D3,24.005,13/100,84,95.0
131,C2,24.005,21/500,98,95.0
132,F#2,24.005,21/500,98,95.0
133,C#3,24.005,21/500,98,95.0
134,D3,24.495,113/100,77,95.0
135,C2,24.5,21/500,80,95.0
136,F#2,24.5,21/500,80,95.0
137,D2,24.505,37/100,98,95.0
138,D3,24.505,63/50,98,95.0
139,D3,24.984,1.0,92,95.0
140,A3,24.984,1.0,92,95.0
141,D4,24.995,1161/1000,77,95.0
142,D2,25.0,237/250,91,95.0
143,D4,25.0,599/1000,98,95.0
144,E4,25.0,143/500,98,95.0
145,A4,25.0,911/1000,98,95.0
146,D2,25.0,21/500,104,95.0
147,F#2,25.0,21/500,104,95.0
148,A3,25.245,0.859,75,95.0
149,F#4,25.25,583/1000,98,95.0
150,F#2,25.495,21/500,51,95.0
151,D4,25.75,0.203,98,95.0
152,D3,25.76,73/500,75,95.0
153,C2,25.995,0.188,86,95.0
154,C2,25.995,21/500,104,95.0
155,F#2,25.995,21/500,104,95.0
156,C3,26.0,0.141,98,95.0
157,C3,26.005,0.156,75,95.0
158,C3,26.5,1443/1000,98,95.0
159,C3,26.5,1.25,75,95.0
160,C2,26.5,21/500,86,95.0
161,F#2,26.5,21/500,86,95.0
162,C2,26.505,0.375,93,95.0
163,G3,26.979,479/500,102,95.0
164,C3,26.979,479/500,102,95.0
165,C4,27.0,0.641,95,95.0
166,D4,27.0,0.266,98,95.0
167,G4,27.0,241/250,98,95.0
168,C2,27.005,199/200,98,95.0
169,G3,27.005,199/200,76,95.0
170,D4,27.005,199/200,76,95.0
171,D2,27.005,21/500,102,95.0
172,F#2,27.005,21/500,102,95.0
173,E4,27.245,127/200,98,95.0
174,F#2,27.495,21/500,79,95.0
175,C4,27.75,167/1000,87,95.0
176,D3,27.755,0.141,75,95.0
177,C2,28.0,21/1000,98,95.0
178,G2,28.0,151/1000,98,95.0
179,G3,28.0,13/250,76,95.0
180,D4,28.0,13/250,76,95.0
181,G2,28.005,161/1000,75,95.0
182,C2,28.005,21/500,102,95.0
183,F#2,28.005,21/500,102,95.0
184,G1,28.01,167/1000,95,95.0
185,G2,28.495,151/125,77,95.0
186,G2,28.5,659/500,98,95.0
187,F#2,28.5,21/500,80,95.0
188,C2,28.5,21/500,80,95.0
189,G1,28.505,651/500,89,95.0
190,G2,28.974,0.938,102,95.0
191,D3,28.974,0.938,102,95.0
192,G3,29.0,58/125,98,95.0
193,A3,29.0,51/200,98,95.0
194,D4,29.0,113/100,98,95.0
195,G3,29.005,1.125,77,95.0
196,D4,29.005,1.125,77,95.0
197,D2,29.005,21/500,102,95.0
198,F#2,29.005,21/500,102,95.0
199,B3,29.25,839/1000,98,95.0
200,F#2,29.5,21/500,64,95.0
201,G3,29.75,143/500,98,95.0
202,G1,29.995,0.203,89,95.0
203,G2,29.995,0.156,98,95.0
204,G2,30.005,0.125,75,95.0
205,C2,30.005,21/500,98,95.0
206,F#2,30.005,21/500,98,95.0
207,G2,30.495,181/125,98,95.0
208,F#2,30.5,21/500,84,95.0
209,C2,30.5,21/500,84,95.0
210,G1,30.505,99/100,100,95.0
211,G2,30.505,99/100,75,95.0
212,G2,30.984,237/250,102,95.0
213,D3,30.984,237/250,102,95.0
214,G3,31.0,339/1000,98,95.0
215,A3,31.0,229/1000,98,95.0
216,D4,31.0,901/1000,98,95.0
217,D2,31.0,21/500,98,95.0
218,F#2,31.0,21/500,98,95.0
219,G3,31.005,199/200,75,95.0
220,D4,31.005,199/200,75,95.0
221,B3,31.25,0.484,98,95.0
