,note_name,start_time,duration,velocity,tempo
0,F#5,3.891,0.109,61,126.0
1,B4,3.891,0.109,61,126.0
2,D5,3.891,0.109,61,126.0
3,B1,3.99,1/100,111,126.0
4,B1,4.0,3.797,111,126.0
5,F#5,4.0,4.0,61,126.0
6,B4,4.0,4.0,61,126.0
7,D5,4.0,4.0,61,126.0
8,D4,4.0,4.0,64,126.0
9,F#4,4.0,4.0,64,126.0
10,B3,4.0,4.0,64,126.0
11,C#4,4.0,4.0,64,126.0
12,C2,4.0,0.125,88,126.0
13,F#2,4.0,0.125,88,126.0
14,C#3,4.0,0.125,88,126.0
15,B2,4.01,399/100,59,126.0
16,F#2,5.0,0.125,88,126.0
17,F#2,6.0,0.125,88,126.0
18,D2,6.0,0.125,88,126.0
19,F#2,7.0,0.125,88,126.0
20,B1,7.964,9/250,98,126.0
21,B1,8.0,3.922,98,126.0
22,B2,8.0,187/50,59,126.0
23,C2,8.0,0.125,88,126.0
24,F#2,8.0,0.125,88,126.0
25,C2,9.0,0.125,88,126.0
26,F#2,9.0,0.125,88,126.0
27,F#2,10.0,0.125,88,126.0
28,D2,10.0,0.125,88,126.0
29,F#2,11.0,0.125,88,126.0
30,C#4,11.896,13/125,91,126.0
31,G#4,11.917,83/1000,97,126.0
32,E4,11.917,83/1000,97,126.0
33,B2,11.99,1/100,53,126.0
34,B2,12.0,4.0,53,126.0
35,C#4,12.0,4.0,91,126.0
36,C2,12.0,0.125,88,126.0
37,F#2,12.0,0.125,88,126.0
38,G#4,12.0,4.0,97,126.0
39,E4,12.0,4.0,97,126.0
40,B1,12.016,1909/500,91,126.0
41,F#2,13.0,0.125,88,126.0
42,F#2,14.0,0.125,88,126.0
43,D2,14.0,0.125,88,126.0
44,F#2,15.0,0.125,88,126.0
45,B1,15.979,21/1000,102,126.0
46,B1,16.0,3.547,102,126.0
47,B2,16.0,723/200,53,126.0
48,C#4,16.0,777/200,91,126.0
49,C2,16.0,0.125,88,126.0
50,F#2,16.0,0.125,88,126.0
51,G#4,16.0,3.766,97,126.0
52,E4,16.0,3.766,97,126.0
53,C2,17.0,0.125,88,126.0
54,F#2,17.0,0.125,88,126.0
55,F#2,18.0,0.125,88,126.0
56,D2,18.0,0.125,88,126.0
57,F#2,19.0,0.125,88,126.0
58,D4,19.646,4.0,64,126.0
59,F#4,19.646,4.0,64,126.0
60,B3,19.646,4.0,64,126.0
61,C#4,19.646,4.0,64,126.0
62,B1,19.979,21/1000,102,126.0
63,B2,19.99,1/100,58,126.0
64,B1,20.0,723/200,102,126.0
65,B2,20.0,4.0,58,126.0
66,C#4,20.0,4.0,96,126.0
67,D4,20.0,4.0,97,126.0
68,C2,20.0,0.125,88,126.0
69,F#2,20.0,0.125,88,126.0
70,C#3,20.0,0.125,88,126.0
71,F#2,21.0,0.125,88,126.0
72,F#2,22.0,0.125,88,126.0
73,D2,22.0,0.125,88,126.0
74,F#2,23.0,0.125,88,126.0
75,B2,24.0,3.906,58,126.0
76,C#4,24.0,487/125,96,126.0
77,D4,24.0,3.688,97,126.0
78,C2,24.0,0.125,88,126.0
79,F#2,24.0,0.125,88,126.0
80,B1,24.073,3927/1000,107,126.0
81,C2,25.0,0.125,88,126.0
82,F#2,25.0,0.125,88,126.0
83,F#2,26.0,0.125,88,126.0
84,D2,26.0,0.125,88,126.0
85,F#2,27.0,0.125,88,126.0
86,F#5,27.688,4.0,61,126.0
87,B4,27.688,4.0,61,126.0
88,D5,27.688,4.0,61,126.0
89,A2,27.99,1/100,50,126.0
90,B1,28.0,57/1000,107,126.0
91,A2,28.0,4.0,50,126.0
92,C2,28.0,0.125,88,126.0
93,F#2,28.0,0.125,88,126.0
94,C#5,28.021,1.562,97,126.0
95,A1,28.057,3.656,107,126.0
96,F#2,29.0,0.125,88,126.0
97,C#5,29.979,1.25,97,126.0
98,F#2,30.0,0.125,88,126.0
99,D2,30.0,0.125,88,126.0
100,F#2,31.0,0.125,88,126.0
101,D4,31.292,4.0,64,126.0
102,F#4,31.292,4.0,64,126.0
103,B3,31.292,4.0,64,126.0
104,C#4,31.292,4.0,64,126.0
105,C#5,31.438,0.562,100,126.0
106,A2,32.0,187/50,50,126.0
107,C#5,32.0,729/1000,100,126.0
108,C2,32.0,0.125,88,126.0
109,F#2,32.0,0.125,88,126.0
110,A1,32.021,3979/1000,102,126.0
111,C#5,33.0,2.688,98,126.0
112,C2,33.0,0.125,88,126.0
113,F#2,33.0,0.125,88,126.0
114,F#2,34.0,0.125,88,126.0
115,D2,34.0,0.125,88,126.0
116,F#2,35.0,0.125,88,126.0
117,B4,35.917,83/1000,97,126.0
118,G2,35.979,21/1000,107,126.0
119,A1,36.0,1/200,102,126.0
120,G2,36.0,3021/1000,107,126.0
121,B4,36.0,4.0,97,126.0
122,C2,36.0,0.125,88,126.0
123,F#2,36.0,0.125,88,126.0
124,G2,36.031,349/125,59,126.0
125,F#2,37.0,0.125,88,126.0
126,F#2,38.0,0.125,88,126.0
127,D2,38.0,0.125,88,126.0
128,D4,38.938,1823/500,64,126.0
129,F#4,38.938,1823/500,64,126.0
130,B3,38.938,1823/500,64,126.0
131,C#4,38.938,1823/500,64,126.0
132,F#2,38.99,833/1000,56,126.0
133,F#2,39.0,0.125,88,126.0
134,F#1,39.047,917/1000,111,126.0
135,E2,39.99,1/100,56,126.0
136,E2,40.0,3927/1000,56,126.0
137,B4,40.0,3917/1000,97,126.0
138,C2,40.0,3/25,82,126.0
139,F#2,40.0,3/25,82,126.0
140,A3,40.0,3/25,82,126.0
141,E1,40.031,3.891,94,126.0
142,C2,41.0,0.125,88,126.0
143,F#2,41.0,0.125,88,126.0
144,F#2,42.0,0.125,88,126.0
145,D2,42.0,0.125,88,126.0
146,C#4,42.958,3979/1000,66,126.0
147,D4,42.958,3979/1000,66,126.0
148,B3,42.958,3979/1000,66,126.0
149,F#4,42.958,3979/1000,66,126.0
150,F#2,43.0,0.125,88,126.0
151,C#4,43.792,26/125,99,126.0
152,D4,43.875,0.125,92,126.0
153,B1,44.0,1823/500,102,126.0
154,C#4,44.0,3.875,99,126.0
155,D4,44.0,4.0,92,126.0
156,C2,44.0,0.125,88,126.0
157,F#2,44.0,0.125,88,126.0
158,B2,44.01,399/100,58,126.0
159,F#2,45.0,0.125,88,126.0
160,F#2,46.0,0.125,88,126.0
161,D2,46.0,0.125,88,126.0
162,C#4,46.938,3.938,66,126.0
163,D4,46.938,3.938,66,126.0
164,B3,46.938,3.938,66,126.0
165,F#4,46.938,3.938,66,126.0
166,F#2,47.0,0.125,88,126.0
167,F#5,47.375,4.0,61,126.0
168,B4,47.375,4.0,61,126.0
169,D5,47.375,4.0,61,126.0
170,B1,47.964,9/250,102,126.0
171,B1,48.0,187/50,102,126.0
172,B2,48.0,723/200,58,126.0
173,D4,48.0,3771/1000,92,126.0
174,C2,48.0,0.125,88,126.0
175,F#2,48.0,0.125,88,126.0
176,C#4,48.104,749/200,97,126.0
177,C2,49.0,0.125,88,126.0
178,F#2,49.0,0.125,88,126.0
179,F#2,50.0,0.125,88,126.0
180,D2,50.0,0.125,88,126.0
181,E4,50.938,4.0,62,126.0
182,C#4,50.938,4.0,62,126.0
183,A3,50.958,3979/1000,69,126.0
184,F#2,51.0,0.125,88,126.0
185,B1,51.958,21/500,102,126.0
186,B1,52.0,3.656,102,126.0
187,B2,52.0,4.0,70,126.0
188,C#4,52.0,4.0,96,126.0
189,D4,52.0,4.0,97,126.0
190,C2,52.0,0.125,88,126.0
191,F#2,52.0,0.125,88,126.0
192,C#3,52.0,0.125,88,126.0
193,F#2,53.0,0.125,88,126.0
194,F#2,54.0,0.125,88,126.0
195,D2,54.0,0.125,88,126.0
196,B3,54.458,479/1000,64,126.0
197,F#2,55.0,0.125,88,126.0
198,B2,56.0,799/200,70,126.0
199,C#4,56.0,487/125,96,126.0
200,D4,56.0,3.688,97,126.0
201,C2,56.0,0.125,88,126.0
202,F#2,56.0,0.125,88,126.0
203,B1,56.042,1979/500,111,126.0
204,C2,57.0,0.125,88,126.0
205,F#2,57.0,0.125,88,126.0
206,F#2,58.0,0.125,88,126.0
207,D2,58.0,0.125,88,126.0
208,A3,58.854,3.875,69,126.0
209,B3,58.854,3917/1000,64,126.0
210,E4,58.854,3917/1000,62,126.0
211,C#4,58.854,3917/1000,62,126.0
212,F#2,59.0,0.125,88,126.0
213,B1,60.0,1/200,111,126.0
214,A2,60.0,4.0,50,126.0
215,C2,60.0,0.125,88,126.0
216,F#2,60.0,0.125,88,126.0
217,A1,60.021,3.75,107,126.0
218,C#5,60.021,1.562,97,126.0
219,F#2,61.0,0.125,88,126.0
220,C#5,61.979,1.25,97,126.0
221,F#2,62.0,0.125,88,126.0
